Year,by land purpose,Region,Value
2018,,Cherkasy,4.9
2019,,Cherkasy,5.5
2020,,Cherkasy,4.5
2021,,Cherkasy,4.0
2022,,Cherkasy,3.7
2023,,Cherkasy,3.5
2024,,Cherkasy,3.3
2015,,Chernivtsi,9.8
2016,,Chernivtsi,8.5
2017,,Chernivtsi,8.4
2018,,Chernivtsi,8.6
2019,,Chernivtsi,7.2
2020,,Chernivtsi,6.0
2021,,Chernivtsi,5.3
2022,,Chernivtsi,3.5
2023,,Chernivtsi,2.2
2024,,Chernivtsi,2.2
2015,,Chernihiv,14.0
2016,,Chernihiv,21.3
2017,,Chernihiv,17.5
2018,,Chernihiv,10.3
2019,,Chernihiv,2.8
2020,,Chernihiv,2.8
2021,,Chernihiv,1.6
2022,,Chernihiv,1.5
2023,,Chernihiv,1.6
2024,,Chernihiv,0.0
2015,arable land,Ukraine,5.5
2016,arable land,Ukraine,5.7
2017,arable land,Ukraine,5.1
2018,arable land,Ukraine,5.0
2019,arable land,Ukraine,4.2
2020,arable land,Ukraine,3.6
2021,arable land,Ukraine,2.9
2022,arable land,Ukraine,2.2
2023,arable land,Ukraine,1.9
2024,arable land,Ukraine,1.8
