Year,Місцевість проживання,Value
2015,міська,99.0
2016,міська,99.3
2017,міська,99.3
2018,міська,99.2
2019,міська,99.0
2020,міська,87.3
2021,міська,88.0
2022,міська,88.3
2023,міська,88.8
2015,сільська,25.0
2016,сільська,29.2
2017,сільська,30.0
2018,сільська,30.1
2019,сільська,26.9
2020,сільська,26.5
2021,сільська,22.0
2022,сільська,21.9
2023,сільська,25.7
