Year,Infectious diseases,Age,Region,Value
2017,Poliomyelitis,14 years,Cherkasy,90.8
2017,"Diphtheria, tetanus",under 1 year,Cherkasy,72.8
2017,Pertussis,under 1 year,Cherkasy,72.8
2017,"Diphtheria, tetanus",18 months,Cherkasy,74.5
2017,Pertussis,18 months,Cherkasy,74.5
2017,"Diphtheria, tetanus",6 years,Cherkasy,95.7
2017,"Diphtheria, tetanus",adults,Cherkasy,21.2
2017,"Measles, mumps, rubella",1 year,Cherkasy,96.3
2017,"Measles, mumps, rubella",6 years,Cherkasy,99.7
2017,Hepatitis B,under 1 year,Cherkasy,64.5
2017,Tuberculosis,under 1 year,Chernivtsi,95.0
2017,Poliomyelitis,under 1 year,Chernivtsi,69.7
2017,Poliomyelitis,18 months,Chernivtsi,79.1
2017,Poliomyelitis,6 years,Chernivtsi,95.8
2017,Poliomyelitis,14 years,Chernivtsi,91.8
2017,"Diphtheria, tetanus",under 1 year,Chernivtsi,55.3
2017,Pertussis,under 1 year,Chernivtsi,55.3
2017,"Diphtheria, tetanus",18 months,Chernivtsi,52.1
2017,Pertussis,18 months,Chernivtsi,52.1
2017,"Diphtheria, tetanus",6 years,Chernivtsi,93.5
2017,"Diphtheria, tetanus",adults,Chernivtsi,77.0
2017,"Measles, mumps, rubella",1 year,Chernivtsi,96.4
2017,"Measles, mumps, rubella",6 years,Chernivtsi,97.7
2017,Hepatitis B,under 1 year,Chernivtsi,47.0
2017,Tuberculosis,under 1 year,Chernihiv,75.7
2017,Poliomyelitis,under 1 year,Chernihiv,53.9
2017,Poliomyelitis,18 months,Chernihiv,82.3
2017,Poliomyelitis,6 years,Chernihiv,75.6
2017,Poliomyelitis,14 years,Chernihiv,80.1
2017,"Diphtheria, tetanus",under 1 year,Chernihiv,58.8
2017,Pertussis,under 1 year,Chernihiv,58.8
2017,"Diphtheria, tetanus",18 months,Chernihiv,60.4
2017,Pertussis,18 months,Chernihiv,60.4
2017,"Diphtheria, tetanus",6 years,Chernihiv,85.7
2017,"Diphtheria, tetanus",adults,Chernihiv,45.7
2017,"Measles, mumps, rubella",1 year,Chernihiv,97.8
2017,"Measles, mumps, rubella",6 years,Chernihiv,95.1
2017,Hepatitis B,under 1 year,Chernihiv,82.8
2018,Tuberculosis,under 1 year,Vinnytsya,91.6
2018,Poliomyelitis,under 1 year,Vinnytsya,76.2
2018,Poliomyelitis,18 months,Vinnytsya,67.8
2018,Poliomyelitis,6 years,Vinnytsya,79.4
2018,Poliomyelitis,14 years,Vinnytsya,78.9
2018,"Diphtheria, tetanus",under 1 year,Vinnytsya,73.2
2018,Pertussis,under 1 year,Vinnytsya,73.2
2018,"Diphtheria, tetanus",18 months,Vinnytsya,66.3
2018,Pertussis,18 months,Vinnytsya,66.3
2018,"Diphtheria, tetanus",6 years,Vinnytsya,79.9
2018,"Diphtheria, tetanus",adults,Vinnytsya,58.9
2018,"Measles, mumps, rubella",1 year,Vinnytsya,92.5
2018,"Measles, mumps, rubella",6 years,Vinnytsya,90.2
2018,Hepatitis B,under 1 year,Vinnytsya,66.9
2018,Tuberculosis,under 1 year,Volyn,93.4
2018,Poliomyelitis,under 1 year,Volyn,44.8
2018,Poliomyelitis,18 months,Volyn,47.6
2018,Poliomyelitis,6 years,Volyn,68.4
2018,Poliomyelitis,14 years,Volyn,71.3
2018,"Diphtheria, tetanus",under 1 year,Volyn,54.6
2018,Pertussis,under 1 year,Volyn,54.6
2018,"Diphtheria, tetanus",18 months,Volyn,53.6
2018,Pertussis,18 months,Volyn,53.6
2018,"Diphtheria, tetanus",6 years,Volyn,79.1
2018,"Diphtheria, tetanus",adults,Volyn,42.2
2018,"Measles, mumps, rubella",1 year,Volyn,97.0
2018,"Measles, mumps, rubella",6 years,Volyn,95.5
2018,Hepatitis B,under 1 year,Volyn,40.2
2018,Tuberculosis,under 1 year,Dnipropetrovsk,93.3
2018,Poliomyelitis,under 1 year,Dnipropetrovsk,46.7
2018,Poliomyelitis,18 months,Dnipropetrovsk,36.8
2018,Poliomyelitis,6 years,Dnipropetrovsk,46.5
2018,Poliomyelitis,14 years,Dnipropetrovsk,41.2
2018,"Diphtheria, tetanus",under 1 year,Dnipropetrovsk,47.4
2018,Pertussis,under 1 year,Dnipropetrovsk,47.4
2018,"Diphtheria, tetanus",18 months,Dnipropetrovsk,41.9
2018,Pertussis,18 months,Dnipropetrovsk,41.9
2018,"Diphtheria, tetanus",6 years,Dnipropetrovsk,99.5
2018,"Diphtheria, tetanus",adults,Dnipropetrovsk,60.5
2018,"Measles, mumps, rubella",1 year,Dnipropetrovsk,94.6
2018,"Measles, mumps, rubella",6 years,Dnipropetrovsk,95.7
2018,Hepatitis B,under 1 year,Dnipropetrovsk,75.7
2018,Tuberculosis,under 1 year,Donetsk,69.7
2018,Poliomyelitis,under 1 year,Donetsk,51.3
2018,Poliomyelitis,18 months,Donetsk,71.6
2018,Poliomyelitis,6 years,Donetsk,82.3
2018,Poliomyelitis,14 years,Donetsk,77.1
2018,"Diphtheria, tetanus",under 1 year,Donetsk,52.7
2018,Pertussis,under 1 year,Donetsk,52.7
2018,"Diphtheria, tetanus",18 months,Donetsk,75.6
2018,Pertussis,18 months,Donetsk,75.6
2018,"Diphtheria, tetanus",6 years,Donetsk,84.9
2018,"Diphtheria, tetanus",adults,Donetsk,51.9
2018,"Measles, mumps, rubella",1 year,Donetsk,94.1
2018,"Measles, mumps, rubella",6 years,Donetsk,93.8
2018,Hepatitis B,under 1 year,Donetsk,47.9
2018,Tuberculosis,under 1 year,Zhytomyr,99.7
2018,Poliomyelitis,under 1 year,Zhytomyr,68.2
2018,Poliomyelitis,18 months,Zhytomyr,68.0
2018,Poliomyelitis,6 years,Zhytomyr,78.0
2018,Poliomyelitis,14 years,Zhytomyr,76.3
2018,"Diphtheria, tetanus",under 1 year,Zhytomyr,75.3
2018,Pertussis,under 1 year,Zhytomyr,75.3
2018,"Diphtheria, tetanus",18 months,Zhytomyr,73.7
2018,Pertussis,18 months,Zhytomyr,73.7
2018,"Diphtheria, tetanus",6 years,Zhytomyr,91.3
2018,"Diphtheria, tetanus",adults,Zhytomyr,55.5
2018,"Measles, mumps, rubella",1 year,Zhytomyr,94.4
2018,"Measles, mumps, rubella",6 years,Zhytomyr,91.5
2018,Hepatitis B,under 1 year,Zhytomyr,68.4
2018,Tuberculosis,under 1 year,Zakarpattya,93.6
2018,Poliomyelitis,under 1 year,Zakarpattya,69.6
2018,Poliomyelitis,18 months,Zakarpattya,62.9
2018,Poliomyelitis,6 years,Zakarpattya,84.4
2018,Poliomyelitis,14 years,Zakarpattya,79.6
2018,"Diphtheria, tetanus",under 1 year,Zakarpattya,59.5
2018,Pertussis,under 1 year,Zakarpattya,59.5
2018,"Diphtheria, tetanus",18 months,Zakarpattya,60.6
2018,Pertussis,18 months,Zakarpattya,60.6
2018,"Diphtheria, tetanus",6 years,Zakarpattya,69.6
2018,"Diphtheria, tetanus",adults,Zakarpattya,67.4
2018,"Measles, mumps, rubella",1 year,Zakarpattya,84.8
2018,"Measles, mumps, rubella",6 years,Zakarpattya,86.9
2018,Hepatitis B,under 1 year,Zakarpattya,36.7
2018,Tuberculosis,under 1 year,Zaporizhzhya,93.5
2018,Poliomyelitis,under 1 year,Zaporizhzhya,76.0
2018,Poliomyelitis,18 months,Zaporizhzhya,83.3
2018,Poliomyelitis,6 years,Zaporizhzhya,85.0
2018,Poliomyelitis,14 years,Zaporizhzhya,82.7
2018,"Diphtheria, tetanus",under 1 year,Zaporizhzhya,75.2
2018,Pertussis,under 1 year,Zaporizhzhya,75.2
2018,"Diphtheria, tetanus",18 months,Zaporizhzhya,84.0
2018,Pertussis,18 months,Zaporizhzhya,84.0
2018,"Diphtheria, tetanus",6 years,Zaporizhzhya,74.8
2018,"Diphtheria, tetanus",adults,Zaporizhzhya,71.8
2018,"Measles, mumps, rubella",1 year,Zaporizhzhya,92.3
2018,"Measles, mumps, rubella",6 years,Zaporizhzhya,83.3
2018,Hepatitis B,under 1 year,Zaporizhzhya,72.0
2018,Tuberculosis,under 1 year,Ivano-Frankivsk,88.3
2018,Poliomyelitis,under 1 year,Ivano-Frankivsk,48.9
2018,Poliomyelitis,18 months,Ivano-Frankivsk,55.8
2018,Poliomyelitis,6 years,Ivano-Frankivsk,68.8
2018,Poliomyelitis,14 years,Ivano-Frankivsk,72.8
2018,"Diphtheria, tetanus",under 1 year,Ivano-Frankivsk,45.1
2018,Pertussis,under 1 year,Ivano-Frankivsk,45.1
2018,"Diphtheria, tetanus",18 months,Ivano-Frankivsk,41.2
2018,Pertussis,18 months,Ivano-Frankivsk,41.2
2018,"Diphtheria, tetanus",6 years,Ivano-Frankivsk,78.4
2018,"Diphtheria, tetanus",adults,Ivano-Frankivsk,31.0
2018,"Measles, mumps, rubella",1 year,Ivano-Frankivsk,78.9
2018,"Measles, mumps, rubella",6 years,Ivano-Frankivsk,69.6
2018,Hepatitis B,under 1 year,Ivano-Frankivsk,58.7
2018,Tuberculosis,under 1 year,Kirovohrad,95.0
2018,Poliomyelitis,under 1 year,Kirovohrad,87.9
2018,Poliomyelitis,18 months,Kirovohrad,77.9
2018,Poliomyelitis,6 years,Kirovohrad,85.8
2018,Poliomyelitis,14 years,Kirovohrad,82.9
2018,"Diphtheria, tetanus",under 1 year,Kirovohrad,99.5
2018,Pertussis,under 1 year,Kirovohrad,99.5
2018,"Diphtheria, tetanus",18 months,Kirovohrad,89.9
2018,Pertussis,18 months,Kirovohrad,89.9
2018,"Diphtheria, tetanus",6 years,Kirovohrad,89.6
2018,"Diphtheria, tetanus",adults,Kirovohrad,99.4
2018,"Measles, mumps, rubella",1 year,Kirovohrad,99.9
2018,"Measles, mumps, rubella",6 years,Kirovohrad,98.6
2018,Hepatitis B,under 1 year,Kirovohrad,88.9
2018,Tuberculosis,under 1 year,Luhansk,60.5
2018,Poliomyelitis,under 1 year,Luhansk,47.6
2018,Poliomyelitis,18 months,Luhansk,84.0
2018,Poliomyelitis,6 years,Luhansk,86.5
2018,Poliomyelitis,14 years,Luhansk,84.3
2018,"Diphtheria, tetanus",under 1 year,Luhansk,52.4
2018,Pertussis,under 1 year,Luhansk,52.4
2018,"Diphtheria, tetanus",18 months,Luhansk,80.7
2018,Pertussis,18 months,Luhansk,80.7
2018,"Diphtheria, tetanus",6 years,Luhansk,90.1
2018,"Diphtheria, tetanus",adults,Luhansk,65.3
2018,"Measles, mumps, rubella",1 year,Luhansk,96.4
2018,"Measles, mumps, rubella",6 years,Luhansk,90.9
2018,Hepatitis B,under 1 year,Luhansk,62.1
2018,Tuberculosis,under 1 year,Lviv,90.6
2018,Poliomyelitis,under 1 year,Lviv,67.7
2018,Poliomyelitis,18 months,Lviv,57.5
2018,Poliomyelitis,6 years,Lviv,73.8
2018,Poliomyelitis,14 years,Lviv,73.3
2018,"Diphtheria, tetanus",under 1 year,Lviv,70.9
2018,Pertussis,under 1 year,Lviv,70.9
2018,"Diphtheria, tetanus",18 months,Lviv,60.1
2018,Pertussis,18 months,Lviv,60.1
2018,"Diphtheria, tetanus",6 years,Lviv,75.1
2018,"Diphtheria, tetanus",adults,Lviv,59.5
2018,"Measles, mumps, rubella",1 year,Lviv,89.9
2018,"Measles, mumps, rubella",6 years,Lviv,83.2
2018,Hepatitis B,under 1 year,Lviv,63.2
2018,Tuberculosis,under 1 year,Mykolayiv,95.5
2018,Poliomyelitis,under 1 year,Mykolayiv,89.3
2018,Poliomyelitis,18 months,Mykolayiv,83.2
2018,Poliomyelitis,6 years,Mykolayiv,85.1
2018,Poliomyelitis,14 years,Mykolayiv,81.5
2018,"Diphtheria, tetanus",under 1 year,Mykolayiv,93.7
2018,Pertussis,under 1 year,Mykolayiv,93.7
2018,"Diphtheria, tetanus",18 months,Mykolayiv,89.9
2018,Pertussis,18 months,Mykolayiv,89.9
2018,"Diphtheria, tetanus",6 years,Mykolayiv,90.7
2018,"Diphtheria, tetanus",adults,Mykolayiv,57.1
2018,"Measles, mumps, rubella",1 year,Mykolayiv,99.2
2018,"Measles, mumps, rubella",6 years,Mykolayiv,91.3
2018,Hepatitis B,under 1 year,Mykolayiv,86.3
2018,Tuberculosis,under 1 year,Odesa,89.7
2018,Poliomyelitis,under 1 year,Odesa,59.8
2018,Poliomyelitis,18 months,Odesa,62.5
2018,Poliomyelitis,6 years,Odesa,84.0
2018,Poliomyelitis,14 years,Odesa,87.0
2018,"Diphtheria, tetanus",under 1 year,Odesa,55.3
2018,Pertussis,under 1 year,Odesa,55.3
2018,"Diphtheria, tetanus",18 months,Odesa,53.0
2018,Pertussis,18 months,Odesa,53.0
2018,"Diphtheria, tetanus",6 years,Odesa,66.5
2018,"Diphtheria, tetanus",adults,Odesa,33.7
2018,"Measles, mumps, rubella",1 year,Odesa,84.8
2018,"Measles, mumps, rubella",6 years,Odesa,85.6
2018,Hepatitis B,under 1 year,Odesa,45.0
2018,Tuberculosis,under 1 year,Poltava,94.2
2018,Poliomyelitis,under 1 year,Poltava,93.1
2018,Poliomyelitis,18 months,Poltava,96.5
2018,Poliomyelitis,6 years,Poltava,97.2
2018,Poliomyelitis,14 years,Poltava,96.1
2018,"Diphtheria, tetanus",under 1 year,Poltava,86.4
2018,Pertussis,under 1 year,Poltava,86.4
2018,"Diphtheria, tetanus",18 months,Poltava,90.5
2018,Pertussis,18 months,Poltava,90.5
2018,"Diphtheria, tetanus",6 years,Poltava,88.4
2018,"Diphtheria, tetanus",adults,Poltava,66.1
2018,"Measles, mumps, rubella",1 year,Poltava,94.7
2018,"Measles, mumps, rubella",6 years,Poltava,96.0
2018,Hepatitis B,under 1 year,Poltava,90.0
2018,Tuberculosis,under 1 year,Rivne,92.6
2018,Poliomyelitis,under 1 year,Rivne,57.1
2018,Poliomyelitis,18 months,Rivne,49.2
2018,Poliomyelitis,6 years,Rivne,77.6
2018,Poliomyelitis,14 years,Rivne,85.4
2018,"Diphtheria, tetanus",under 1 year,Rivne,66.0
2018,Pertussis,under 1 year,Rivne,66.0
2018,"Diphtheria, tetanus",18 months,Rivne,55.3
2018,Pertussis,18 months,Rivne,55.3
2018,"Diphtheria, tetanus",6 years,Rivne,81.4
2018,"Diphtheria, tetanus",adults,Rivne,57.8
2018,"Measles, mumps, rubella",1 year,Rivne,84.8
2018,"Measles, mumps, rubella",6 years,Rivne,93.0
2018,Hepatitis B,under 1 year,Rivne,57.9
2018,Tuberculosis,under 1 year,Sumy,97.2
2018,Poliomyelitis,under 1 year,Sumy,88.6
2018,Poliomyelitis,18 months,Sumy,85.4
2018,Poliomyelitis,6 years,Sumy,93.3
2018,Poliomyelitis,14 years,Sumy,94.3
2018,"Diphtheria, tetanus",under 1 year,Sumy,88.1
2018,Pertussis,under 1 year,Sumy,88.1
2018,"Diphtheria, tetanus",18 months,Sumy,74.1
2018,Pertussis,18 months,Sumy,74.1
2018,"Diphtheria, tetanus",6 years,Sumy,86.6
2018,"Diphtheria, tetanus",adults,Sumy,79.9
2018,"Measles, mumps, rubella",1 year,Sumy,97.2
2018,"Measles, mumps, rubella",6 years,Sumy,94.1
2018,Hepatitis B,under 1 year,Sumy,89.2
2018,Tuberculosis,under 1 year,Ternopil,86.9
2018,Poliomyelitis,under 1 year,Ternopil,65.4
2018,Poliomyelitis,18 months,Ternopil,59.5
2018,Poliomyelitis,6 years,Ternopil,86.2
2018,Poliomyelitis,14 years,Ternopil,88.4
2018,"Diphtheria, tetanus",under 1 year,Ternopil,57.8
2018,Pertussis,under 1 year,Ternopil,57.8
2018,"Diphtheria, tetanus",18 months,Ternopil,49.6
2018,Pertussis,18 months,Ternopil,49.6
2018,"Diphtheria, tetanus",6 years,Ternopil,77.8
2018,"Diphtheria, tetanus",adults,Ternopil,59.4
2018,"Measles, mumps, rubella",1 year,Ternopil,94.5
2018,"Measles, mumps, rubella",6 years,Ternopil,93.6
2018,Hepatitis B,under 1 year,Ternopil,54.6
2018,Tuberculosis,under 1 year,Kharkiv,87.5
2018,Poliomyelitis,under 1 year,Kharkiv,66.4
2018,Poliomyelitis,18 months,Kharkiv,40.2
2018,Poliomyelitis,6 years,Kharkiv,86.3
2018,Poliomyelitis,14 years,Kharkiv,86.1
2018,"Diphtheria, tetanus",under 1 year,Kharkiv,54.0
2018,Pertussis,under 1 year,Kharkiv,54.0
2018,"Diphtheria, tetanus",18 months,Kharkiv,37.5
2018,Pertussis,18 months,Kharkiv,37.5
2018,"Diphtheria, tetanus",6 years,Kharkiv,81.8
2018,"Diphtheria, tetanus",adults,Kharkiv,36.2
2018,"Measles, mumps, rubella",1 year,Kharkiv,80.8
2018,"Measles, mumps, rubella",6 years,Kharkiv,82.2
2018,Hepatitis B,under 1 year,Kharkiv,63.5
2018,Tuberculosis,under 1 year,Kherson,86.8
2018,Poliomyelitis,under 1 year,Kherson,69.9
2018,Poliomyelitis,18 months,Kherson,49.7
2018,Poliomyelitis,6 years,Kherson,87.7
2018,Poliomyelitis,14 years,Kherson,83.2
2018,"Diphtheria, tetanus",under 1 year,Kherson,77.4
2018,Pertussis,under 1 year,Kherson,77.4
2018,"Diphtheria, tetanus",18 months,Kherson,71.7
2018,Pertussis,18 months,Kherson,71.7
2018,"Diphtheria, tetanus",6 years,Kherson,86.9
2018,"Diphtheria, tetanus",adults,Kherson,58.9
2018,"Measles, mumps, rubella",1 year,Kherson,91.2
2018,"Measles, mumps, rubella",6 years,Kherson,97.1
2018,Hepatitis B,under 1 year,Kherson,76.1
2018,Tuberculosis,under 1 year,Khmelnytskiy,99.5
2018,Poliomyelitis,under 1 year,Khmelnytskiy,93.1
2018,Poliomyelitis,18 months,Khmelnytskiy,87.4
2018,Poliomyelitis,6 years,Khmelnytskiy,90.8
2018,Poliomyelitis,14 years,Khmelnytskiy,90.7
2018,"Diphtheria, tetanus",under 1 year,Khmelnytskiy,85.2
2018,Pertussis,under 1 year,Khmelnytskiy,85.2
2018,"Diphtheria, tetanus",18 months,Khmelnytskiy,78.2
2018,Pertussis,18 months,Khmelnytskiy,78.2
2018,"Diphtheria, tetanus",6 years,Khmelnytskiy,89.7
2018,"Diphtheria, tetanus",adults,Khmelnytskiy,52.0
2018,"Measles, mumps, rubella",1 year,Khmelnytskiy,92.6
2018,"Measles, mumps, rubella",6 years,Khmelnytskiy,93.4
2018,Hepatitis B,under 1 year,Khmelnytskiy,65.5
2018,Tuberculosis,under 1 year,Cherkasy,92.6
2018,Poliomyelitis,under 1 year,Cherkasy,87.5
2018,Poliomyelitis,18 months,Cherkasy,82.7
2018,Poliomyelitis,6 years,Cherkasy,92.6
2018,Poliomyelitis,14 years,Cherkasy,92.0
2018,"Diphtheria, tetanus",under 1 year,Cherkasy,84.1
2018,Pertussis,under 1 year,Cherkasy,84.1
2018,"Diphtheria, tetanus",18 months,Cherkasy,71.8
2018,Pertussis,18 months,Cherkasy,71.8
2018,"Diphtheria, tetanus",6 years,Cherkasy,86.5
2018,"Diphtheria, tetanus",adults,Cherkasy,69.1
2018,"Measles, mumps, rubella",1 year,Cherkasy,87.5
2018,"Measles, mumps, rubella",6 years,Cherkasy,95.8
2018,Hepatitis B,under 1 year,Cherkasy,79.8
2018,Tuberculosis,under 1 year,Chernivtsi,95.3
2018,Poliomyelitis,under 1 year,Chernivtsi,86.2
2018,Poliomyelitis,18 months,Chernivtsi,88.8
2018,Poliomyelitis,6 years,Chernivtsi,91.0
2018,Poliomyelitis,14 years,Chernivtsi,93.7
2018,"Diphtheria, tetanus",under 1 year,Chernivtsi,76.1
2018,Pertussis,under 1 year,Chernivtsi,76.1
2018,"Diphtheria, tetanus",18 months,Chernivtsi,77.2
2018,Pertussis,18 months,Chernivtsi,77.2
2018,"Diphtheria, tetanus",6 years,Chernivtsi,92.0
2018,"Diphtheria, tetanus",adults,Chernivtsi,78.5
2018,"Measles, mumps, rubella",1 year,Chernivtsi,93.5
2018,"Measles, mumps, rubella",6 years,Chernivtsi,88.1
2018,Hepatitis B,under 1 year,Chernivtsi,59.7
2018,Tuberculosis,under 1 year,Chernihiv,96.1
2018,Poliomyelitis,under 1 year,Chernihiv,87.4
2018,Poliomyelitis,18 months,Chernihiv,76.1
2018,Poliomyelitis,6 years,Chernihiv,86.2
2018,Poliomyelitis,14 years,Chernihiv,85.9
2018,"Diphtheria, tetanus",under 1 year,Chernihiv,89.9
2018,Pertussis,under 1 year,Chernihiv,89.9
2018,"Diphtheria, tetanus",18 months,Chernihiv,83.6
2018,Pertussis,18 months,Chernihiv,83.6
2018,"Diphtheria, tetanus",6 years,Chernihiv,93.0
2018,"Diphtheria, tetanus",adults,Chernihiv,90.3
2018,"Measles, mumps, rubella",1 year,Chernihiv,93.9
2018,"Measles, mumps, rubella",6 years,Chernihiv,88.9
2018,Hepatitis B,under 1 year,Chernihiv,86.3
2019,Tuberculosis,under 1 year,Vinnytsya,76.3
2019,Poliomyelitis,under 1 year,Vinnytsya,79.1
2019,Poliomyelitis,18 months,Vinnytsya,86.0
2019,Poliomyelitis,6 years,Vinnytsya,76.5
2019,Poliomyelitis,14 years,Vinnytsya,79.9
2019,"Diphtheria, tetanus",under 1 year,Vinnytsya,87.1
2019,Pertussis,under 1 year,Vinnytsya,87.1
2019,"Diphtheria, tetanus",18 months,Vinnytsya,93.2
2019,Pertussis,18 months,Vinnytsya,93.2
2019,"Diphtheria, tetanus",6 years,Vinnytsya,61.7
2019,"Diphtheria, tetanus",adults,Vinnytsya,93.7
2019,"Measles, mumps, rubella",1 year,Vinnytsya,93.6
2019,"Measles, mumps, rubella",6 years,Vinnytsya,84.5
2019,Hepatitis B,under 1 year,Vinnytsya,80.8
2019,Tuberculosis,under 1 year,Volyn,91.3
2019,Poliomyelitis,under 1 year,Volyn,74.4
2019,Poliomyelitis,18 months,Volyn,71.9
2019,Poliomyelitis,6 years,Volyn,76.6
2019,Poliomyelitis,14 years,Volyn,76.7
2019,"Diphtheria, tetanus",under 1 year,Volyn,76.5
2019,Pertussis,under 1 year,Volyn,76.5
2019,"Diphtheria, tetanus",18 months,Volyn,83.0
2019,Pertussis,18 months,Volyn,83.0
2019,"Diphtheria, tetanus",6 years,Volyn,70.8
2019,"Diphtheria, tetanus",adults,Volyn,91.1
2019,"Measles, mumps, rubella",1 year,Volyn,96.7
2019,"Measles, mumps, rubella",6 years,Volyn,96.1
2019,Hepatitis B,under 1 year,Volyn,80.0
2019,Tuberculosis,under 1 year,Dnipropetrovsk,87.8
2019,Poliomyelitis,under 1 year,Dnipropetrovsk,62.7
2019,Poliomyelitis,18 months,Dnipropetrovsk,57.6
2019,Poliomyelitis,6 years,Dnipropetrovsk,57.6
2019,Poliomyelitis,14 years,Dnipropetrovsk,50.7
2019,"Diphtheria, tetanus",under 1 year,Dnipropetrovsk,75.0
2019,Pertussis,under 1 year,Dnipropetrovsk,75.0
2019,"Diphtheria, tetanus",18 months,Dnipropetrovsk,73.3
2019,Pertussis,18 months,Dnipropetrovsk,73.3
2019,"Diphtheria, tetanus",6 years,Dnipropetrovsk,49.0
2019,"Diphtheria, tetanus",adults,Dnipropetrovsk,83.7
2019,"Measles, mumps, rubella",1 year,Dnipropetrovsk,99.9
2019,"Measles, mumps, rubella",6 years,Dnipropetrovsk,99.9
2019,Hepatitis B,under 1 year,Dnipropetrovsk,93.5
2019,Tuberculosis,under 1 year,Donetsk,83.6
2019,Poliomyelitis,under 1 year,Donetsk,77.6
2019,Poliomyelitis,18 months,Donetsk,77.4
2019,Poliomyelitis,6 years,Donetsk,88.2
2019,Poliomyelitis,14 years,Donetsk,93.7
2019,"Diphtheria, tetanus",under 1 year,Donetsk,70.5
2019,Pertussis,under 1 year,Donetsk,70.5
2019,"Diphtheria, tetanus",18 months,Donetsk,71.8
2019,Pertussis,18 months,Donetsk,71.8
2019,"Diphtheria, tetanus",6 years,Donetsk,67.9
2019,"Diphtheria, tetanus",adults,Donetsk,80.5
2019,"Measles, mumps, rubella",1 year,Donetsk,85.5
2019,"Measles, mumps, rubella",6 years,Donetsk,86.3
2019,Hepatitis B,under 1 year,Donetsk,72.7
2019,Tuberculosis,under 1 year,Zhytomyr,93.6
2019,Poliomyelitis,under 1 year,Zhytomyr,75.2
2019,Poliomyelitis,18 months,Zhytomyr,74.4
2019,Poliomyelitis,6 years,Zhytomyr,82.0
2019,Poliomyelitis,14 years,Zhytomyr,74.3
2019,"Diphtheria, tetanus",under 1 year,Zhytomyr,84.2
2019,Pertussis,under 1 year,Zhytomyr,84.2
2019,"Diphtheria, tetanus",18 months,Zhytomyr,88.2
2019,Pertussis,18 months,Zhytomyr,88.2
2019,"Diphtheria, tetanus",6 years,Zhytomyr,87.2
2019,"Diphtheria, tetanus",adults,Zhytomyr,72.4
2019,"Measles, mumps, rubella",1 year,Zhytomyr,94.1
2019,"Measles, mumps, rubella",6 years,Zhytomyr,97.1
2019,Hepatitis B,under 1 year,Zhytomyr,80.2
2019,Tuberculosis,under 1 year,Zakarpattya,90.5
2019,Poliomyelitis,under 1 year,Zakarpattya,71.4
2019,Poliomyelitis,18 months,Zakarpattya,74.0
2019,Poliomyelitis,6 years,Zakarpattya,76.7
2019,Poliomyelitis,14 years,Zakarpattya,77.5
2019,"Diphtheria, tetanus",under 1 year,Zakarpattya,65.4
2019,Pertussis,under 1 year,Zakarpattya,65.4
2019,"Diphtheria, tetanus",18 months,Zakarpattya,71.5
2019,Pertussis,18 months,Zakarpattya,71.5
2019,"Diphtheria, tetanus",6 years,Zakarpattya,55.1
2019,"Diphtheria, tetanus",adults,Zakarpattya,96.4
2019,"Measles, mumps, rubella",1 year,Zakarpattya,90.5
2019,"Measles, mumps, rubella",6 years,Zakarpattya,91.7
2019,Hepatitis B,under 1 year,Zakarpattya,54.6
2019,Tuberculosis,under 1 year,Zaporizhzhya,85.3
2019,Poliomyelitis,under 1 year,Zaporizhzhya,83.0
2019,Poliomyelitis,18 months,Zaporizhzhya,79.1
2019,Poliomyelitis,6 years,Zaporizhzhya,84.6
2019,Poliomyelitis,14 years,Zaporizhzhya,83.8
2019,"Diphtheria, tetanus",under 1 year,Zaporizhzhya,80.2
2019,Pertussis,under 1 year,Zaporizhzhya,80.2
2019,"Diphtheria, tetanus",18 months,Zaporizhzhya,73.5
2019,Pertussis,18 months,Zaporizhzhya,73.5
2019,"Diphtheria, tetanus",6 years,Zaporizhzhya,77.9
2019,"Diphtheria, tetanus",adults,Zaporizhzhya,99.9
2019,"Measles, mumps, rubella",1 year,Zaporizhzhya,93.6
2019,"Measles, mumps, rubella",6 years,Zaporizhzhya,91.9
2019,Hepatitis B,under 1 year,Zaporizhzhya,75.9
2019,Tuberculosis,under 1 year,Ivano-Frankivsk,91.5
2019,Poliomyelitis,under 1 year,Ivano-Frankivsk,75.2
2019,Poliomyelitis,18 months,Ivano-Frankivsk,71.2
2019,Poliomyelitis,6 years,Ivano-Frankivsk,83.0
2019,Poliomyelitis,14 years,Ivano-Frankivsk,82.4
2019,"Diphtheria, tetanus",under 1 year,Ivano-Frankivsk,76.1
2019,Pertussis,under 1 year,Ivano-Frankivsk,76.1
2019,"Diphtheria, tetanus",18 months,Ivano-Frankivsk,70.2
2019,Pertussis,18 months,Ivano-Frankivsk,70.2
2019,"Diphtheria, tetanus",6 years,Ivano-Frankivsk,90.4
2019,"Diphtheria, tetanus",adults,Ivano-Frankivsk,80.2
2019,"Measles, mumps, rubella",1 year,Ivano-Frankivsk,90.0
2019,"Measles, mumps, rubella",6 years,Ivano-Frankivsk,87.5
2019,Hepatitis B,under 1 year,Ivano-Frankivsk,75.2
2019,Tuberculosis,under 1 year,Kirovohrad,93.3
2019,Poliomyelitis,under 1 year,Kirovohrad,87.6
2019,Poliomyelitis,18 months,Kirovohrad,91.0
2019,Poliomyelitis,6 years,Kirovohrad,86.9
2019,Poliomyelitis,14 years,Kirovohrad,90.2
