Year,Infectious diseases,Age,Region,Value
2024,Poliomyelitis,14 years,,80.8
2015,Poliomyelitis,1 year,,39.2
2016,Poliomyelitis,1 year,,52.1
2017,Poliomyelitis,1 year,,44.5
2018,Poliomyelitis,1 year,,57.7
2019,Poliomyelitis,1 year,,80.0
2020,Poliomyelitis,1 year,,83.6
2021,Poliomyelitis,1 year,,87.0
2022,Poliomyelitis,1 year,,69.8
2023,Poliomyelitis,1 year,,78.2
2024,Poliomyelitis,1 year,,92.7
2015,Tuberculosis,under 1 year,Vinnytsya,27.1
2015,Poliomyelitis,under 1 year,Vinnytsya,73.6
2015,Poliomyelitis,18 months,Vinnytsya,92.8
2015,Poliomyelitis,6 years,Vinnytsya,39.6
2015,Poliomyelitis,14 years,Vinnytsya,39.4
2015,"Diphtheria, tetanus",under 1 year,Vinnytsya,14.6
2015,Pertussis,under 1 year,Vinnytsya,14.6
2015,"Diphtheria, tetanus",18 months,Vinnytsya,27.4
2015,Pertussis,18 months,Vinnytsya,27.4
2015,"Diphtheria, tetanus",6 years,Vinnytsya,0.0
2015,"Diphtheria, tetanus",adults,Vinnytsya,0.0
2015,"Measles, mumps, rubella",1 year,Vinnytsya,56.9
2015,"Measles, mumps, rubella",6 years,Vinnytsya,65.6
2015,Hepatitis B,under 1 year,Vinnytsya,29.9
2015,Tuberculosis,under 1 year,Volyn,16.4
2015,Poliomyelitis,under 1 year,Volyn,53.6
2015,Poliomyelitis,18 months,Volyn,91.6
2015,Poliomyelitis,6 years,Volyn,37.8
2015,Poliomyelitis,14 years,Volyn,38.0
2015,"Diphtheria, tetanus",under 1 year,Volyn,16.6
2015,Pertussis,under 1 year,Volyn,16.6
2015,"Diphtheria, tetanus",18 months,Volyn,28.4
2015,Pertussis,18 months,Volyn,28.4
2015,"Diphtheria, tetanus",6 years,Volyn,0.0
2015,"Diphtheria, tetanus",adults,Volyn,0.0
2015,"Measles, mumps, rubella",1 year,Volyn,56.3
2015,"Measles, mumps, rubella",6 years,Volyn,72.1
2015,Hepatitis B,under 1 year,Volyn,14.4
2015,Tuberculosis,under 1 year,Dnipropetrovsk,28.6
2015,Poliomyelitis,under 1 year,Dnipropetrovsk,81.8
2015,Poliomyelitis,18 months,Dnipropetrovsk,99.7
2015,Poliomyelitis,6 years,Dnipropetrovsk,48.0
2015,Poliomyelitis,14 years,Dnipropetrovsk,38.7
2015,"Diphtheria, tetanus",under 1 year,Dnipropetrovsk,18.9
2015,Pertussis,under 1 year,Dnipropetrovsk,18.9
2015,"Diphtheria, tetanus",18 months,Dnipropetrovsk,31.0
2015,Pertussis,18 months,Dnipropetrovsk,31.0
2015,"Diphtheria, tetanus",6 years,Dnipropetrovsk,11.4
2015,"Diphtheria, tetanus",adults,Dnipropetrovsk,0.2
2015,"Measles, mumps, rubella",1 year,Dnipropetrovsk,79.7
2015,"Measles, mumps, rubella",6 years,Dnipropetrovsk,73.5
2015,Hepatitis B,under 1 year,Dnipropetrovsk,41.1
2015,Tuberculosis,under 1 year,Donetsk,51.5
2015,Poliomyelitis,under 1 year,Donetsk,82.0
2015,Poliomyelitis,18 months,Donetsk,100.0
2015,Poliomyelitis,6 years,Donetsk,74.5
2015,Poliomyelitis,14 years,Donetsk,67.0
2015,"Diphtheria, tetanus",under 1 year,Donetsk,26.1
2015,Pertussis,under 1 year,Donetsk,26.1
2015,"Diphtheria, tetanus",18 months,Donetsk,26.4
2015,Pertussis,18 months,Donetsk,26.4
2015,"Diphtheria, tetanus",6 years,Donetsk,10.9
2015,"Diphtheria, tetanus",adults,Donetsk,0.1
