Year,Total number and fatality,Sex,Types of economic activity,Value
2021,,,Construction,
2022,,,Construction,
2023,,,Construction,
2024,,,Construction,37.0
2015,,,"Boiler inspection, lifting structures",
2016,,,"Boiler inspection, lifting structures",
2017,,,"Boiler inspection, lifting structures",
2018,,,"Boiler inspection, lifting structures",
2019,,,"Boiler inspection, lifting structures",
2020,,,"Boiler inspection, lifting structures",
2021,,,"Boiler inspection, lifting structures",
2022,,,"Boiler inspection, lifting structures",
2023,,,"Boiler inspection, lifting structures",
2024,,,"Boiler inspection, lifting structures",29.0
2015,,,Mechanical engineering,
2016,,,Mechanical engineering,
2017,,,Mechanical engineering,
2018,,,Mechanical engineering,
2019,,,Mechanical engineering,
2020,,,Mechanical engineering,
2021,,,Mechanical engineering,
2022,,,Mechanical engineering,
2023,,,Mechanical engineering,
2024,,,Mechanical engineering,32.0
2015,,,Metallurgical industry,
2016,,,Metallurgical industry,
2017,,,Metallurgical industry,
2018,,,Metallurgical industry,
2019,,,Metallurgical industry,
2020,,,Metallurgical industry,
2021,,,Metallurgical industry,
2022,,,Metallurgical industry,
2023,,,Metallurgical industry,
2024,,,Metallurgical industry,57.0
2015,,,Chemical industry,
2016,,,Chemical industry,
2017,,,Chemical industry,
2018,,,Chemical industry,
2019,,,Chemical industry,
2020,,,Chemical industry,
2021,,,Chemical industry,
2022,,,Chemical industry,
2023,,,Chemical industry,
2024,,,Chemical industry,38.0
2015,,,Transport,
2016,,,Transport,
2017,,,Transport,
2018,,,Transport,
2019,,,Transport,
2020,,,Transport,
2021,,,Transport,
2022,,,Transport,
2023,,,Transport,
2024,,,Transport,35.0
2015,,,Communications,
2016,,,Communications,
2017,,,Communications,
2018,,,Communications,
2019,,,Communications,
2020,,,Communications,
2021,,,Communications,
2022,,,Communications,
2023,,,Communications,
2024,,,Communications,39.0
2015,,,Gas industry,
2016,,,Gas industry,
2017,,,Gas industry,
2018,,,Gas industry,
2019,,,Gas industry,
2020,,,Gas industry,
2021,,,Gas industry,
2022,,,Gas industry,
2023,,,Gas industry,
2024,,,Gas industry,19.0
2015,,,Housing and communal economy,
2016,,,Housing and communal economy,
