Year,Види економічної діяльності,Value
2018,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",0.2
2019,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",
2020,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",c
2021,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",
2022,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",2.6
2023,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",
2024,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення (Код за КВЕД-2010 – 58+59+60)",1.7
2015,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",
2016,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",
2017,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",
2018,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",0.8
2019,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",
2020,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",0.6
2021,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",
2022,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",1.0
2023,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",
2024,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг (Код за КВЕД-2010 – 61+62+63)",5.1
2015,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),
2016,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),
2017,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),
2018,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),4.2
2019,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),
2020,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),c
2021,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),
2022,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),2.8
2023,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),
2024,Фінансова та страхова діяльність (Код за КВЕД-2010 – K),4.5
2015,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",
2016,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",
2017,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",
2018,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",7.8
2019,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",
2020,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",5.4
2021,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",
2022,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",8.8
2023,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",
2024,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 71+72+73)",8.3
2015,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),
2016,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),
2017,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),
2018,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),1.3
2019,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),
2020,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),0.7
2021,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),
2022,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),c
2023,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),
2024,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження (Код за КВЕД-2010 – 71),c
2015,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),
2016,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),
2017,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),
2018,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),33.3
2019,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),
2020,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),25.0
2021,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),
2022,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),31.5
2023,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),
2024,Наукові дослідження та розробки (Код за КВЕД-2010 – 72),28.1
2015,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),
2016,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),
2017,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),
2018,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),0.3
2019,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),
2020,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),0.4
2021,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),
2022,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),c
2023,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),
2024,Рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 73),c
