Year,Види економічної діяльності,Value
2023,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність (Код за КВЕД-2010 – 16+17+18)",
2024,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність (Код за КВЕД-2010 – 16+17+18)",1.4
2015,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",
2016,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",
2017,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",
2018,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",0.9
2019,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",
2020,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",c
2021,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",
2022,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",0.9
2023,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",
2024,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 19+20+21)",10.4
2015,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",
2016,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",
2017,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",
2018,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",1.5
2019,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",
2020,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",1.1
2021,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",
2022,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",0.8
2023,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",
2024,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції (Код за КВЕД-2010 – 22+23)",0.5
2015,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",
2016,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",
2017,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",
2018,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",0.7
2019,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",
2020,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",3.5
2021,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",
2022,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",1.6
2023,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",
2024,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 24+25)",6.7
