Year,Тип закладу освіти,Область,Value
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Україна,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Автономна Республіка Крим,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Вінницька,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Волинська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Дніпропетровська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Донецька,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Житомирська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Закарпатська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Запорізька,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Івано-Франківська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Київська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Кіровоградська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Луганська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Львівська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Миколаївська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Одеська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Полтавська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Рівненська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Сумська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Тернопільська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Харківська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Херсонська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Хмельницька,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Черкаська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернівецька,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернігівська,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Київ,
2015,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Севастополь,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Україна,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Автономна Республіка Крим,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Вінницька,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Волинська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Дніпропетровська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Донецька,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Житомирська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Закарпатська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Запорізька,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Івано-Франківська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Київська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Кіровоградська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Луганська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Львівська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Миколаївська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Одеська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Полтавська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Рівненська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Сумська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Тернопільська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Харківська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Херсонська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Хмельницька,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Черкаська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернівецька,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернігівська,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Київ,
2016,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Севастополь,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Україна,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Автономна Республіка Крим,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Вінницька,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Волинська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Дніпропетровська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Донецька,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Житомирська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Закарпатська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Запорізька,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Івано-Франківська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Київська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Кіровоградська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Луганська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Львівська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Миколаївська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Одеська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Полтавська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Рівненська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Сумська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Тернопільська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Харківська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Херсонська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Хмельницька,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Черкаська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернівецька,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернігівська,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Київ,
2017,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Севастополь,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Україна,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Автономна Республіка Крим,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Вінницька,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Волинська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Дніпропетровська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Донецька,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Житомирська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Закарпатська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Запорізька,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Івано-Франківська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Київська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Кіровоградська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Луганська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Львівська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Миколаївська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Одеська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Полтавська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Рівненська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Сумська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Тернопільська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Харківська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Херсонська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Хмельницька,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Черкаська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернівецька,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернігівська,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Київ,
2018,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Севастополь,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Україна,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Автономна Республіка Крим,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Вінницька,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Волинська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Дніпропетровська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Донецька,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Житомирська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Закарпатська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Запорізька,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Івано-Франківська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Київська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Кіровоградська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Луганська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Львівська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Миколаївська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Одеська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Полтавська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Рівненська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Сумська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Тернопільська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Харківська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Херсонська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Хмельницька,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Черкаська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернівецька,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернігівська,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Київ,
2019,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Севастополь,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Україна,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Автономна Республіка Крим,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Вінницька,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Волинська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Дніпропетровська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Донецька,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Житомирська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Закарпатська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Запорізька,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Івано-Франківська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Київська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Кіровоградська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Луганська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Львівська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Миколаївська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Одеська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Полтавська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Рівненська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Сумська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Тернопільська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Харківська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Херсонська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Хмельницька,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Черкаська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернівецька,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернігівська,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Київ,
2020,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,м. Севастополь,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Україна,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Автономна Республіка Крим,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Вінницька,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Волинська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Дніпропетровська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Донецька,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Житомирська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Закарпатська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Запорізька,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Івано-Франківська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Київська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Кіровоградська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Луганська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Львівська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Миколаївська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Одеська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Полтавська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Рівненська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Сумська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Тернопільська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Харківська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Херсонська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Хмельницька,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Черкаська,
2021,заклади дошкільної освіти з широкосмуговим проводовим швидкісним (більше 30 Мбіт/с) доступом до мережі Інтернет,Чернівецька,
