Year,Показники виробничо–технологічних витрат у мережах постачання природного газу,Value
2015,виробничо–технологічні витрати під час транспортування природного газу,1466.0
2016,виробничо–технологічні витрати під час транспортування природного газу,1610.0
2017,виробничо–технологічні витрати під час транспортування природного газу,2116.0
2018,виробничо–технологічні витрати під час транспортування природного газу,1760.0
2019,виробничо–технологічні витрати під час транспортування природного газу,1809.0
2020,виробничо–технологічні витрати під час транспортування природного газу,807.0
2021,виробничо–технологічні витрати під час транспортування природного газу,659.0
2022,виробничо–технологічні витрати під час транспортування природного газу,447.0
2023,виробничо–технологічні витрати під час транспортування природного газу,302.0
2024,виробничо–технологічні витрати під час транспортування природного газу,170.0
2015,виробничо–технологічні витрати під час розподілу природного газу,1041.0
2016,виробничо–технологічні витрати під час розподілу природного газу,978.0
2017,виробничо–технологічні витрати під час розподілу природного газу,973.0
2018,виробничо–технологічні витрати під час розподілу природного газу,1026.0
2019,виробничо–технологічні витрати під час розподілу природного газу,1377.0
2020,виробничо–технологічні витрати під час розподілу природного газу,1342.0
2021,виробничо–технологічні витрати під час розподілу природного газу,1713.0
2022,виробничо–технологічні витрати під час розподілу природного газу,1244.0
2023,виробничо–технологічні витрати під час розподілу природного газу,1047.0
2024,виробничо–технологічні витрати під час розподілу природного газу,950.0
