Year,Стать,Value
2015,жінок,15
2015,чоловіків,85
2016,жінок,15
2016,чоловіків,85
2017,жінок,16
2017,чоловіків,84
2018,жінок,16
2018,чоловіків,84
2019,жінок,17
2019,чоловіків,83
2020,жінок,17
2020,чоловіків,83
2021,жінок,18
2021,чоловіків,82
2022,жінок,19
2022,чоловіків,81
2023,жінок,20
2023,чоловіків,80
2024,жінок,20
2024,чоловіків,80
