Year,Стать,Value
2015,,12.0
2016,,11.8
2017,,10.8
2018,,10.5
2019,,10.3
2020,,10.2
2021,,9.5
2022,,7.2
2023,,7.9
2024,,8.0
2015,дівчатка,
2016,дівчатка,
2017,дівчатка,
2018,дівчатка,
2019,дівчатка,
2020,дівчатка,
2021,дівчатка,
2022,дівчатка,
2023,дівчатка,
2024,дівчатка,
2015,хлопчики,
2016,хлопчики,
2017,хлопчики,
2018,хлопчики,
2019,хлопчики,
2020,хлопчики,
2021,хлопчики,
2022,хлопчики,
2023,хлопчики,
2024,хлопчики,
2015,"кількість вихованців, осіб",495710.0
2016,"кількість вихованців, осіб",493246.0
2017,"кількість вихованців, осіб",492188.0
2018,"кількість вихованців, осіб",470425.0
2019,"кількість вихованців, осіб",460175.0
2020,"кількість вихованців, осіб",452184.0
2021,"кількість вихованців, осіб",434268.0
2022,"кількість вихованців, осіб",329156.0
2023,"кількість вихованців, осіб",339971.0
2024,"кількість вихованців, осіб",342065.0
2015,дівчатка (кількість),128592.0
2016,дівчатка (кількість),129947.0
2017,дівчатка (кількість),129689.0
2018,дівчатка (кількість),123514.0
2019,дівчатка (кількість),121630.0
2020,дівчатка (кількість),118690.0
2021,дівчатка (кількість),117317.0
2022,дівчатка (кількість),89228.0
2023,дівчатка (кількість),94951.0
2024,дівчатка (кількість),98724.0
2015,хлопчики (кількість),367118.0
2016,хлопчики (кількість),363299.0
2017,хлопчики (кількість),362499.0
2018,хлопчики (кількість),346911.0
2019,хлопчики (кількість),338545.0
2020,хлопчики (кількість),333494.0
2021,хлопчики (кількість),316951.0
2022,хлопчики (кількість),239928.0
2023,хлопчики (кількість),245020.0
2024,хлопчики (кількість),243341.0
