Year,Загальна кількість та зі смертельним наслідком,Стать,Види економічної діяльності,Value
2015,,,Легка та текстильна промисловість,
2016,,,Легка та текстильна промисловість,
2017,,,Легка та текстильна промисловість,
2018,,,Легка та текстильна промисловість,
2019,,,Легка та текстильна промисловість,
2020,,,Легка та текстильна промисловість,
2021,,,Легка та текстильна промисловість,
2022,,,Легка та текстильна промисловість,
2023,,,Легка та текстильна промисловість,
2024,,,Легка та текстильна промисловість,10.0
2015,,,Соціально-культурна сфера та торгівля,
2016,,,Соціально-культурна сфера та торгівля,
2017,,,Соціально-культурна сфера та торгівля,
2018,,,Соціально-культурна сфера та торгівля,
2019,,,Соціально-культурна сфера та торгівля,
2020,,,Соціально-культурна сфера та торгівля,
2021,,,Соціально-культурна сфера та торгівля,
2022,,,Соціально-культурна сфера та торгівля,
2023,,,Соціально-культурна сфера та торгівля,
2024,,,Соціально-культурна сфера та торгівля,12.0
