Year,Стать,Value
2015,жінок,16
2015,чоловіків,84
2016,жінок,16
2016,чоловіків,84
2017,жінок,16
2017,чоловіків,84
2018,жінок,16
2018,чоловіків,84
2019,жінок,16
2019,чоловіків,84
2020,жінок,17
2020,чоловіків,83
2021,жінок,17
2021,чоловіків,83
2022,жінок,17
2022,чоловіків,83
2023,жінок,18
2023,чоловіків,82
2024,жінок,17
2024,чоловіків,83
