Year,Вік,Стать,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,36 – 60 років,чоловіків,64.0
2020,36 – 60 років,жінок,36.0
2021,36 – 60 років,чоловіків,72.0
2021,36 – 60 років,жінок,28.0
2023,36 – 60 років,чоловіків,68.0
2023,36 – 60 років,жінок,32.0
2024,36 – 60 років,чоловіків,71.0
2024,36 – 60 років,жінок,29.0
2021,61-64 роки,чоловіків,75.0
2021,61-64 роки,жінок,25.0
2023,61-64 роки,чоловіків,71.0
2023,61-64 роки,жінок,29.0
2024,61-64 роки,чоловіків,75.0
2024,61-64 роки,жінок,25.0
2020,65-70 років,чоловіків,100.0
2020,65-70 років,жінок,0.0
2021,65-70 років,чоловіків,100.0
2021,65-70 років,жінок,0.0
2023,65-70 років,чоловіків,100.0
2023,65-70 років,жінок,0.0
2024,65-70 років,чоловіків,100.0
2024,65-70 років,жінок,0.0
2020,,чоловіків,67.0
2020,,жінок,33.0
2021,,чоловіків,72.0
2021,,жінок,28.0
2022,,чоловіків,69.0
2022,,жінок,31.0
2023,,чоловіків,69.0
2023,,жінок,31.0
2024,,чоловіків,73.0
2024,,жінок,27.0
2020,менше 35 років,чоловіків,75.0
2020,менше 35 років,жінок,25.0
2021,менше 35 років,чоловіків,68.0
2021,менше 35 років,жінок,32.0
2023,менше 35 років,чоловіків,64.0
2023,менше 35 років,жінок,36.0
2024,менше 35 років,чоловіків,76.0
2024,менше 35 років,жінок,24.0
