Year,Region,Safety,Value
2021,Kherson,,138.0
2021,Khmelnytskiy,,677.0
2021,Cherkasy,,1183.0
2021,Chernivtsi,,204.0
2021,Chernihiv,,609.0
2021,the city of Kyiv,,491.0
2021,city Sevastopol,,
2022,,hazardous waste,
2022,,non-hazardous waste,
2022,Ukraine,,
2022,Autonomous Republic of Crimea,,
2022,Vinnytsya,,
2022,Volyn,,
2022,Dnipropetrovsk,,
2022,Donetsk,,
2022,Zhytomyr,,
2022,Zakarpattya,,
2022,Zaporizhzhya,,
2022,Ivano-Frankivsk,,
2022,Kyiv,,
2022,Kirovohrad,,
2022,Luhansk,,
2022,Lviv,,
2022,Mykolayiv,,
2022,Odesa,,
2022,Poltava,,
2022,Rivne,,
2022,Sumy,,
2022,Ternopil,,
2022,Kharkiv,,
2022,Kherson,,
2022,Khmelnytskiy,,
2022,Cherkasy,,
2022,Chernivtsi,,
2022,Chernihiv,,
2022,the city of Kyiv,,
2022,city Sevastopol,,
2023,,hazardous waste,
2023,,non-hazardous waste,
2023,Ukraine,,
2023,Autonomous Republic of Crimea,,
2023,Vinnytsya,,
2023,Volyn,,
2023,Dnipropetrovsk,,
2023,Donetsk,,
2023,Zhytomyr,,
2023,Zakarpattya,,
2023,Zaporizhzhya,,
2023,Ivano-Frankivsk,,
2023,Kyiv,,
2023,Kirovohrad,,
2023,Luhansk,,
2023,Lviv,,
2023,Mykolayiv,,
2023,Odesa,,
2023,Poltava,,
2023,Rivne,,
2023,Sumy,,
2023,Ternopil,,
2023,Kharkiv,,
2023,Kherson,,
2023,Khmelnytskiy,,
2023,Cherkasy,,
2023,Chernivtsi,,
2023,Chernihiv,,
2023,the city of Kyiv,,
2023,city Sevastopol,,
2024,,hazardous waste,
2024,,non-hazardous waste,
2024,Ukraine,,
2024,Autonomous Republic of Crimea,,
2024,Vinnytsya,,
2024,Volyn,,
2024,Dnipropetrovsk,,
2024,Donetsk,,
2024,Zhytomyr,,
2024,Zakarpattya,,
2024,Zaporizhzhya,,
2024,Ivano-Frankivsk,,
2024,Kyiv,,
2024,Kirovohrad,,
2024,Luhansk,,
2024,Lviv,,
2024,Mykolayiv,,
2024,Odesa,,
2024,Poltava,,
2024,Rivne,,
2024,Sumy,,
2024,Ternopil,,
2024,Kharkiv,,
2024,Kherson,,
2024,Khmelnytskiy,,
2024,Cherkasy,,
2024,Chernivtsi,,
2024,Chernihiv,,
2024,the city of Kyiv,,
2024,city Sevastopol,,
