Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-1-1-a,1
#1-1-2,1
#1-1-3,1
#1-2-1,1
#1-2-1-a,1
#1-3-4,1
#11-1-1,1
#3-1-5,2
#3-10-1,1
#3-4-2,1
#3-9-1,1
#4-1-1,1
#4-1-1-a,4
#4-2-1,1
#4-2-2,3
#4-3-1,3
#4-3-2,1
#4-4-1,1
#4-4-2,1
#4-4-2-a,12
#4-4-4,1
#4-4-5,3
#4-5-1,1
#4-8-1,1
#5-6-1,1
#7-6-1,1
#7-6-2,1
