Value,Disaggregation combinations using this value,Number of indicators
edu_bachelor,1,1
edu_doctor_of_philosophy,1,1
edu_fakhovyy_junior_bachelor,1,1
edu_junior,1,1
edu_junior_bachelor,1,1
edu_master,1,1
edu_specialist,1,1
