Indicator,Disaggregations,Number of disaggregations
#6-1-3-a,"Type of residence, Type of water supply",2
#6-1-4,"Type of residence, SupplyType",2
#6-2-1,"Type of residence, PopulationGroup",2
#6-3-1,"Region, Type of economic activity, By river basins",3
#6-3-1-a,Ec_activ,1
#6-3-2-a,Ec_activ,1
#6-5-1,By river basins,1
#7-1-1-a,Generation,1
#7-1-2-a,"Unit, Category, including",3
#7-1-3,Type of energy resources,1
#7-2-1,Region,1
#7-2-1-a,Sou_en,1
#7-3-1,By type of area,1
#7-3-5,Indicators of production and technological costs in natural gas supply grids,1
#7-4-4,"By types of producers, By types of renewable energy generation",2
#7-5-10,"Category, By sectors of the fuel and energy sector",2
#7-5-2,Indicators of energy consumption by households,1
#7-5-3,Average monthly electricity consumption,1
#7-5-4,By consumer categories,1
#7-5-7,By consumer categories,1
#7-5-9,"Resource, Building_type",2
#7-6-1,"Sex, Type of residence, Region, Age",4
#7-6-2,"Sex, Type of residence, Region, Age",4
#7-6-3,"Type of residence, Region, Households",3
#7-6-4,"Type of residence, Households",2
#7-7-1,"Type of residence, Region",2
#7-7-2,"Type of residence, Region",2
#8-1-4,group_30,1
#8-2-1,"Region, group_16, group_13, group_28, group_31",5
#8-2-2,"Region, group_16, group_13, group_28, group_31",5
#8-2-2-a,Group,1
#8-2-3,"Region, group_16, group_13",3
#8-2-4,"group_32, group_33, group_34, group_35, group_36",5
#8-3-1,"group_13, group_30, group_29",3
#8-3-1-a,"Sex, Type of residence",2
#8-4-1,group_30,1
#8-4-1-a,Sex,1
#8-5-1-a,Region,1
#8-5-2-a,Region,1
#8-5-3-a,"Ec_activ, including",2
#8-6-1-a,Ec_activ,1
#8-6-2-a,Group,1
#9-1-1-a,Region,1
#9-1-2,Ec_activ,1
#9-1-2-a,m_trans,1
#9-1-3,Ec_activ,1
#9-1-3-a,m_trans,1
#9-1-4-a,m_trans,1
#9-2-1,By special aggregations,1
#9-2-2,By special aggregations,1
#9-3-1,m_trans,1
#9-3-2,m_trans,1
#9-3-2-a,Object,1
#9-4-2,Unnamed: 1,1
#9-5-2-a,Ec_activ,1
#9-6-1-a,"Type of residence, Region",2
#9-6-3,"Region, Category",2
#9-6-4,"Sex, Type of residence, Region, Age, By frequency of use, By purpose of use",6
