Value,Disaggregation combinations using this value,Number of indicators
energy_water_utilities,1,1
healthcare,1,1
other_institution,1,1
tourism_recreation_culture_sport,1,1
transport_infrastructure,1,1
waste_management_excl_collection_transport,1,1
