Year,Sex,Value
2015,women,16
2015,men,84
2016,women,16
2016,men,84
2017,women,16
2017,men,84
2018,women,16
2018,men,84
2019,women,16
2019,men,84
2020,women,17
2020,men,83
2021,women,17
2021,men,83
2022,women,17
2022,men,83
2023,women,18
2023,men,82
2024,women,17
2024,men,83
