Year,Типи енергетичних ресурсів,Value
2018,палива дизельні (коди згідно з УКТЗЕД 2710 19 43 00–2710 19 48 00),45.6
2019,палива дизельні (коди згідно з УКТЗЕД 2710 19 43 00–2710 19 48 00),42.9
2020,палива дизельні (коди згідно з УКТЗЕД 2710 19 43 00–2710 19 48 00),41.4
2021,палива дизельні (коди згідно з УКТЗЕД 2710 19 43 00–2710 19 48 00),42.3
2022,палива дизельні (коди згідно з УКТЗЕД 2710 19 43 00–2710 19 48 00),13.6
2023,палива дизельні (коди згідно з УКТЗЕД 2710 19 43 00–2710 19 48 00),16.8
2024,палива дизельні (коди згідно з УКТЗЕД 2710 19 43 00–2710 19 48 00),24.7
2015,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),57.3
2016,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),74.2
2017,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),48.7
2018,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),38.7
2019,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),46.0
2020,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),48.4
2021,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),41.9
2022,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),32.5
2023,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),22.9
2024,гази вуглеводневі скраплені (LPG)(коди згідно з УКТЗЕД 2711 12–2711 19 00 00),21.7
2015,газ природний (код згідно з УКТЗЕД 2711 21 00 00),37.3
2016,газ природний (код згідно з УКТЗЕД 2711 21 00 00),29.5
2017,газ природний (код згідно з УКТЗЕД 2711 21 00 00),40.5
2018,газ природний (код згідно з УКТЗЕД 2711 21 00 00),37.3
2019,газ природний (код згідно з УКТЗЕД 2711 21 00 00),44.5
2020,газ природний (код згідно з УКТЗЕД 2711 21 00 00),35.5
2021,газ природний (код згідно з УКТЗЕД 2711 21 00 00),63.3
2022,газ природний (код згідно з УКТЗЕД 2711 21 00 00),43.5
2023,газ природний (код згідно з УКТЗЕД 2711 21 00 00),31.3
2024,газ природний (код згідно з УКТЗЕД 2711 21 00 00),60.4
2015,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),91.6
2016,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),60.9
2017,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),58.6
2018,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),61.3
2019,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),55.4
2020,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),53.8
2021,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),69.7
2022,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),70.3
2023,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),100.0
2024,неопромiненi паливнi елементи (твели) для ядерних реакторів (код згідно з УКТЗЕД 8401 30 00 00),100.0
