Year,Type of residence,Type of water supply,Value
2015,urban_a,,3.1
2016,urban_a,,4.3
2017,urban_a,,4.6
2018,urban_a,,5.1
2019,urban_a,,5.7
2020,urban_a,,4.7
2021,urban_a,,5.1
2022,urban_a,,2.1
2023,urban_a,,2.7
2015,rural_a,,7.6
2016,rural_a,,10.4
2017,rural_a,,11.2
2018,rural_a,,11.8
2019,rural_a,,11.4
2020,rural_a,,13.8
2021,rural_a,,11.9
2022,rural_a,,11.4
2023,rural_a,,11.0
2015,,centralized_a,4.6
2016,,centralized_a,6.4
2017,,centralized_a,6.7
2018,,centralized_a,7.7
2019,,centralized_a,8.2
2020,,centralized_a,7.6
2021,,centralized_a,7.5
2022,,centralized_a,3.5
2023,,centralized_a,4.3
2015,,decentralized,18.0
2016,,decentralized,23.1
2017,,decentralized,20.4
2018,,decentralized,23.4
2019,,decentralized,24.6
2020,,decentralized,22.6
2021,,decentralized,22.9
2022,,decentralized,28.3
2023,,decentralized,25.1
