Year,Group,Value
2015,,
2016,,
2017,,96.2
2018,,110.7
2019,,130.5
2020,,211.4
2021,,284.2
2022,,251.8
2023,,251.9
2015,males_a,
2016,males_a,
2017,males_a,10.4
2018,males_a,14.5
2019,males_a,14.6
2020,males_a,27.7
2021,males_a,45.7
2022,males_a,37.6
2023,males_a,46.9
2015,females_a,
2016,females_a,
2017,females_a,85.3
2018,females_a,91.1
2019,females_a,114.8
2020,females_a,180.9
2021,females_a,233.2
2022,females_a,208.5
2023,females_a,196.4
2015,children_a,
2016,children_a,
2017,children_a,0.9
2018,children_a,1.0
2019,children_a,1.1
2020,children_a,2.8
2021,children_a,5.3
2022,children_a,5.7
2023,children_a,8.6
