Year,Specialty,Education Level,Value
2024,spec_134,,13.28
2015,spec_135,,
2016,spec_135,,7.89
2017,spec_135,,6.16
2018,spec_135,,6.11
2019,spec_135,,6.85
2020,spec_135,,6.59
2021,spec_135,,7.75
2022,spec_135,,8.38
2023,spec_135,,7.66
2024,spec_135,,8.84
2015,spec_136,,
2016,spec_136,,19.75
2017,spec_136,,19.92
2018,spec_136,,19.79
2019,spec_136,,20.7
2020,spec_136,,20.23
2021,spec_136,,20.48
2022,spec_136,,19.06
2023,spec_136,,14.8
2024,spec_136,,11.86
2015,spec_141,,
2016,spec_141,,8.39
2017,spec_141,,8.63
2018,spec_141,,8.54
2019,spec_141,,7.98
2020,spec_141,,7.85
2021,spec_141,,7.35
2022,spec_141,,7.03
2023,spec_141,,6.15
2024,spec_141,,5.69
2015,spec_142,,
2016,spec_142,,4.15
2017,spec_142,,4.56
2018,spec_142,,4.58
2019,spec_142,,4.48
2020,spec_142,,4.47
2021,spec_142,,3.83
2022,spec_142,,3.94
2023,spec_142,,3.96
2024,spec_142,,4.02
2015,spec_143,,
2016,spec_143,,16.44
2017,spec_143,,16.03
2018,spec_143,,16.31
2019,spec_143,,18.13
2020,spec_143,,19.27
2021,spec_143,,20.3
2022,spec_143,,20.0
2023,spec_143,,17.78
2024,spec_143,,20.06
2015,spec_144,,
2016,spec_144,,20.92
2017,spec_144,,20.87
2018,spec_144,,19.9
2019,spec_144,,18.67
2020,spec_144,,19.24
2021,spec_144,,18.62
2022,spec_144,,17.38
2023,spec_144,,15.23
2024,spec_144,,14.06
2015,spec_145,,
2016,spec_145,,
2017,spec_145,,
2018,spec_145,,
2019,spec_145,,
2020,spec_145,,
2021,spec_145,,
2022,spec_145,,
2023,spec_145,,3.57
2024,spec_145,,4.87
2015,spec_145_1,,
2016,spec_145_1,,22.56
2017,spec_145_1,,27.94
2018,spec_145_1,,28.39
2019,spec_145_1,,27.55
2020,spec_145_1,,21.74
2021,spec_145_1,,13.37
2022,spec_145_1,,10.8
2023,spec_145_1,,11.18
2024,spec_145_1,,13.25
2015,spec_151,,
2016,spec_151,,14.59
2017,spec_151,,13.94
2018,spec_151,,12.88
2019,spec_151,,11.96
2020,spec_151,,11.11
2021,spec_151,,10.41
2022,spec_151,,9.68
2023,spec_151,,9.15
2024,spec_151,,9.8
2015,spec_152,,
2016,spec_152,,35.93
2017,spec_152,,33.52
2018,spec_152,,32.82
2019,spec_152,,31.8
2020,spec_152,,29.09
2021,spec_152,,26.11
2022,spec_152,,21.39
2023,spec_152,,19.87
2024,spec_152,,22.63
2015,spec_153,,
2016,spec_153,,17.66
2017,spec_153,,16.21
2018,spec_153,,16.43
2019,spec_153,,16.31
2020,spec_153,,15.44
2021,spec_153,,14.52
2022,spec_153,,13.02
2023,spec_153,,12.44
2024,spec_153,,13.43
2015,spec_161,,
2016,spec_161,,56.63
2017,spec_161,,55.99
2018,spec_161,,54.49
2019,spec_161,,53.3
2020,spec_161,,53.44
2021,spec_161,,53.02
2022,spec_161,,49.46
2023,spec_161,,40.79
2024,spec_161,,36.19
2015,spec_162,,
2016,spec_162,,67.81
2017,spec_162,,68.89
2018,spec_162,,71.06
2019,spec_162,,70.7
2020,spec_162,,69.68
2021,spec_162,,68.71
2022,spec_162,,64.78
2023,spec_162,,61.05
2024,spec_162,,60.5
2015,spec_163,,
2016,spec_163,,41.96
