Year,Види економічної діяльності,Value
2015,,
2016,,
2017,,
2018,,0.7
2019,,
2020,,1.1
2021,,
2022,,0.7
2023,,
2024,,2.1
2015,Промисловість,
2016,Промисловість,
2017,Промисловість,
2018,Промисловість,0.9
2019,Промисловість,
2020,Промисловість,1.9
2021,Промисловість,
2022,Промисловість,1.0
2023,Промисловість,
2024,Промисловість,2.8
2015,Добувна промисловість і розроблення кар’єрів,
2016,Добувна промисловість і розроблення кар’єрів,
2017,Добувна промисловість і розроблення кар’єрів,
2018,Добувна промисловість і розроблення кар’єрів,0.1
2019,Добувна промисловість і розроблення кар’єрів,
2020,Добувна промисловість і розроблення кар’єрів,1.8
2021,Добувна промисловість і розроблення кар’єрів,
2022,Добувна промисловість і розроблення кар’єрів,2.2
2023,Добувна промисловість і розроблення кар’єрів,
2024,Добувна промисловість і розроблення кар’єрів,2.5
2015,Переробна промисловість,
2016,Переробна промисловість,
2017,Переробна промисловість,
2018,Переробна промисловість,1.4
2019,Переробна промисловість,
2020,Переробна промисловість,2.4
2021,Переробна промисловість,
2022,Переробна промисловість,1.4
2023,Переробна промисловість,
2024,Переробна промисловість,4.5
2015,"Виробництво харчових продуктів, напоїв і тютюнових виробів",
2016,"Виробництво харчових продуктів, напоїв і тютюнових виробів",
2017,"Виробництво харчових продуктів, напоїв і тютюнових виробів",
2018,"Виробництво харчових продуктів, напоїв і тютюнових виробів",к
2019,"Виробництво харчових продуктів, напоїв і тютюнових виробів",
2020,"Виробництво харчових продуктів, напоїв і тютюнових виробів",к
2021,"Виробництво харчових продуктів, напоїв і тютюнових виробів",
2022,"Виробництво харчових продуктів, напоїв і тютюнових виробів",0.9
2023,"Виробництво харчових продуктів, напоїв і тютюнових виробів",
2024,"Виробництво харчових продуктів, напоїв і тютюнових виробів",2.1
2015,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",
2016,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",
2017,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",
2018,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",1.9
2019,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",
