Year,за спеціальностями,за рівнями (ступенями) освіти,Value
2016,Матеріалознавство,,22.75
2017,Матеріалознавство,,22.3
2018,Матеріалознавство,,21.25
2019,Матеріалознавство,,20.99
2020,Матеріалознавство,,21.0
2021,Матеріалознавство,,22.03
2022,Матеріалознавство,,18.74
2023,Матеріалознавство,,14.73
2024,Матеріалознавство,,13.87
2015,Галузеве машинобудування,,
2016,Галузеве машинобудування,,7.73
2017,Галузеве машинобудування,,7.54
2018,Галузеве машинобудування,,7.36
2019,Галузеве машинобудування,,7.41
2020,Галузеве машинобудування,,7.63
2021,Галузеве машинобудування,,7.68
2022,Галузеве машинобудування,,7.19
2023,Галузеве машинобудування,,5.79
2024,Галузеве машинобудування,,4.8
2015,Авіаційна та ракетно-космічна техніка,,
2016,Авіаційна та ракетно-космічна техніка,,15.73
2017,Авіаційна та ракетно-космічна техніка,,16.02
2018,Авіаційна та ракетно-космічна техніка,,16.11
2019,Авіаційна та ракетно-космічна техніка,,15.57
2020,Авіаційна та ракетно-космічна техніка,,15.28
2021,Авіаційна та ракетно-космічна техніка,,16.12
2022,Авіаційна та ракетно-космічна техніка,,13.78
2023,Авіаційна та ракетно-космічна техніка,,13.06
2024,Авіаційна та ракетно-космічна техніка,,13.28
2015,Суднобудування,,
2016,Суднобудування,,7.89
2017,Суднобудування,,6.16
2018,Суднобудування,,6.11
2019,Суднобудування,,6.85
2020,Суднобудування,,6.59
2021,Суднобудування,,7.75
2022,Суднобудування,,8.38
2023,Суднобудування,,7.66
2024,Суднобудування,,8.84
2015,Металургія,,
2016,Металургія,,19.75
2017,Металургія,,19.92
2018,Металургія,,19.79
2019,Металургія,,20.7
2020,Металургія,,20.23
2021,Металургія,,20.48
2022,Металургія,,19.06
2023,Металургія,,14.8
2024,Металургія,,11.86
2015,"Електроенергетика, електротехніка та електромеханіка",,
2016,"Електроенергетика, електротехніка та електромеханіка",,8.39
2017,"Електроенергетика, електротехніка та електромеханіка",,8.63
2018,"Електроенергетика, електротехніка та електромеханіка",,8.54
2019,"Електроенергетика, електротехніка та електромеханіка",,7.98
2020,"Електроенергетика, електротехніка та електромеханіка",,7.85
2021,"Електроенергетика, електротехніка та електромеханіка",,7.35
2022,"Електроенергетика, електротехніка та електромеханіка",,7.03
2023,"Електроенергетика, електротехніка та електромеханіка",,6.15
2024,"Електроенергетика, електротехніка та електромеханіка",,5.69
2015,Енергетичне машинобудування,,
2016,Енергетичне машинобудування,,4.15
2017,Енергетичне машинобудування,,4.56
2018,Енергетичне машинобудування,,4.58
2019,Енергетичне машинобудування,,4.48
2020,Енергетичне машинобудування,,4.47
2021,Енергетичне машинобудування,,3.83
2022,Енергетичне машинобудування,,3.94
2023,Енергетичне машинобудування,,3.96
2024,Енергетичне машинобудування,,4.02
2015,Атомна енергетика,,
2016,Атомна енергетика,,16.44
2017,Атомна енергетика,,16.03
2018,Атомна енергетика,,16.31
2019,Атомна енергетика,,18.13
2020,Атомна енергетика,,19.27
2021,Атомна енергетика,,20.3
2022,Атомна енергетика,,20.0
2023,Атомна енергетика,,17.78
2024,Атомна енергетика,,20.06
2015,Теплоенергетика,,
2016,Теплоенергетика,,20.92
2017,Теплоенергетика,,20.87
2018,Теплоенергетика,,19.9
2019,Теплоенергетика,,18.67
2020,Теплоенергетика,,19.24
2021,Теплоенергетика,,18.62
2022,Теплоенергетика,,17.38
2023,Теплоенергетика,,15.23
2024,Теплоенергетика,,14.06
2015,Автоматизація та комп’ютерно-інтегровані технології,,
2016,Автоматизація та комп’ютерно-інтегровані технології,,14.59
2017,Автоматизація та комп’ютерно-інтегровані технології,,13.94
2018,Автоматизація та комп’ютерно-інтегровані технології,,12.88
2019,Автоматизація та комп’ютерно-інтегровані технології,,11.96
2020,Автоматизація та комп’ютерно-інтегровані технології,,11.11
2021,Автоматизація та комп’ютерно-інтегровані технології,,10.41
2022,Автоматизація та комп’ютерно-інтегровані технології,,9.68
2023,Автоматизація та комп’ютерно-інтегровані технології,,9.15
2024,Автоматизація та комп’ютерно-інтегровані технології,,9.8
2015,Метрологія та інформаційно-вимірювальна техніка,,
2016,Метрологія та інформаційно-вимірювальна техніка,,35.93
2017,Метрологія та інформаційно-вимірювальна техніка,,33.52
2018,Метрологія та інформаційно-вимірювальна техніка,,32.82
2019,Метрологія та інформаційно-вимірювальна техніка,,31.8
2020,Метрологія та інформаційно-вимірювальна техніка,,29.09
2021,Метрологія та інформаційно-вимірювальна техніка,,26.11
2022,Метрологія та інформаційно-вимірювальна техніка,,21.39
2023,Метрологія та інформаційно-вимірювальна техніка,,19.87
2024,Метрологія та інформаційно-вимірювальна техніка,,22.63
2015,Мікро- та наносистемна техніка,,
2016,Мікро- та наносистемна техніка,,17.66
2017,Мікро- та наносистемна техніка,,16.21
2018,Мікро- та наносистемна техніка,,16.43
2019,Мікро- та наносистемна техніка,,16.31
2020,Мікро- та наносистемна техніка,,15.44
2021,Мікро- та наносистемна техніка,,14.52
2022,Мікро- та наносистемна техніка,,13.02
2023,Мікро- та наносистемна техніка,,12.44
2024,Мікро- та наносистемна техніка,,13.43
2015,Хімічні технології та інженерія,,
2016,Хімічні технології та інженерія,,56.63
2017,Хімічні технології та інженерія,,55.99
2018,Хімічні технології та інженерія,,54.49
2019,Хімічні технології та інженерія,,53.3
2020,Хімічні технології та інженерія,,53.44
2021,Хімічні технології та інженерія,,53.02
2022,Хімічні технології та інженерія,,49.46
2023,Хімічні технології та інженерія,,40.79
2024,Хімічні технології та інженерія,,36.19
2015,Біотехнології та біоінженерія,,
2016,Біотехнології та біоінженерія,,67.81
2017,Біотехнології та біоінженерія,,68.89
2018,Біотехнології та біоінженерія,,71.06
2019,Біотехнології та біоінженерія,,70.7
2020,Біотехнології та біоінженерія,,69.68
2021,Біотехнології та біоінженерія,,68.71
2022,Біотехнології та біоінженерія,,64.78
2023,Біотехнології та біоінженерія,,61.05
2024,Біотехнології та біоінженерія,,60.5
2015,Біомедична інженерія,,
2016,Біомедична інженерія,,41.96
2017,Біомедична інженерія,,40.37
2018,Біомедична інженерія,,40.04
2019,Біомедична інженерія,,40.67
2020,Біомедична інженерія,,42.71
2021,Біомедична інженерія,,43.59
2022,Біомедична інженерія,,43.02
2023,Біомедична інженерія,,37.47
2024,Біомедична інженерія,,40.08
2015,Електроніка,,
2016,Електроніка,,11.05
2017,Електроніка,,11.04
2018,Електроніка,,10.79
2019,Електроніка,,10.58
2020,Електроніка,,11.07
2021,Електроніка,,10.91
2022,Електроніка,,9.7
2023,Електроніка,,8.05
2024,Електроніка,,7.96
2015,Електронні комунікації та радіотехніка,,
2016,Електронні комунікації та радіотехніка,,
2017,Електронні комунікації та радіотехніка,,
2018,Електронні комунікації та радіотехніка,,
2019,Електронні комунікації та радіотехніка,,
2020,Електронні комунікації та радіотехніка,,100.0
2021,Електронні комунікації та радіотехніка,,33.33
2022,Електронні комунікації та радіотехніка,,
2023,Електронні комунікації та радіотехніка,,8.61
2024,Електронні комунікації та радіотехніка,,8.98
2015,Телекомунікації та радіотехніка,,
2016,Телекомунікації та радіотехніка,,15.68
2017,Телекомунікації та радіотехніка,,14.9
2018,Телекомунікації та радіотехніка,,13.72
2019,Телекомунікації та радіотехніка,,12.9
2020,Телекомунікації та радіотехніка,,12.39
2021,Телекомунікації та радіотехніка,,12.19
2022,Телекомунікації та радіотехніка,,11.43
2023,Телекомунікації та радіотехніка,,10.66
2024,Телекомунікації та радіотехніка,,10.66
2015,Авіоніка,,
2016,Авіоніка,,16.14
2017,Авіоніка,,13.89
2018,Авіоніка,,12.74
2019,Авіоніка,,13.35
2020,Авіоніка,,13.36
2021,Авіоніка,,13.17
2022,Авіоніка,,13.59
2023,Авіоніка,,13.78
2024,Авіоніка,,15.53
2015,Харчові технології,,
2016,Харчові технології,,61.32
2017,Харчові технології,,60.69
2018,Харчові технології,,60.25
2019,Харчові технології,,59.74
2020,Харчові технології,,59.58
2021,Харчові технології,,59.51
