Year,Види економічної діяльності,Value
2015,,1.4
2016,,
2017,,0.7
2018,,0.8
2019,,1.3
2020,,1.9
2021,,0.9
2022,,1.0
2023,,0.5
2024,,3.0
2015,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),0.0
2016,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),
2017,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),0.1
2018,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),0.1
2019,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),0.2
2020,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),1.8
2021,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),c
2022,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),c
2023,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),c
2024,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),c
2015,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),
2016,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),
2017,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),c
2018,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),
2019,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),
2020,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),
2021,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),c
2022,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),
2023,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),
2024,Добування кам'яного та бурого вугілля (Код за КВЕД-2010 – 05),
2015,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),
2016,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),
2017,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),
2018,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),0.0
2019,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),
2020,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),c
2021,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),c
2022,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),
2023,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),
2024,Добування сирої нафти та природного газу (Код за КВЕД-2010 – 06),
2015,Добування металевих руд (Код за КВЕД-2010 – 07),
2016,Добування металевих руд (Код за КВЕД-2010 – 07),
2017,Добування металевих руд (Код за КВЕД-2010 – 07),
2018,Добування металевих руд (Код за КВЕД-2010 – 07),0.2
2019,Добування металевих руд (Код за КВЕД-2010 – 07),0.3
2020,Добування металевих руд (Код за КВЕД-2010 – 07),c
2021,Добування металевих руд (Код за КВЕД-2010 – 07),c
2022,Добування металевих руд (Код за КВЕД-2010 – 07),c
2023,Добування металевих руд (Код за КВЕД-2010 – 07),
2024,Добування металевих руд (Код за КВЕД-2010 – 07),c
2015,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),0.5
2016,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),
2017,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),0.3
