Year,"Концентрація основних забруднювачів у морській воді за речовинами, міліграмів на куб. метр",Value
2015,Cadmium and its compounds,0.013
2016,Cadmium and its compounds,0.093
2017,Cadmium and its compounds,0.149
2018,Cadmium and its compounds,0.402
2019,Cadmium and its compounds,0.256
2020,Cadmium and its compounds,0.421
2021,Cadmium and its compounds,0.576
2022,Cadmium and its compounds,0.044
2023,Cadmium and its compounds,0.343
2024,Cadmium and its compounds,0.067
2015,Lead and its compounds,0.268
2016,Lead and its compounds,0.057
2017,Lead and its compounds,2.097
2018,Lead and its compounds,0.658
2019,Lead and its compounds,1.289
2020,Lead and its compounds,0.964
2021,Lead and its compounds,1.156
2022,Lead and its compounds,0.73
2023,Lead and its compounds,0.563
2024,Lead and its compounds,0.683
2015,Mercury and its compounds,0.0
2016,Mercury and its compounds,0.0
2017,Mercury and its compounds,0.007
2018,Mercury and its compounds,0.083
2019,Mercury and its compounds,0.0
2020,Mercury and its compounds,0.032
2021,Mercury and its compounds,0.021
2022,Mercury and its compounds,0.012
2023,Mercury and its compounds,0.0
2024,Mercury and its compounds,0.013
2015,Nickel and its compounds,0.598
2016,Nickel and its compounds,9.563
2017,Nickel and its compounds,9.179
2018,Nickel and its compounds,0.553
2019,Nickel and its compounds,0.0
2020,Nickel and its compounds,0.0
2021,Nickel and its compounds,0.184
2022,Nickel and its compounds,0.4
2023,Nickel and its compounds,1.732
2024,Nickel and its compounds,0.237
2015,Arsenic (As),1.117
2016,Arsenic (As),0.653
2017,Arsenic (As),3.956
2018,Arsenic (As),0.0
2019,Arsenic (As),0.0
2020,Arsenic (As),0.0
2021,Arsenic (As),0.0
2022,Arsenic (As),0.216
2023,Arsenic (As),0.203
2024,Arsenic (As),0.07
2015,Chromium (Cr),6.375
2016,Chromium (Cr),0.637
2017,Chromium (Cr),21.97
2018,Chromium (Cr),1.753
2019,Chromium (Cr),3.164
2020,Chromium (Cr),0.0
2021,Chromium (Cr),5.797
2022,Chromium (Cr),0.601
2023,Chromium (Cr),0.292
2024,Chromium (Cr),0.245
2015,Copper (Cu),0.749
2016,Copper (Cu),5.124
2017,Copper (Cu),0.0
2018,Copper (Cu),14.959
2019,Copper (Cu),2.941
2020,Copper (Cu),0.266
2021,Copper (Cu),1.369
2022,Copper (Cu),1.119
2023,Copper (Cu),3.387
2024,Copper (Cu),1.794
2015,Zinc (Zn),1.471
2016,Zinc (Zn),34.164
2017,Zinc (Zn),17.231
2018,Zinc (Zn),7.14
2019,Zinc (Zn),0.0
2020,Zinc (Zn),47.011
2021,Zinc (Zn),0.278
2022,Zinc (Zn),2.924
2023,Zinc (Zn),31.006
2024,Zinc (Zn),3.943
2015,Cobalt (Co),0.525
2016,Cobalt (Co),2.253
2017,Cobalt (Co),0.068
2018,Cobalt (Co),0.0
2019,Cobalt (Co),0.0
2020,Cobalt (Co),0.0
2021,Cobalt (Co),0.064
2022,Cobalt (Co),0.0
2023,Cobalt (Co),0.155
2024,Cobalt (Co),0.121
2015,Vanadium,
2016,Vanadium,
2017,Vanadium,
2018,Vanadium,
2019,Vanadium,
2020,Vanadium,
2021,Vanadium,
2022,Vanadium,
2023,Vanadium,
2024,Vanadium,
2015,Molybdenum,
2016,Molybdenum,
2017,Molybdenum,
2018,Molybdenum,
