Year,Місцевість проживання,Область,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,2453668.0
2023,міська,,1340763.0
2023,сільська,,1118028.0
2023,,Вінницька,139.058
2023,,Волинська,66.304
2023,,Дніпропетровська,188.201
2023,,Донецька,103.138
2023,,Житомирська,98.309
2023,,Закарпатська,37.41
2023,,Запорізька,101.777
2023,,Івано-Франківська,86.554
2023,,Київська,112.919
2023,,Кіровоградська,78.455
2023,,Луганська,57.27
2023,,Львівська,129.224
2023,,23_reg_Mykolaiv,63.762
2023,,Одеська,72.544
2023,,Полтавська,139.665
2023,,Рівненська,73.547
2023,,Сумська,126.206
2023,,Тернопільська,80.327
2023,,Харківська,179.459
2023,,Херсонська,45.922
2023,,31_reg_Khmelnytsya,109.001
2023,,Черкаська,133.372
2023,,Чернівецька,44.417
2023,,Чернігівська,119.539
2023,,місто Київ,67.942
