Year,Компоненти індексу,Область,Вік,Стать,Value
2020,Зниження негативних трендів міграції,Луганська,36 – 60 років,,
2021,Зниження негативних трендів міграції,Луганська,36–59 років,,
2022,Зниження негативних трендів міграції,Луганська,36–59 років,,
2023,Зниження негативних трендів міграції,Луганська,36–59 років,,
2017,Зниження негативних трендів міграції,Луганська,61 рік і старші,,3.5
2018,Зниження негативних трендів міграції,Луганська,61 рік і старші,,4.3
2019,Зниження негативних трендів міграції,Луганська,61 рік і старші,,
2020,Зниження негативних трендів міграції,Луганська,61 рік і старші,,
2021,Зниження негативних трендів міграції,Луганська,60 років і старші,,
2022,Зниження негативних трендів міграції,Луганська,60 років і старші,,
2023,Зниження негативних трендів міграції,Луганська,60 років і старші,,
2017,Зниження негативних трендів міграції,Луганська,,Чоловіча,4.4
2018,Зниження негативних трендів міграції,Луганська,,Чоловіча,5.3
2019,Зниження негативних трендів міграції,Луганська,,Чоловіча,
2020,Зниження негативних трендів міграції,Луганська,,Чоловіча,
2021,Зниження негативних трендів міграції,Луганська,,Чоловіча,
2022,Зниження негативних трендів міграції,Луганська,,Чоловіча,
2023,Зниження негативних трендів міграції,Луганська,,Чоловіча,
2017,Зниження негативних трендів міграції,Луганська,,Жіноча,4.4
2018,Зниження негативних трендів міграції,Луганська,,Жіноча,5.3
2019,Зниження негативних трендів міграції,Луганська,,Жіноча,
2020,Зниження негативних трендів міграції,Луганська,,Жіноча,
2021,Зниження негативних трендів міграції,Луганська,,Жіноча,
2022,Зниження негативних трендів міграції,Луганська,,Жіноча,
2023,Зниження негативних трендів міграції,Луганська,,Жіноча,
2017,Зниження негативних трендів міграції,Дніпропетровська,,,
2018,Зниження негативних трендів міграції,Дніпропетровська,,,
2019,Зниження негативних трендів міграції,Дніпропетровська,,,
2020,Зниження негативних трендів міграції,Дніпропетровська,,,
2021,Зниження негативних трендів міграції,Дніпропетровська,,,
2022,Зниження негативних трендів міграції,Дніпропетровська,,,
2023,Зниження негативних трендів міграції,Дніпропетровська,,,
2017,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,5.0
2018,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,5.7
2019,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2020,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2021,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2022,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2023,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2017,Зниження негативних трендів міграції,Дніпропетровська,36 – 60 років,,4.0
2018,Зниження негативних трендів міграції,Дніпропетровська,36 – 60 років,,4.6
2019,Зниження негативних трендів міграції,Дніпропетровська,36 – 60 років,,
2020,Зниження негативних трендів міграції,Дніпропетровська,36 – 60 років,,
2021,Зниження негативних трендів міграції,Дніпропетровська,36–59 років,,
2022,Зниження негативних трендів міграції,Дніпропетровська,36–59 років,,
2023,Зниження негативних трендів міграції,Дніпропетровська,36–59 років,,
2017,Зниження негативних трендів міграції,Дніпропетровська,61 рік і старші,,3.2
2018,Зниження негативних трендів міграції,Дніпропетровська,61 рік і старші,,3.5
2019,Зниження негативних трендів міграції,Дніпропетровська,61 рік і старші,,
2020,Зниження негативних трендів міграції,Дніпропетровська,61 рік і старші,,
2021,Зниження негативних трендів міграції,Дніпропетровська,60 років і старші,,
2022,Зниження негативних трендів міграції,Дніпропетровська,60 років і старші,,
2023,Зниження негативних трендів міграції,Дніпропетровська,60 років і старші,,
2017,Зниження негативних трендів міграції,Дніпропетровська,,Чоловіча,4.3
2018,Зниження негативних трендів міграції,Дніпропетровська,,Чоловіча,4.8
2019,Зниження негативних трендів міграції,Дніпропетровська,,Чоловіча,
2020,Зниження негативних трендів міграції,Дніпропетровська,,Чоловіча,
2021,Зниження негативних трендів міграції,Дніпропетровська,,Чоловіча,
2022,Зниження негативних трендів міграції,Дніпропетровська,,Чоловіча,
2023,Зниження негативних трендів міграції,Дніпропетровська,,Чоловіча,
2017,Зниження негативних трендів міграції,Дніпропетровська,,Жіноча,3.9
2018,Зниження негативних трендів міграції,Дніпропетровська,,Жіноча,4.6
2019,Зниження негативних трендів міграції,Дніпропетровська,,Жіноча,
2020,Зниження негативних трендів міграції,Дніпропетровська,,Жіноча,
2021,Зниження негативних трендів міграції,Дніпропетровська,,Жіноча,
2022,Зниження негативних трендів міграції,Дніпропетровська,,Жіноча,
2023,Зниження негативних трендів міграції,Дніпропетровська,,Жіноча,
2017,Зниження негативних трендів міграції,Запорізька,,,
2018,Зниження негативних трендів міграції,Запорізька,,,
2019,Зниження негативних трендів міграції,Запорізька,,,
2020,Зниження негативних трендів міграції,Запорізька,,,
2021,Зниження негативних трендів міграції,Запорізька,,,
2022,Зниження негативних трендів міграції,Запорізька,,,
2023,Зниження негативних трендів міграції,Запорізька,,,
2017,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,5.4
2018,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,5.4
2019,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2020,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2021,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2022,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2023,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2017,Зниження негативних трендів міграції,Запорізька,36 – 60 років,,4.1
2018,Зниження негативних трендів міграції,Запорізька,36 – 60 років,,4.4
2019,Зниження негативних трендів міграції,Запорізька,36 – 60 років,,
2020,Зниження негативних трендів міграції,Запорізька,36 – 60 років,,
2021,Зниження негативних трендів міграції,Запорізька,36–59 років,,
2022,Зниження негативних трендів міграції,Запорізька,36–59 років,,
2023,Зниження негативних трендів міграції,Запорізька,36–59 років,,
2017,Зниження негативних трендів міграції,Запорізька,61 рік і старші,,3.0
2018,Зниження негативних трендів міграції,Запорізька,61 рік і старші,,3.4
2019,Зниження негативних трендів міграції,Запорізька,61 рік і старші,,
2020,Зниження негативних трендів міграції,Запорізька,61 рік і старші,,
2021,Зниження негативних трендів міграції,Запорізька,60 років і старші,,
2022,Зниження негативних трендів міграції,Запорізька,60 років і старші,,
2023,Зниження негативних трендів міграції,Запорізька,60 років і старші,,
2017,Зниження негативних трендів міграції,Запорізька,,Чоловіча,4.2
2018,Зниження негативних трендів міграції,Запорізька,,Чоловіча,4.6
2019,Зниження негативних трендів міграції,Запорізька,,Чоловіча,
2020,Зниження негативних трендів міграції,Запорізька,,Чоловіча,
2021,Зниження негативних трендів міграції,Запорізька,,Чоловіча,
2022,Зниження негативних трендів міграції,Запорізька,,Чоловіча,
2023,Зниження негативних трендів міграції,Запорізька,,Чоловіча,
2017,Зниження негативних трендів міграції,Запорізька,,Жіноча,4.2
2018,Зниження негативних трендів міграції,Запорізька,,Жіноча,4.4
2019,Зниження негативних трендів міграції,Запорізька,,Жіноча,
2020,Зниження негативних трендів міграції,Запорізька,,Жіноча,
2021,Зниження негативних трендів міграції,Запорізька,,Жіноча,
2022,Зниження негативних трендів міграції,Запорізька,,Жіноча,
2023,Зниження негативних трендів міграції,Запорізька,,Жіноча,
2017,Зниження негативних трендів міграції,Харківська,,,
2018,Зниження негативних трендів міграції,Харківська,,,
2019,Зниження негативних трендів міграції,Харківська,,,
2020,Зниження негативних трендів міграції,Харківська,,,
2021,Зниження негативних трендів міграції,Харківська,,,
2022,Зниження негативних трендів міграції,Харківська,,,
2023,Зниження негативних трендів міграції,Харківська,,,
2017,Зниження негативних трендів міграції,Харківська,18 – 35 років,,5.0
2018,Зниження негативних трендів міграції,Харківська,18 – 35 років,,5.7
2019,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2020,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2021,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2022,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2023,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2017,Зниження негативних трендів міграції,Харківська,36 – 60 років,,4.1
2018,Зниження негативних трендів міграції,Харківська,36 – 60 років,,4.7
2019,Зниження негативних трендів міграції,Харківська,36 – 60 років,,
2020,Зниження негативних трендів міграції,Харківська,36 – 60 років,,
2021,Зниження негативних трендів міграції,Харківська,36–59 років,,
2022,Зниження негативних трендів міграції,Харківська,36–59 років,,
2023,Зниження негативних трендів міграції,Харківська,36–59 років,,
2017,Зниження негативних трендів міграції,Харківська,61 рік і старші,,3.2
2018,Зниження негативних трендів міграції,Харківська,61 рік і старші,,4.2
2019,Зниження негативних трендів міграції,Харківська,61 рік і старші,,
2020,Зниження негативних трендів міграції,Харківська,61 рік і старші,,
2021,Зниження негативних трендів міграції,Харківська,60 років і старші,,
2022,Зниження негативних трендів міграції,Харківська,60 років і старші,,
2023,Зниження негативних трендів міграції,Харківська,60 років і старші,,
2017,Зниження негативних трендів міграції,Харківська,,Чоловіча,4.3
2018,Зниження негативних трендів міграції,Харківська,,Чоловіча,5.1
2019,Зниження негативних трендів міграції,Харківська,,Чоловіча,
2020,Зниження негативних трендів міграції,Харківська,,Чоловіча,
2021,Зниження негативних трендів міграції,Харківська,,Чоловіча,
2022,Зниження негативних трендів міграції,Харківська,,Чоловіча,
2023,Зниження негативних трендів міграції,Харківська,,Чоловіча,
2017,Зниження негативних трендів міграції,Харківська,,Жіноча,4.1
2018,Зниження негативних трендів міграції,Харківська,,Жіноча,4.7
2019,Зниження негативних трендів міграції,Харківська,,Жіноча,
2020,Зниження негативних трендів міграції,Харківська,,Жіноча,
2021,Зниження негативних трендів міграції,Харківська,,Жіноча,
2022,Зниження негативних трендів міграції,Харківська,,Жіноча,
2023,Зниження негативних трендів міграції,Харківська,,Жіноча,
2017,Готовність до діалогу,Донецька,,,
2018,Готовність до діалогу,Донецька,,,
2019,Готовність до діалогу,Донецька,,,
2020,Готовність до діалогу,Донецька,,,
2021,Готовність до діалогу,Донецька,,,
2022,Готовність до діалогу,Донецька,,,
2023,Готовність до діалогу,Донецька,,,
2017,Готовність до діалогу,Донецька,18 – 35 років,,
2018,Готовність до діалогу,Донецька,18 – 35 років,,6.6
2019,Готовність до діалогу,Донецька,18 – 35 років,,
2020,Готовність до діалогу,Донецька,18 – 35 років,,
2021,Готовність до діалогу,Донецька,18 – 35 років,,
2022,Готовність до діалогу,Донецька,18 – 35 років,,
2023,Готовність до діалогу,Донецька,18 – 35 років,,
2017,Готовність до діалогу,Донецька,36 – 60 років,,
2018,Готовність до діалогу,Донецька,36 – 60 років,,6.7
2019,Готовність до діалогу,Донецька,36 – 60 років,,
2020,Готовність до діалогу,Донецька,36 – 60 років,,
2021,Готовність до діалогу,Донецька,36–59 років,,
2022,Готовність до діалогу,Донецька,36–59 років,,
2023,Готовність до діалогу,Донецька,36–59 років,,
2017,Готовність до діалогу,Донецька,61 рік і старші,,
2018,Готовність до діалогу,Донецька,61 рік і старші,,6.8
2019,Готовність до діалогу,Донецька,61 рік і старші,,
2020,Готовність до діалогу,Донецька,61 рік і старші,,
2021,Готовність до діалогу,Донецька,60 років і старші,,
2022,Готовність до діалогу,Донецька,60 років і старші,,
2023,Готовність до діалогу,Донецька,60 років і старші,,
2017,Готовність до діалогу,Донецька,,Чоловіча,
2018,Готовність до діалогу,Донецька,,Чоловіча,6.6
2019,Готовність до діалогу,Донецька,,Чоловіча,
2020,Готовність до діалогу,Донецька,,Чоловіча,
2021,Готовність до діалогу,Донецька,,Чоловіча,
2022,Готовність до діалогу,Донецька,,Чоловіча,
2023,Готовність до діалогу,Донецька,,Чоловіча,
2017,Готовність до діалогу,Донецька,,Жіноча,
2018,Готовність до діалогу,Донецька,,Жіноча,6.8
2019,Готовність до діалогу,Донецька,,Жіноча,
2020,Готовність до діалогу,Донецька,,Жіноча,
2021,Готовність до діалогу,Донецька,,Жіноча,
2022,Готовність до діалогу,Донецька,,Жіноча,
2023,Готовність до діалогу,Донецька,,Жіноча,
2017,Готовність до діалогу,Луганська,,,
2018,Готовність до діалогу,Луганська,,,
2019,Готовність до діалогу,Луганська,,,
2020,Готовність до діалогу,Луганська,,,
2021,Готовність до діалогу,Луганська,,,
2022,Готовність до діалогу,Луганська,,,
2023,Готовність до діалогу,Луганська,,,
2017,Готовність до діалогу,Луганська,18 – 35 років,,
2018,Готовність до діалогу,Луганська,18 – 35 років,,6.0
2019,Готовність до діалогу,Луганська,18 – 35 років,,
2020,Готовність до діалогу,Луганська,18 – 35 років,,
2021,Готовність до діалогу,Луганська,18 – 35 років,,
2022,Готовність до діалогу,Луганська,18 – 35 років,,
2023,Готовність до діалогу,Луганська,18 – 35 років,,
2017,Готовність до діалогу,Луганська,36 – 60 років,,
2018,Готовність до діалогу,Луганська,36 – 60 років,,6.3
2019,Готовність до діалогу,Луганська,36 – 60 років,,
2020,Готовність до діалогу,Луганська,36 – 60 років,,
2021,Готовність до діалогу,Луганська,36–59 років,,
2022,Готовність до діалогу,Луганська,36–59 років,,
2023,Готовність до діалогу,Луганська,36–59 років,,
2017,Готовність до діалогу,Луганська,61 рік і старші,,
2018,Готовність до діалогу,Луганська,61 рік і старші,,6.0
2019,Готовність до діалогу,Луганська,61 рік і старші,,
2020,Готовність до діалогу,Луганська,61 рік і старші,,
2021,Готовність до діалогу,Луганська,60 років і старші,,
2022,Готовність до діалогу,Луганська,60 років і старші,,
2023,Готовність до діалогу,Луганська,60 років і старші,,
2017,Готовність до діалогу,Луганська,,Чоловіча,
2018,Готовність до діалогу,Луганська,,Чоловіча,6.2
2019,Готовність до діалогу,Луганська,,Чоловіча,
2020,Готовність до діалогу,Луганська,,Чоловіча,
2021,Готовність до діалогу,Луганська,,Чоловіча,
2022,Готовність до діалогу,Луганська,,Чоловіча,
2023,Готовність до діалогу,Луганська,,Чоловіча,
2017,Готовність до діалогу,Луганська,,Жіноча,
2018,Готовність до діалогу,Луганська,,Жіноча,6.1
2019,Готовність до діалогу,Луганська,,Жіноча,
2020,Готовність до діалогу,Луганська,,Жіноча,
2021,Готовність до діалогу,Луганська,,Жіноча,
2022,Готовність до діалогу,Луганська,,Жіноча,
2023,Готовність до діалогу,Луганська,,Жіноча,
2017,Готовність до діалогу,Дніпропетровська,,,
2018,Готовність до діалогу,Дніпропетровська,,,
2019,Готовність до діалогу,Дніпропетровська,,,
2020,Готовність до діалогу,Дніпропетровська,,,
2021,Готовність до діалогу,Дніпропетровська,,,
2022,Готовність до діалогу,Дніпропетровська,,,
2023,Готовність до діалогу,Дніпропетровська,,,
2017,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2018,Готовність до діалогу,Дніпропетровська,18 – 35 років,,5.9
2019,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2020,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2021,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2022,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2023,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2017,Готовність до діалогу,Дніпропетровська,36 – 60 років,,
2018,Готовність до діалогу,Дніпропетровська,36 – 60 років,,5.9
2019,Готовність до діалогу,Дніпропетровська,36 – 60 років,,
2020,Готовність до діалогу,Дніпропетровська,36 – 60 років,,
2021,Готовність до діалогу,Дніпропетровська,36–59 років,,
2022,Готовність до діалогу,Дніпропетровська,36–59 років,,
2023,Готовність до діалогу,Дніпропетровська,36–59 років,,
2017,Готовність до діалогу,Дніпропетровська,61 рік і старші,,
2018,Готовність до діалогу,Дніпропетровська,61 рік і старші,,5.6
2019,Готовність до діалогу,Дніпропетровська,61 рік і старші,,
2020,Готовність до діалогу,Дніпропетровська,61 рік і старші,,
2021,Готовність до діалогу,Дніпропетровська,60 років і старші,,
2022,Готовність до діалогу,Дніпропетровська,60 років і старші,,
2023,Готовність до діалогу,Дніпропетровська,60 років і старші,,
2017,Готовність до діалогу,Дніпропетровська,,Чоловіча,
2018,Готовність до діалогу,Дніпропетровська,,Чоловіча,6.0
2019,Готовність до діалогу,Дніпропетровська,,Чоловіча,
2020,Готовність до діалогу,Дніпропетровська,,Чоловіча,
2021,Готовність до діалогу,Дніпропетровська,,Чоловіча,
2022,Готовність до діалогу,Дніпропетровська,,Чоловіча,
2023,Готовність до діалогу,Дніпропетровська,,Чоловіча,
2017,Готовність до діалогу,Дніпропетровська,,Жіноча,
2018,Готовність до діалогу,Дніпропетровська,,Жіноча,5.7
2019,Готовність до діалогу,Дніпропетровська,,Жіноча,
2020,Готовність до діалогу,Дніпропетровська,,Жіноча,
2021,Готовність до діалогу,Дніпропетровська,,Жіноча,
2022,Готовність до діалогу,Дніпропетровська,,Жіноча,
2023,Готовність до діалогу,Дніпропетровська,,Жіноча,
2017,Готовність до діалогу,Запорізька,,,
2018,Готовність до діалогу,Запорізька,,,
2019,Готовність до діалогу,Запорізька,,,
2020,Готовність до діалогу,Запорізька,,,
2021,Готовність до діалогу,Запорізька,,,
2022,Готовність до діалогу,Запорізька,,,
2023,Готовність до діалогу,Запорізька,,,
2017,Готовність до діалогу,Запорізька,18 – 35 років,,
2018,Готовність до діалогу,Запорізька,18 – 35 років,,5.8
2019,Готовність до діалогу,Запорізька,18 – 35 років,,
2020,Готовність до діалогу,Запорізька,18 – 35 років,,
2021,Готовність до діалогу,Запорізька,18 – 35 років,,
2022,Готовність до діалогу,Запорізька,18 – 35 років,,
2023,Готовність до діалогу,Запорізька,18 – 35 років,,
2017,Готовність до діалогу,Запорізька,36 – 60 років,,
2018,Готовність до діалогу,Запорізька,36 – 60 років,,6.5
2019,Готовність до діалогу,Запорізька,36 – 60 років,,
2020,Готовність до діалогу,Запорізька,36 – 60 років,,
2021,Готовність до діалогу,Запорізька,36–59 років,,
2022,Готовність до діалогу,Запорізька,36–59 років,,
2023,Готовність до діалогу,Запорізька,36–59 років,,
2017,Готовність до діалогу,Запорізька,61 рік і старші,,
2018,Готовність до діалогу,Запорізька,61 рік і старші,,6.2
2019,Готовність до діалогу,Запорізька,61 рік і старші,,
2020,Готовність до діалогу,Запорізька,61 рік і старші,,
2021,Готовність до діалогу,Запорізька,60 років і старші,,
2022,Готовність до діалогу,Запорізька,60 років і старші,,
2023,Готовність до діалогу,Запорізька,60 років і старші,,
2017,Готовність до діалогу,Запорізька,,Чоловіча,
2018,Готовність до діалогу,Запорізька,,Чоловіча,6.2
2019,Готовність до діалогу,Запорізька,,Чоловіча,
2020,Готовність до діалогу,Запорізька,,Чоловіча,
2021,Готовність до діалогу,Запорізька,,Чоловіча,
2022,Готовність до діалогу,Запорізька,,Чоловіча,
2023,Готовність до діалогу,Запорізька,,Чоловіча,
2017,Готовність до діалогу,Запорізька,,Жіноча,
2018,Готовність до діалогу,Запорізька,,Жіноча,6.2
2019,Готовність до діалогу,Запорізька,,Жіноча,
2020,Готовність до діалогу,Запорізька,,Жіноча,
2021,Готовність до діалогу,Запорізька,,Жіноча,
2022,Готовність до діалогу,Запорізька,,Жіноча,
2023,Готовність до діалогу,Запорізька,,Жіноча,
2017,Готовність до діалогу,Харківська,,,
2018,Готовність до діалогу,Харківська,,,
2019,Готовність до діалогу,Харківська,,,
2020,Готовність до діалогу,Харківська,,,
2021,Готовність до діалогу,Харківська,,,
2022,Готовність до діалогу,Харківська,,,
2023,Готовність до діалогу,Харківська,,,
2017,Готовність до діалогу,Харківська,18 – 35 років,,
2018,Готовність до діалогу,Харківська,18 – 35 років,,6.2
2019,Готовність до діалогу,Харківська,18 – 35 років,,
2020,Готовність до діалогу,Харківська,18 – 35 років,,
2021,Готовність до діалогу,Харківська,18 – 35 років,,
2022,Готовність до діалогу,Харківська,18 – 35 років,,
2023,Готовність до діалогу,Харківська,18 – 35 років,,
2017,Готовність до діалогу,Харківська,36 – 60 років,,
2018,Готовність до діалогу,Харківська,36 – 60 років,,6.3
2019,Готовність до діалогу,Харківська,36 – 60 років,,
2020,Готовність до діалогу,Харківська,36 – 60 років,,
2021,Готовність до діалогу,Харківська,36–59 років,,
2022,Готовність до діалогу,Харківська,36–59 років,,
2023,Готовність до діалогу,Харківська,36–59 років,,
2017,Готовність до діалогу,Харківська,61 рік і старші,,
2018,Готовність до діалогу,Харківська,61 рік і старші,,6.6
2019,Готовність до діалогу,Харківська,61 рік і старші,,
2020,Готовність до діалогу,Харківська,61 рік і старші,,
2021,Готовність до діалогу,Харківська,60 років і старші,,
2022,Готовність до діалогу,Харківська,60 років і старші,,
2023,Готовність до діалогу,Харківська,60 років і старші,,
2017,Готовність до діалогу,Харківська,,Чоловіча,
2018,Готовність до діалогу,Харківська,,Чоловіча,6.8
2019,Готовність до діалогу,Харківська,,Чоловіча,
2020,Готовність до діалогу,Харківська,,Чоловіча,
2021,Готовність до діалогу,Харківська,,Чоловіча,
2022,Готовність до діалогу,Харківська,,Чоловіча,
2023,Готовність до діалогу,Харківська,,Чоловіча,
2017,Готовність до діалогу,Харківська,,Жіноча,
2018,Готовність до діалогу,Харківська,,Жіноча,6.1
2019,Готовність до діалогу,Харківська,,Жіноча,
2020,Готовність до діалогу,Харківська,,Жіноча,
2021,Готовність до діалогу,Харківська,,Жіноча,
2022,Готовність до діалогу,Харківська,,Жіноча,
2023,Готовність до діалогу,Харківська,,Жіноча,
2017,Громадянська поведінка,Донецька,,,
2018,Громадянська поведінка,Донецька,,,
2019,Громадянська поведінка,Донецька,,,
2020,Громадянська поведінка,Донецька,,,
2021,Громадянська поведінка,Донецька,,,
2022,Громадянська поведінка,Донецька,,,
2023,Громадянська поведінка,Донецька,,,
2017,Громадянська поведінка,Донецька,18 – 35 років,,
2018,Громадянська поведінка,Донецька,18 – 35 років,,4.7
2019,Громадянська поведінка,Донецька,18 – 35 років,,6.6
2020,Громадянська поведінка,Донецька,18 – 35 років,,
2021,Громадянська поведінка,Донецька,18 – 35 років,,
2022,Громадянська поведінка,Донецька,18 – 35 років,,
2023,Громадянська поведінка,Донецька,18 – 35 років,,
2017,Громадянська поведінка,Донецька,36 – 60 років,,
2018,Громадянська поведінка,Донецька,36 – 60 років,,3.4
2019,Громадянська поведінка,Донецька,36 – 60 років,,6.5
2020,Громадянська поведінка,Донецька,36 – 60 років,,
2021,Громадянська поведінка,Донецька,36–59 років,,
2022,Громадянська поведінка,Донецька,36–59 років,,
2023,Громадянська поведінка,Донецька,36–59 років,,
2017,Громадянська поведінка,Донецька,61 рік і старші,,
2018,Громадянська поведінка,Донецька,61 рік і старші,,2.2
2019,Громадянська поведінка,Донецька,61 рік і старші,,6.3
2020,Громадянська поведінка,Донецька,61 рік і старші,,
2021,Громадянська поведінка,Донецька,60 років і старші,,
2022,Громадянська поведінка,Донецька,60 років і старші,,
2023,Громадянська поведінка,Донецька,60 років і старші,,
2017,Громадянська поведінка,Донецька,,Чоловіча,
2018,Громадянська поведінка,Донецька,,Чоловіча,3.8
2019,Громадянська поведінка,Донецька,,Чоловіча,6.6
2020,Громадянська поведінка,Донецька,,Чоловіча,
2021,Громадянська поведінка,Донецька,,Чоловіча,
2022,Громадянська поведінка,Донецька,,Чоловіча,
2023,Громадянська поведінка,Донецька,,Чоловіча,
2017,Громадянська поведінка,Донецька,,Жіноча,
2018,Громадянська поведінка,Донецька,,Жіноча,3.2
2019,Громадянська поведінка,Донецька,,Жіноча,6.4
2020,Громадянська поведінка,Донецька,,Жіноча,
2021,Громадянська поведінка,Донецька,,Жіноча,
2022,Громадянська поведінка,Донецька,,Жіноча,
2023,Громадянська поведінка,Донецька,,Жіноча,
2017,Громадянська поведінка,Луганська,,,
2018,Громадянська поведінка,Луганська,,,
2019,Громадянська поведінка,Луганська,,,
2020,Громадянська поведінка,Луганська,,,
2021,Громадянська поведінка,Луганська,,,
2022,Громадянська поведінка,Луганська,,,
2023,Громадянська поведінка,Луганська,,,
2017,Громадянська поведінка,Луганська,18 – 35 років,,
2018,Громадянська поведінка,Луганська,18 – 35 років,,4.4
2019,Громадянська поведінка,Луганська,18 – 35 років,,7.0
2020,Громадянська поведінка,Луганська,18 – 35 років,,
2021,Громадянська поведінка,Луганська,18 – 35 років,,
2022,Громадянська поведінка,Луганська,18 – 35 років,,
2023,Громадянська поведінка,Луганська,18 – 35 років,,
2017,Громадянська поведінка,Луганська,36 – 60 років,,
2018,Громадянська поведінка,Луганська,36 – 60 років,,4.3
2019,Громадянська поведінка,Луганська,36 – 60 років,,6.2
2020,Громадянська поведінка,Луганська,36 – 60 років,,
2021,Громадянська поведінка,Луганська,36–59 років,,
2022,Громадянська поведінка,Луганська,36–59 років,,
2023,Громадянська поведінка,Луганська,36–59 років,,
2017,Громадянська поведінка,Луганська,61 рік і старші,,
2018,Громадянська поведінка,Луганська,61 рік і старші,,2.3
2019,Громадянська поведінка,Луганська,61 рік і старші,,5.8
2020,Громадянська поведінка,Луганська,61 рік і старші,,
2021,Громадянська поведінка,Луганська,60 років і старші,,
2022,Громадянська поведінка,Луганська,60 років і старші,,
2023,Громадянська поведінка,Луганська,60 років і старші,,
2017,Громадянська поведінка,Луганська,,Чоловіча,
2018,Громадянська поведінка,Луганська,,Чоловіча,4.2
2019,Громадянська поведінка,Луганська,,Чоловіча,6.2
2020,Громадянська поведінка,Луганська,,Чоловіча,
2021,Громадянська поведінка,Луганська,,Чоловіча,
2022,Громадянська поведінка,Луганська,,Чоловіча,
2023,Громадянська поведінка,Луганська,,Чоловіча,
2017,Громадянська поведінка,Луганська,,Жіноча,
2018,Громадянська поведінка,Луганська,,Жіноча,3.5
2019,Громадянська поведінка,Луганська,,Жіноча,6.4
2020,Громадянська поведінка,Луганська,,Жіноча,
2021,Громадянська поведінка,Луганська,,Жіноча,
2022,Громадянська поведінка,Луганська,,Жіноча,
2023,Громадянська поведінка,Луганська,,Жіноча,
2017,Громадянська поведінка,Дніпропетровська,,,
2018,Громадянська поведінка,Дніпропетровська,,,
2019,Громадянська поведінка,Дніпропетровська,,,
2020,Громадянська поведінка,Дніпропетровська,,,
2021,Громадянська поведінка,Дніпропетровська,,,
2022,Громадянська поведінка,Дніпропетровська,,,
2023,Громадянська поведінка,Дніпропетровська,,,
2017,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2018,Громадянська поведінка,Дніпропетровська,18 – 35 років,,5.0
2019,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2020,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2021,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2022,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2023,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2017,Громадянська поведінка,Дніпропетровська,36 – 60 років,,
2018,Громадянська поведінка,Дніпропетровська,36 – 60 років,,4.7
