Year,Тип місцевості,Value
2015,міська,472.0
2016,міська,478.0
2017,міська,480.0
2018,міська,490.0
2019,міська,466.0
2020,міська,556.0
2021,міська,425.0
2022,міська,399.0
2023,міська,348.0
2024,міська,333.0
2015,сільська,803.0
2016,сільська,956.0
2017,сільська,996.0
2018,сільська,922.0
2019,сільська,960.0
2020,сільська,1.182
2021,сільська,887.0
2022,сільська,806.0
2023,сільська,740.0
2024,сільська,663.0
