Year,Стать,Value
2015,,12.0
2016,,11.8
2017,,10.8
2018,,10.5
2019,,10.3
2020,,10.2
2021,,9.5
2022,,7.2
2023,,7.9
2024,,8.0
2015,дівчатка,128592.0
2016,дівчатка,129947.0
2017,дівчатка,129689.0
2018,дівчатка,123514.0
2019,дівчатка,121630.0
2020,дівчатка,118690.0
2021,дівчатка,117317.0
2022,дівчатка,89228.0
2023,дівчатка,94951.0
2024,дівчатка,98724.0
2015,хлопчики,367118.0
2016,хлопчики,363299.0
2017,хлопчики,362499.0
2018,хлопчики,346911.0
2019,хлопчики,338545.0
2020,хлопчики,333494.0
2021,хлопчики,316951.0
2022,хлопчики,239928.0
2023,хлопчики,245020.0
2024,хлопчики,243341.0
2015,всі,495710.0
2016,всі,493246.0
2017,всі,492188.0
2018,всі,470425.0
2019,всі,460175.0
2020,всі,452184.0
2021,всі,434268.0
2022,всі,329156.0
2023,всі,339971.0
2024,всі,342065.0
