Year,Sex,Value
2015,women,12.11
2016,women,12.29
2017,women,12.53
2018,women,11.58
2019,women,20.8
2020,women,20.62
2021,women,20.33
2022,women,20.48
2023,women,21.2
2024,women,
2015,men,87.89
2016,men,87.71
2017,men,87.47
2018,men,88.42
2019,men,79.2
2020,men,79.38
2021,men,79.67
2022,men,79.52
2023,men,78.8
2024,men,
