Year,Область,Value
2015,Україна,3803.132
2016,Україна,3985.605
2017,Україна,3985.022
2018,Україна,3991.638
2019,Україна,4085.861
2020,Україна,4105.522
2021,Україна,4117.607
2022,Україна,4173.018
2023,Україна,4183.851
2024,Україна,4188.05
2015,Автономна Республіка Крим,219.319
2016,Автономна Республіка Крим,219.319
2017,Автономна Республіка Крим,219.319
2018,Автономна Республіка Крим,219.319
2019,Автономна Республіка Крим,219.319
2020,Автономна Республіка Крим,219.319
2021,Автономна Республіка Крим,219.319
2022,Автономна Республіка Крим,219.319
2023,Автономна Республіка Крим,219.319
2024,Автономна Республіка Крим,219.319
2015,Вінницька,59.394
2016,Вінницька,59.623
2017,Вінницька,59.792
2018,Вінницька,59.772
2019,Вінницька,60.106
2020,Вінницька,60.189
2021,Вінницька,60.184
2022,Вінницька,60.184
2023,Вінницька,60.213
2024,Вінницька,60.214
2015,Волинська,223.849
2016,Волинська,223.849
2017,Волинська,219.356
2018,Волинська,219.465
2019,Волинська,219.465
2020,Волинська,220.232
2021,Волинська,220.325
2022,Волинська,220.388
2023,Волинська,220.388
2024,Волинська,220.388
2015,Дніпропетровська,93.252
2016,Дніпропетровська,96.008
2017,Дніпропетровська,96.008
2018,Дніпропетровська,96.008
2019,Дніпропетровська,99.623
2020,Дніпропетровська,99.757
2021,Дніпропетровська,100.071
2022,Дніпропетровська,100.071
2023,Дніпропетровська,100.071
2024,Дніпропетровська,100.071
2015,Донецька,92.959
2016,Донецька,93.102
2017,Донецька,93.51
2018,Донецька,97.261
2019,Донецька,99.997
2020,Донецька,100.36
2021,Донецька,100.855
2022,Донецька,101.575
2023,Донецька,101.642
2024,Донецька,110.364
2015,Житомирська,136.582
2016,Житомирська,136.582
2017,Житомирська,136.752
2018,Житомирська,137.12
2019,Житомирська,137.646
2020,Житомирська,138.258
2021,Житомирська,141.652
2022,Житомирська,142.2
2023,Житомирська,143.167
2024,Житомирська,143.205
2015,Закарпатська,178.563
2016,Закарпатська,178.841
2017,Закарпатська,180.506
2018,Закарпатська,180.699
2019,Закарпатська,192.439
2020,Закарпатська,193.319
2021,Закарпатська,197.903
2022,Закарпатська,206.375
2023,Закарпатська,206.376
2024,Закарпатська,206.351
2015,Запорізька,124.657
2016,Запорізька,124.97
2017,Запорізька,125.056
2018,Запорізька,125.068
2019,Запорізька,138.183
2020,Запорізька,138.183
2021,Запорізька,138.518
2022,Запорізька,138.518
2023,Запорізька,138.518
2024,Запорізька,138.518
2015,Івано-Франківська,218.825
2016,Івано-Франківська,218.823
2017,Івано-Франківська,218.817
2018,Івано-Франківська,218.882
2019,Івано-Франківська,218.882
2020,Івано-Франківська,222.383
2021,Івано-Франківська,225.543
2022,Івано-Франківська,225.543
2023,Івано-Франківська,229.527
2024,Івано-Франківська,227.4
2015,Київська,113.655
2016,Київська,290.235
2017,Київська,290.746
2018,Київська,291.958
2019,Київська,292.209
2020,Київська,292.44
2021,Київська,292.706
2022,Київська,293.1
2023,Київська,296.317
