Year,Age,Sex,Type of residence,Level of education,Employment status,Level of income,Displacement status,Region,Value
2019,,,,,,,,Odesa,
2019,,,,,,,,Poltava,
2019,,,,,,,,Rivne,
2019,,,,,,,,Sumy,
2019,,,,,,,,Ternopil,
2019,,,,,,,,Kharkiv,
2019,,,,,,,,Kherson,
2019,,,,,,,,Khmelnytskiy,
2019,,,,,,,,Cherkasy,
2019,,,,,,,,Chernivtsi,
2019,,,,,,,,Chernihiv,
2019,,,,,,,,city Kyiv,
2019,,,,,,,,city Sevastopol,
2020,,,,,,,,,
2020,men 18–35 years,,,,,,,,
2020,men 36–59 years,,,,,,,,
2020,men 60 years and older,,,,,,,,
2020,women 18–35 years,,,,,,,,
2020,women 36–59 years,,,,,,,,
2020,women 60 years and older,,,,,,,,
2020,,women,,,,,,,
2020,,men,,,,,,,
2020,,,"large cities (population 500,000 or more)",,,,,,
2020,,,"cities (population 50,000–500,000)",,,,,,
2020,,,"small cities (population less than 50,000)",,,,,,
2020,,,rural areas,,,,,,
2020,,,,primary education,,,,,
2020,,,,secondary education,,,,,
2020,,,,secondary vocational education,,,,,
2020,,,,tertiary education,,,,,
2020,,,,,full/part-time,,,,
2020,,,,,housekeeping or maternity leave,,,,
2020,,,,,pensioners,,,,
2020,,,,,students,,,,
2020,,,,,unemployed,,,,
2020,,,,,,not enough money for food,,,
2020,,,,,,"enough for food, but not enough for clothes",,,
2020,,,,,,"enough for clothes, but not enough for expensive goods",,,
2020,,,,,,enough money for expensive goods,,,
2020,,,,,,,internally displaced persons (IDPs),,
2020,,,,,,,persons who returned,,
2020,,,,,,,persons who did not leave,,
2020,,,,,,,,Autonomous Republic of Crimea,
2020,,,,,,,,Vinnytsya,
2020,,,,,,,,Volyn,
2020,,,,,,,,Dnipropetrovsk,
2020,,,,,,,,Donetsk,
2020,,,,,,,,Zhytomyr,
2020,,,,,,,,Zakarpattya,
2020,,,,,,,,Zaporizhzhya,
2020,,,,,,,,Ivano-Frankivsk,
2020,,,,,,,,Kyiv,
2020,,,,,,,,Kirovohrad,
2020,,,,,,,,Luhansk,
2020,,,,,,,,Lviv,
2020,,,,,,,,Mykolayiv,
2020,,,,,,,,Odesa,
2020,,,,,,,,Poltava,
2020,,,,,,,,Rivne,
2020,,,,,,,,Sumy,
2020,,,,,,,,Ternopil,
2020,,,,,,,,Kharkiv,
2020,,,,,,,,Kherson,
2020,,,,,,,,Khmelnytskiy,
2020,,,,,,,,Cherkasy,
2020,,,,,,,,Chernivtsi,
2020,,,,,,,,Chernihiv,
2020,,,,,,,,city Kyiv,
2020,,,,,,,,city Sevastopol,
2021,,,,,,,,,5.1
2021,men 18–35 years,,,,,,,,4.8
2021,men 36–59 years,,,,,,,,4.9
2021,men 60 years and older,,,,,,,,5.3
2021,women 18–35 years,,,,,,,,4.9
2021,women 36–59 years,,,,,,,,5.2
2021,women 60 years and older,,,,,,,,5.3
2021,,women,,,,,,,5.2
2021,,men,,,,,,,5.0
2021,,,"large cities (population 500,000 or more)",,,,,,4.4
2021,,,"cities (population 50,000–500,000)",,,,,,4.7
2021,,,"small cities (population less than 50,000)",,,,,,5.3
2021,,,rural areas,,,,,,5.8
