Year,Sex,Type of residence,Region,Value
2015,,,,23.5
2015,women,,,22.8
2015,men,,,23.9
2015,,urban,,27.0
2015,,rural,,16.1
2015,,,Autonomous Republic of Crimea,
2015,,,Vinnytsya,35.0
2015,,,Volyn,18.3
2015,,,Dnipropetrovsk,43.3
2015,,,Donetsk,20.3
2015,,,Zhytomyr,21.7
2015,,,Zakarpattya,2.5
2015,,,Zaporizhzhya,26.1
2015,,,Ivano-Frankivsk,6.4
2015,,,Kyiv,30.6
2015,,,Kirovohrad,20.3
2015,,,Luhansk,32.3
2015,,,Lviv,30.7
2015,,,Mykolayiv,7.5
2015,,,Odesa,7.4
2015,,,Poltava,38.3
2015,,,Rivne,3.4
2015,,,Sumy,7.0
2015,,,Ternopil,7.9
2015,,,Kharkiv,22.8
2015,,,Kherson,14.0
2015,,,Khmelnytskiy,7.4
2015,,,Cherkasy,24.9
2015,,,Chernivtsi,4.8
2015,,,Chernihiv,16.9
2015,,,city Kyiv,62.6
2015,,,city Sevastopol,
2016,,,,24.7
2016,women,,,28.1
2016,men,,,22.5
2016,,urban,,28.7
2016,,rural,,16.5
2016,,,Autonomous Republic of Crimea,
2016,,,Vinnytsya,28.6
2016,,,Volyn,19.1
2016,,,Dnipropetrovsk,27.9
2016,,,Donetsk,34.0
2016,,,Zhytomyr,5.5
2016,,,Zakarpattya,
2016,,,Zaporizhzhya,40.8
2016,,,Ivano-Frankivsk,13.3
2016,,,Kyiv,40.6
2016,,,Kirovohrad,26.0
2016,,,Luhansk,34.9
2016,,,Lviv,16.8
2016,,,Mykolayiv,20.5
2016,,,Odesa,18.8
2016,,,Poltava,52.2
2016,,,Rivne,3.2
2016,,,Sumy,5.3
2016,,,Ternopil,12.3
2016,,,Kharkiv,22.8
2016,,,Kherson,12.2
2016,,,Khmelnytskiy,9.1
2016,,,Cherkasy,37.0
2016,,,Chernivtsi,2.8
2016,,,Chernihiv,12.8
2016,,,city Kyiv,56.8
2016,,,city Sevastopol,
2017,,,,26.1
2017,women,,,24.3
2017,men,,,27.3
2017,,urban,,30.2
2017,,rural,,17.7
2017,,,Autonomous Republic of Crimea,
2017,,,Vinnytsya,24.3
2017,,,Volyn,46.3
2017,,,Dnipropetrovsk,35.1
2017,,,Donetsk,36.5
2017,,,Zhytomyr,3.1
2017,,,Zakarpattya,
2017,,,Zaporizhzhya,39.4
2017,,,Ivano-Frankivsk,24.3
2017,,,Kyiv,40.1
2017,,,Kirovohrad,22.4
2017,,,Luhansk,37.4
2017,,,Lviv,23.1
2017,,,Mykolayiv,13.9
2017,,,Odesa,15.3
2017,,,Poltava,30.5
2017,,,Rivne,12.6
2017,,,Sumy,1.7
2017,,,Ternopil,13.0
2017,,,Kharkiv,15.4
2017,,,Kherson,14.7
2017,,,Khmelnytskiy,17.3
2017,,,Cherkasy,37.2
2017,,,Chernivtsi,16.7
2017,,,Chernihiv,16.8
2017,,,city Kyiv,61.6
2017,,,city Sevastopol,
2018,,,,21.1
2018,women,,,19.8
2018,men,,,22.0
2018,,urban,,24.7
2018,,rural,,13.6
2018,,,Autonomous Republic of Crimea,
2018,,,Vinnytsya,35.5
2018,,,Volyn,18.6
2018,,,Dnipropetrovsk,34.8
2018,,,Donetsk,26.1
2018,,,Zhytomyr,3.5
2018,,,Zakarpattya,
2018,,,Zaporizhzhya,27.1
2018,,,Ivano-Frankivsk,7.7
2018,,,Kyiv,26.2
2018,,,Kirovohrad,25.9
2018,,,Luhansk,27.1
2018,,,Lviv,17.7
2018,,,Mykolayiv,14.2
2018,,,Odesa,3.5
2018,,,Poltava,26.2
2018,,,Rivne,
2018,,,Sumy,20.0
2018,,,Ternopil,8.2
2018,,,Kharkiv,27.9
2018,,,Kherson,11.1
2018,,,Khmelnytskiy,13.5
2018,,,Cherkasy,22.8
2018,,,Chernivtsi,10.3
2018,,,Chernihiv,16.5
2018,,,city Kyiv,48.7
2018,,,city Sevastopol,
2019,,,,12.6
2019,women,,,12.7
2019,men,,,12.6
2019,,urban,,14.6
2019,,rural,,8.7
2019,,,Autonomous Republic of Crimea,
2019,,,Vinnytsya,15.4
2019,,,Volyn,12.4
2019,,,Dnipropetrovsk,15.0
2019,,,Donetsk,16.9
2019,,,Zhytomyr,
2019,,,Zakarpattya,
2019,,,Zaporizhzhya,24.3
2019,,,Ivano-Frankivsk,7.2
2019,,,Kyiv,16.5
2019,,,Kirovohrad,12.1
2019,,,Luhansk,17.2
2019,,,Lviv,8.3
2019,,,Mykolayiv,8.6
2019,,,Odesa,10.9
2019,,,Poltava,11.8
2019,,,Rivne,4.8
2019,,,Sumy,12.1
2019,,,Ternopil,5.0
2019,,,Kharkiv,19.5
2019,,,Kherson,4.7
2019,,,Khmelnytskiy,17.0
2019,,,Cherkasy,6.0
2019,,,Chernivtsi,17.4
2019,,,Chernihiv,5.5
2019,,,city Kyiv,24.6
2019,,,city Sevastopol,
2020,,,,20.6
2020,women,,,21.0
2020,men,,,20.3
2020,,urban,,23.5
2020,,rural,,15.0
2020,,,Autonomous Republic of Crimea,
2020,,,Vinnytsya,27.7
2020,,,Volyn,15.8
2020,,,Dnipropetrovsk,20.4
2020,,,Donetsk,20.9
2020,,,Zhytomyr,6.5
2020,,,Zakarpattya,
2020,,,Zaporizhzhya,35.8
2020,,,Ivano-Frankivsk,9.5
2020,,,Kyiv,18.2
2020,,,Kirovohrad,21.3
2020,,,Luhansk,17.2
2020,,,Lviv,18.7
2020,,,Mykolayiv,19.2
2020,,,Odesa,25.0
2020,,,Poltava,15.7
2020,,,Rivne,6.3
2020,,,Sumy,10.7
2020,,,Ternopil,23.5
2020,,,Kharkiv,36.1
2020,,,Kherson,12.1
2020,,,Khmelnytskiy,22.7
2020,,,Cherkasy,27.1
2020,,,Chernivtsi,14.1
2020,,,Chernihiv,13.5
