Year,Sex,Value
2015,women,15
2015,men,85
2016,women,15
2016,men,85
2017,women,16
2017,men,84
2018,women,16
2018,men,84
2019,women,17
2019,men,83
2020,women,17
2020,men,83
2021,women,18
2021,men,82
2022,women,19
2022,men,81
2023,women,20
2023,men,80
2024,women,20
2024,men,80
