Year,Type of residence,Value
2015,,3030
2016,,2990
2017,,2994
2018,,2978
2019,,2951
2020,,2862
2021,,2779
2022,,
2023,,
2024,,
2015,urban,2896
2016,urban,2850
2017,urban,2871
2018,urban,2867
2019,urban,2832
2020,urban,2713
2021,urban,2658
2022,urban,
2023,urban,
2024,urban,
2015,rural,3290
2016,rural,3259
2017,rural,3231
2018,rural,3195
2019,rural,3184
2020,rural,3157
2021,rural,3019
2022,rural,
2023,rural,
2024,rural,
