Year,group_30,Value
2015,,79.1
2016,,80.4
2017,,80.8
2018,,81.5
2019,,82.2
2020,,82.4
2021,,81.6
2022,,81.7
2023,,82.2
2024,,82.0
2015,group_label_317,92.5
2016,group_label_317,94.2
2017,group_label_317,95.7
2018,group_label_317,94.8
2019,group_label_317,92.9
2020,group_label_317,93.3
2021,group_label_317,92.5
2022,group_label_317,92.9
2023,group_label_317,85.4
2024,group_label_317,85.9
2015,group_label_299,63.7
2016,group_label_299,66.9
2017,group_label_299,68.1
2018,group_label_299,68.5
2019,group_label_299,68.4
2020,group_label_299,68.5
2021,group_label_299,66.8
2022,group_label_299,68.5
2023,group_label_299,68.0
2024,group_label_299,67.1
2015,group_label_300,98.8
2016,group_label_300,hide_data
2017,group_label_300,98.4
2018,group_label_300,97.8
2019,group_label_300,97.4
2020,group_label_300,96.2
2021,group_label_300,93.6
2022,group_label_300,96.3
2023,group_label_300,96.1
2024,group_label_300,95.3
2015,group_label_301,88.8
2016,group_label_301,88.2
2017,group_label_301,87.2
2018,group_label_301,87.2
2019,group_label_301,85.9
2020,group_label_301,85.2
2021,group_label_301,83.8
2022,group_label_301,82.5
2023,group_label_301,83.7
2024,group_label_301,82.9
2015,group_label_269,50.0
2016,group_label_269,50.3
2017,group_label_269,50.4
2018,group_label_269,51.0
2019,group_label_269,52.5
2020,group_label_269,52.9
2021,group_label_269,53.0
2022,group_label_269,52.5
2023,group_label_269,56.4
2024,group_label_269,57.2
2015,group_label_302,hide_data
2016,group_label_302,hide_data
2017,group_label_302,hide_data
2018,group_label_302,hide_data
2019,group_label_302,hide_data
2020,group_label_302,hide_data
2021,group_label_302,hide_data
2022,group_label_302,hide_data
2023,group_label_302,hide_data
2024,group_label_302,hide_data
2015,group_label_303,83.1
2016,group_label_303,86.1
2017,group_label_303,87.5
2018,group_label_303,91.0
2019,group_label_303,92.1
2020,group_label_303,92.6
2021,group_label_303,94.0
2022,group_label_303,94.7
2023,group_label_303,95.1
2024,group_label_303,hide_data
2015,group_label_304,hide_data
2016,group_label_304,hide_data
2017,group_label_304,100.0
2018,group_label_304,hide_data
2019,group_label_304,83.7
2020,group_label_304,80.4
2021,group_label_304,77.6
2022,group_label_304,73.3
2023,group_label_304,73.1
2024,group_label_304,66.8
2015,group_label_305,hide_data
2016,group_label_305,hide_data
2017,group_label_305,hide_data
2018,group_label_305,hide_data
2019,group_label_305,hide_data
2020,group_label_305,hide_data
2021,group_label_305,hide_data
2022,group_label_305,hide_data
2023,group_label_305,hide_data
2024,group_label_305,hide_data
2015,group_label_306,97.9
2016,group_label_306,hide_data
2017,group_label_306,hide_data
2018,group_label_306,hide_data
2019,group_label_306,hide_data
2020,group_label_306,hide_data
2021,group_label_306,hide_data
2022,group_label_306,hide_data
2023,group_label_306,95.4
2024,group_label_306,hide_data
2015,group_label_307,hide_data
2016,group_label_307,hide_data
2017,group_label_307,hide_data
2018,group_label_307,hide_data
2019,group_label_307,hide_data
2020,group_label_307,hide_data
2021,group_label_307,hide_data
2022,group_label_307,hide_data
2023,group_label_307,hide_data
2024,group_label_307,100.0
2015,group_label_308,100.0
2016,group_label_308,100.0
2017,group_label_308,hide_data
2018,group_label_308,hide_data
2019,group_label_308,100.0
2020,group_label_308,hide_data
2021,group_label_308,100.0
2022,group_label_308,100.0
2023,group_label_308,100.0
2024,group_label_308,100.0
2015,group_label_271,100.0
2016,group_label_271,100.0
2017,group_label_271,100.0
2018,group_label_271,hide_data
2019,group_label_271,hide_data
2020,group_label_271,hide_data
2021,group_label_271,98.3
2022,group_label_271,hide_data
2023,group_label_271,hide_data
2024,group_label_271,98.4
2015,group_label_309,93.8
2016,group_label_309,hide_data
2017,group_label_309,hide_data
2018,group_label_309,hide_data
2019,group_label_309,hide_data
2020,group_label_309,hide_data
2021,group_label_309,hide_data
2022,group_label_309,100.0
2023,group_label_309,hide_data
2024,group_label_309,hide_data
2015,group_label_318,hide_data
2016,group_label_318,100.0
2017,group_label_318,hide_data
2018,group_label_318,100.0
2019,group_label_318,hide_data
2020,group_label_318,hide_data
2021,group_label_318,hide_data
2022,group_label_318,hide_data
2023,group_label_318,100.0
2024,group_label_318,100.0
