Year,Type of residence,Value
2015,,70.6
2016,,69.8
2017,,69.5
2018,,69.1
2019,,70.5
2020,,74.8
2021,,73.4
2022,,65.6
2023,,
2015,urban_a,77.4
2016,urban_a,76.8
2017,urban_a,76.4
2018,urban_a,76.3
2019,urban_a,78.8
2020,urban_a,85.7
2021,urban_a,83.3
2022,urban_a,75.2
2023,urban_a,
2015,rural_a,57.4
2016,rural_a,56
2017,rural_a,56.1
2018,rural_a,54.9
2019,rural_a,54.4
2020,rural_a,54.3
2021,rural_a,54.3
2022,rural_a,47.1
2023,rural_a,
