Year,Type of residence,Value
2015,,25.5
2016,,26.1
2017,,25.2
2018,,24.8
2019,,24.4
2020,,24.7
2021,,24.7
2022,,
2023,,
2015,urban_a,25.2
2016,urban_a,25.7
2017,urban_a,25.1
2018,urban_a,24.7
2019,urban_a,24.3
2020,urban_a,24.5
2021,urban_a,24.6
2022,urban_a,
2023,urban_a,
2015,rural_a,26
2016,rural_a,26.7
2017,rural_a,25.6
2018,rural_a,25.6
2019,rural_a,25.3
2020,rural_a,26.3
2021,rural_a,25.7
2022,rural_a,
2023,rural_a,
