Year,Type of residence,Value
2015,,0.99
2016,,1.02
2017,,0.97
2018,,0.95
2019,,0.97
2020,,1.02
2021,,0.99
2022,,
2023,,
2015,urban_a,1.03
2016,urban_a,0.98
2017,urban_a,0.97
2018,urban_a,0.91
2019,urban_a,0.98
2020,urban_a,1.01
2021,urban_a,1.00
2022,urban_a,
2023,urban_a,
2015,rural_a,1.05
2016,rural_a,1.01
2017,rural_a,0.9
2018,rural_a,0.9
2019,rural_a,0.98
2020,rural_a,1.03
2021,rural_a,0.97
2022,rural_a,
2023,rural_a,
