Year,Type of residence,Value
2015,,9.3
2016,,8.8
2017,,8.9
2018,,8.3
2019,,8.2
2020,,7.9
2021,,8.3
2022,,
2023,,
2015,urban_a,8.5
2016,urban_a,8
2017,urban_a,8.1
2018,urban_a,7.8
2019,urban_a,7.4
2020,urban_a,7.4
2021,urban_a,8
2022,urban_a,
2023,urban_a,
2015,rural_a,10.5
2016,rural_a,10.2
2017,rural_a,10.4
2018,rural_a,9.5
2019,rural_a,9.8
2020,rural_a,8.7
2021,rural_a,8.8
2022,rural_a,
2023,rural_a,
