Year,Sex,Value
2015,,15.59
2016,,16.08
2017,,15.35
2018,,17.04
2019,,18.08
2020,,17.71
2021,,17.16
2022,,21.61
2023,,30.27
2024,,30.18
2015,females_1,7.63
2016,females_1,7.76
2017,females_1,7.44
2018,females_1,8.38
2019,females_1,8.92
2020,females_1,8.65
2021,females_1,8.39
2022,females_1,8.67
2023,females_1,9.00
2024,females_1,8.57
2015,males_1,7.96
2016,males_1,8.32
2017,males_1,7.91
2018,males_1,8.66
2019,males_1,9.16
2020,males_1,9.06
2021,males_1,8.77
2022,males_1,12.94
2023,males_1,21.27
2024,males_1,21.61
