Year,Type of residence,Value
2015,,5
2016,,5.1
2017,,5.2
2018,,4.8
2019,,7.5
2020,,5.6
2021,,3.2
2022,,
2023,,
2015,urban_a,6.7
2016,urban_a,6.3
2017,urban_a,6.5
2018,urban_a,6.7
2019,urban_a,10.3
2020,urban_a,7.1
2021,urban_a,4.4
2022,urban_a,
2023,urban_a,
2015,rural_a,1.3
2016,rural_a,2.3
2017,rural_a,2.3
2018,rural_a,0.5
2019,rural_a,0.5
2020,rural_a,1.9
2021,rural_a,0.4
2022,rural_a,
2023,rural_a,
