Year,Ec_activ,Value
2015,,6.5
2016,,6.5
2017,,6.6
2018,,7
2019,,7.4
2020,,7.4
2021,,7.3
2022,,6.1
2023,,6.1
2015,11_agricul,0.6
2016,11_agricul,0.6
2017,11_agricul,0.6
2018,11_agricul,0.6
2019,11_agricul,0.6
2020,11_agricul,0.5
2021,11_agricul,0.5
2022,11_agricul,0.5
2023,11_agricul,0.4
2015,12_indu,1.5
2016,12_indu,1.6
2017,12_indu,1.6
2018,12_indu,1.6
2019,12_indu,1.5
2020,12_indu,1.5
2021,12_indu,1.4
2022,12_indu,1.2
2023,12_indu,1.1
2015,13_constr,0.3
2016,13_constr,0.3
2017,13_constr,0.3
2018,13_constr,0.3
2019,13_constr,0.3
2020,13_constr,0.3
2021,13_constr,0.3
2022,13_constr,0.3
2023,13_constr,hide_data
2015,14_motor_veh,2.0
2016,14_motor_veh,1.9
2017,14_motor_veh,1.9
2018,14_motor_veh,2.1
2019,14_motor_veh,2.0
2020,14_motor_veh,2.0
2021,14_motor_veh,2.0
2022,14_motor_veh,1.6
2023,14_motor_veh,1.6
2015,15_courier,0.5
2016,15_courier,0.5
2017,15_courier,0.5
2018,15_courier,0.5
2019,15_courier,0.5
2020,15_courier,0.5
2021,15_courier,0.5
2022,15_courier,0.4
2023,15_courier,0.4
2015,16_cater,0.2
2016,16_cater,0.2
2017,16_cater,0.2
2018,16_cater,0.3
2019,16_cater,hide_data
2020,16_cater,hide_data
2021,16_cater,hide_data
2022,16_cater,hide_data
2023,16_cater,hide_data
2015,17_telecom,0.2
2016,17_telecom,0.2
2017,17_telecom,0.3
2018,17_telecom,0.3
2019,17_telecom,0.3
2020,17_telecom,0.4
2021,17_telecom,hide_data
2022,17_telecom,hide_data
2023,17_telecom,0.4
2015,18_insurance,0.2
2016,18_insurance,0.1
2017,18_insurance,0.1
2018,18_insurance,hide_data
2019,18_insurance,0.1
2020,18_insurance,0.1
2021,18_insurance,0.1
2022,18_insurance,0.1
2023,18_insurance,0.0
2015,19_estate,0.2
2016,19_estate,hide_data
2017,19_estate,hide_data
2018,19_estate,0.2
2019,19_estate,hide_data
2020,19_estate,hide_data
2021,19_estate,hide_data
2022,19_estate,hide_data
2023,19_estate,hide_data
2015,20_scientific,0.3
2016,20_scientific,0.3
2017,20_scientific,hide_data
2018,20_scientific,hide_data
2019,20_scientific,hide_data
2020,20_scientific,hide_data
2021,20_scientific,hide_data
2022,20_scientific,hide_data
2023,20_scientific,0.3
2015,21_support,0.3
2016,21_support,0.3
2017,21_support,0.3
2018,21_support,0.3
2019,21_support,hide_data
2020,21_support,hide_data
2021,21_support,hide_data
2022,21_support,hide_data
2023,21_support,hide_data
2015,23_educ,0.0
2016,23_educ,0.0
2017,23_educ,0.0
2018,23_educ,0.0
2019,23_educ,0.0
2020,23_educ,0.0
2021,23_educ,0.0
2022,23_educ,0.0
2023,23_educ,0.0
2015,24_health,0.1
2016,24_health,0.1
2017,24_health,0.1
2018,24_health,0.3
2019,24_health,hide_data
2020,24_health,hide_data
2021,24_health,hide_data
2022,24_health,hide_data
2023,24_health,hide_data
2015,25_arts,0.0
2016,25_arts,hide_data
2017,25_arts,hide_data
2018,25_arts,hide_data
2019,25_arts,hide_data
2020,25_arts,hide_data
2021,25_arts,hide_data
2022,25_arts,0.0
2023,25_arts,hide_data
2015,26_other_serv,0.1
2016,26_other_serv,0.1
2017,26_other_serv,0.1
2018,26_other_serv,0.2
2019,26_other_serv,0.2
2020,26_other_serv,0.2
2021,26_other_serv,hide_data
2022,26_other_serv,hide_data
2023,26_other_serv,0.1
