Year,Type of residence,Value
2015,urban,99.0
2016,urban,99.3
2017,urban,99.3
2018,urban,99.2
2019,urban,99.0
2020,urban,87.3
2021,urban,88.0
2022,urban,88.3
2023,urban,88.8
2015,rural,25.0
2016,rural,29.2
2017,rural,30.0
2018,rural,30.1
2019,rural,26.9
2020,rural,26.5
2021,rural,22.0
2022,rural,21.9
2023,rural,25.7
