Year,Age,Region,Value
2015,age_15_17,Ukraine,11.5
2015,age_under15,Ukraine,0.3
2015,age_under20,11_reg_Vinnytsya,29.7
2015,age_under20,12_reg_Volyn,27.1
2015,age_under20,13_reg_Dnipropetrovsk,27.3
2015,age_under20,15_reg_Zhytomyr,33.6
2015,age_under20,16_reg_Zakarpattya,52.8
2015,age_under20,17_reg_Zaporizhzhya,26.4
2015,age_under20,18_reg_Ivano-Frankivsk,30.1
2015,age_under20,19_reg_Kyiv,28.5
2015,age_under20,20_reg_Kirovohrad,41.5
2015,age_under20,22_reg_Lviv,18.7
2015,age_under20,23_reg_Mykolayiv,35.8
2015,age_under20,24_reg_Odesa,30.0
2015,age_under20,25_reg_Poltava,26.0
2015,age_under20,26_reg_Rivne,26.2
2015,age_under20,27_reg_Sumy,25.0
2015,age_under20,28_reg_Ternopil,25.1
2015,age_under20,29_reg_Kharkiv,20.8
2015,age_under20,30_reg_Kherson,34.4
2015,age_under20,31_reg_Khmelnytskiy,34.1
2015,age_under20,32_reg_Cherkasy,29.9
2015,age_under20,33_reg_Chernivtsi,27.3
2015,age_under20,34_reg_Chernihiv,25.6
2015,age_under20,35_reg_Kyiv_city,8.2
2015,age_under20,Ukraine,27.3
2016,age_15_17,Ukraine,10.6
2016,age_under15,Ukraine,0.4
2016,age_under20,11_reg_Vinnytsya,27.0
2016,age_under20,12_reg_Volyn,25.1
2016,age_under20,13_reg_Dnipropetrovsk,24.6
2016,age_under20,15_reg_Zhytomyr,31.1
2016,age_under20,16_reg_Zakarpattya,49.4
2016,age_under20,17_reg_Zaporizhzhya,23.9
2016,age_under20,18_reg_Ivano-Frankivsk,26.8
2016,age_under20,19_reg_Kyiv,27.7
2016,age_under20,20_reg_Kirovohrad,34.1
2016,age_under20,22_reg_Lviv,17.5
2016,age_under20,23_reg_Mykolayiv,32.8
2016,age_under20,24_reg_Odesa,30.2
2016,age_under20,25_reg_Poltava,26.5
2016,age_under20,26_reg_Rivne,25.9
2016,age_under20,27_reg_Sumy,22.0
2016,age_under20,28_reg_Ternopil,23.7
2016,age_under20,29_reg_Kharkiv,19.6
2016,age_under20,30_reg_Kherson,32.0
2016,age_under20,31_reg_Khmelnytskiy,28.9
2016,age_under20,32_reg_Cherkasy,27.9
2016,age_under20,33_reg_Chernivtsi,23.8
2016,age_under20,34_reg_Chernihiv,22.5
2016,age_under20,35_reg_Kyiv_city,7.6
2016,age_under20,Ukraine,25.3
2017,age_15_17,Ukraine,8.9
2017,age_under15,Ukraine,0.3
2017,age_under20,11_reg_Vinnytsya,23.8
2017,age_under20,12_reg_Volyn,21.0
2017,age_under20,13_reg_Dnipropetrovsk,21.4
2017,age_under20,15_reg_Zhytomyr,27.7
2017,age_under20,16_reg_Zakarpattya,46.0
2017,age_under20,17_reg_Zaporizhzhya,20.1
2017,age_under20,18_reg_Ivano-Frankivsk,20.9
2017,age_under20,19_reg_Kyiv,23.2
2017,age_under20,20_reg_Kirovohrad,29.5
2017,age_under20,22_reg_Lviv,15.2
2017,age_under20,23_reg_Mykolayiv,30.7
2017,age_under20,24_reg_Odesa,28.1
2017,age_under20,25_reg_Poltava,21.6
2017,age_under20,26_reg_Rivne,24.2
2017,age_under20,27_reg_Sumy,19.5
2017,age_under20,28_reg_Ternopil,19.1
2017,age_under20,29_reg_Kharkiv,17.4
2017,age_under20,30_reg_Kherson,29.6
2017,age_under20,31_reg_Khmelnytskiy,24.8
2017,age_under20,32_reg_Cherkasy,25.8
2017,age_under20,33_reg_Chernivtsi,24.0
2017,age_under20,34_reg_Chernihiv,19.1
2017,age_under20,35_reg_Kyiv_city,7.5
2017,age_under20,Ukraine,22.4
2018,age_15_17,Ukraine,8.2
2018,age_under15,Ukraine,0.4
2018,age_under20,11_reg_Vinnytsya,22.6
2018,age_under20,12_reg_Volyn,18.3
2018,age_under20,13_reg_Dnipropetrovsk,18.7
2018,age_under20,15_reg_Zhytomyr,25.3
2018,age_under20,16_reg_Zakarpattya,45.3
2018,age_under20,17_reg_Zaporizhzhya,18.6
2018,age_under20,18_reg_Ivano-Frankivsk,19.4
2018,age_under20,19_reg_Kyiv,20.4
2018,age_under20,20_reg_Kirovohrad,26.7
2018,age_under20,22_reg_Lviv,12.0
2018,age_under20,23_reg_Mykolayiv,26.7
2018,age_under20,24_reg_Odesa,24.7
2018,age_under20,25_reg_Poltava,18.9
2018,age_under20,26_reg_Rivne,19.4
2018,age_under20,27_reg_Sumy,16.9
2018,age_under20,28_reg_Ternopil,16.8
2018,age_under20,29_reg_Kharkiv,14.0
2018,age_under20,30_reg_Kherson,25.8
2018,age_under20,31_reg_Khmelnytskiy,22.3
2018,age_under20,32_reg_Cherkasy,20.9
2018,age_under20,33_reg_Chernivtsi,19.6
2018,age_under20,34_reg_Chernihiv,17.3
2018,age_under20,35_reg_Kyiv_city,6.5
2018,age_under20,Ukraine,19.7
2019,age_15_17,Ukraine,7.1
2019,age_under15,Ukraine,0.2
2019,age_under20,11_reg_Vinnytsya,18.2
2019,age_under20,12_reg_Volyn,16.7
2019,age_under20,13_reg_Dnipropetrovsk,15.6
2019,age_under20,15_reg_Zhytomyr,22.5
2019,age_under20,16_reg_Zakarpattya,40.5
