Year,Type of residence,Value
2015,,31.4
2016,,34.4
2017,,28.9
2018,,27.9
2019,,29.3
2020,,25.1
2021,,22.4
2022,,
2023,,
2015,urban_a,31.8
2016,urban_a,32
2017,urban_a,30.2
2018,urban_a,28.9
2019,urban_a,27.1
2020,urban_a,26.2
2021,urban_a,21.1
2022,urban_a,
2023,urban_a,
2015,rural_a,30.5
2016,rural_a,39.1
2017,rural_a,26.7
2018,rural_a,25.8
2019,rural_a,34.1
2020,rural_a,22.9
2021,rural_a,25.3
2022,rural_a,
2023,rural_a,
