Year,Type of residence,Type of water supply,Value
2015,urban_a,,12.4
2016,urban_a,,13.7
2017,urban_a,,16.2
2018,urban_a,,18.5
2019,urban_a,,17.2
2020,urban_a,,16.8
2021,urban_a,,18.2
2022,urban_a,,12.1
2023,urban_a,,11.3
2015,rural_a,,22.5
2016,rural_a,,25.5
2017,rural_a,,27.4
2018,rural_a,,29.8
2019,rural_a,,31.2
2020,rural_a,,26.9
2021,rural_a,,28.9
2022,rural_a,,25.4
2023,rural_a,,28.9
2015,,centralized_a,15.7
2016,,centralized_a,18.4
2017,,centralized_a,20
2018,,centralized_a,22.7
2019,,centralized_a,22.3
2020,,centralized_a,21.7
2021,,centralized_a,21.2
2022,,centralized_a,14.3
2023,,centralized_a,14.3
2015,,decentralized,32.7
2016,,decentralized,33.2
2017,,decentralized,32.6
2018,,decentralized,34.4
2019,,decentralized,30.4
2020,,decentralized,32.6
2021,,decentralized,33.5
2022,,decentralized,39.9
2023,,decentralized,35
