Year,group_11,Value
2015,,1.09
2016,,1.09
2017,,1.09
2018,,1.09
2019,,1.13
2020,,1.16
2021,,1.17
2022,,1.18
2023,,1.19
2024,,1.14
2015,group_label_164,0.30
2016,group_label_164,0.30
2017,group_label_164,0.30
2018,group_label_164,0.30
2019,group_label_164,0.32
2020,group_label_164,0.32
2021,group_label_164,0.33
2022,group_label_164,0.34
2023,group_label_164,0.34
2024,group_label_164,0.34
2015,group_label_165,0.36
2016,group_label_165,0.36
2017,group_label_165,0.36
2018,group_label_165,0.36
2019,group_label_165,0.36
2020,group_label_165,0.37
2021,group_label_165,0.37
2022,group_label_165,0.37
2023,group_label_165,0.38
2024,group_label_165,0.34
2015,group_label_166,0.26
2016,group_label_166,0.26
2017,group_label_166,0.26
2018,group_label_166,0.26
2019,group_label_166,0.28
2020,group_label_166,0.29
2021,group_label_166,0.29
2022,group_label_166,0.29
2023,group_label_166,0.29
2024,group_label_166,0.29
2015,group_label_167,0.17
2016,group_label_167,0.17
2017,group_label_167,0.17
2018,group_label_167,0.17
2019,group_label_167,0.17
2020,group_label_167,0.17
2021,group_label_167,0.17
2022,group_label_167,0.17
2023,group_label_167,0.17
2024,group_label_167,0.17
