Year,CouncilLevel,Region,Sex,Value
2016,,17_reg_Zaporizhzhya,men,49.14
2017,,17_reg_Zaporizhzhya,women,48.43
2017,,17_reg_Zaporizhzhya,men,51.57
2018,,17_reg_Zaporizhzhya,men,52.41
2018,,17_reg_Zaporizhzhya,women,47.59
2019,,17_reg_Zaporizhzhya,men,53.74
2019,,17_reg_Zaporizhzhya,women,46.26
2020,,17_reg_Zaporizhzhya,men,57.63
2020,,17_reg_Zaporizhzhya,women,42.37
2021,,17_reg_Zaporizhzhya,men,57.77
2021,,17_reg_Zaporizhzhya,women,42.23
2022,,17_reg_Zaporizhzhya,men,57.7
2022,,17_reg_Zaporizhzhya,women,42.3
2023,,17_reg_Zaporizhzhya,men,57.92
2023,,17_reg_Zaporizhzhya,women,42.08
2015,,18_reg_Ivano-Frankivsk,women,39.69
2015,,18_reg_Ivano-Frankivsk,men,60.31
2016,,18_reg_Ivano-Frankivsk,women,39.00
2016,,18_reg_Ivano-Frankivsk,men,61.00
2017,,18_reg_Ivano-Frankivsk,women,38.11
2017,,18_reg_Ivano-Frankivsk,men,61.89
2018,,18_reg_Ivano-Frankivsk,men,62.52
2018,,18_reg_Ivano-Frankivsk,women,37.48
2019,,18_reg_Ivano-Frankivsk,men,62.73
2019,,18_reg_Ivano-Frankivsk,women,37.27
2020,,18_reg_Ivano-Frankivsk,men,69.02
2020,,18_reg_Ivano-Frankivsk,women,30.98
2021,,18_reg_Ivano-Frankivsk,men,68.74
2021,,18_reg_Ivano-Frankivsk,women,31.26
2022,,18_reg_Ivano-Frankivsk,men,68.78
2022,,18_reg_Ivano-Frankivsk,women,31.22
2023,,18_reg_Ivano-Frankivsk,men,68.49
2023,,18_reg_Ivano-Frankivsk,women,31.51
2015,,19_reg_Kyiv,women,48.54
2015,,19_reg_Kyiv,men,51.46
2016,,19_reg_Kyiv,women,48.55
2016,,19_reg_Kyiv,men,51.45
2017,,19_reg_Kyiv,women,47.91
2017,,19_reg_Kyiv,men,52.09
2018,,19_reg_Kyiv,men,2.77
2018,,19_reg_Kyiv,women,47.23
2019,,19_reg_Kyiv,men,52.74
2019,,19_reg_Kyiv,women,47.26
2020,,19_reg_Kyiv,men,65.97
2020,,19_reg_Kyiv,women,34.03
2021,,19_reg_Kyiv,men,65.97
2021,,19_reg_Kyiv,women,34.03
2022,,19_reg_Kyiv,men,65.76
2022,,19_reg_Kyiv,women,34.24
2023,,19_reg_Kyiv,men,65.66
2023,,19_reg_Kyiv,women,34.34
2015,,20_reg_Kirovohrad,women,53.60
2015,,20_reg_Kirovohrad,men,46.40
2016,,20_reg_Kirovohrad,women,53.25
2016,,20_reg_Kirovohrad,men,46.75
2017,,20_reg_Kirovohrad,women,52.88
2017,,20_reg_Kirovohrad,men,47.12
2018,,20_reg_Kirovohrad,men,47.54
2018,,20_reg_Kirovohrad,women,52.46
2019,,20_reg_Kirovohrad,men,47.82
2019,,20_reg_Kirovohrad,women,52.18
2020,,20_reg_Kirovohrad,men,63.87
2020,,20_reg_Kirovohrad,women,36.13
2021,,20_reg_Kirovohrad,men,64.03
2021,,20_reg_Kirovohrad,women,38.97
2022,,20_reg_Kirovohrad,men,63.99
2022,,20_reg_Kirovohrad,women,36.01
2023,,20_reg_Kirovohrad,men,64.09
2023,,20_reg_Kirovohrad,women,35.91
2015,,21_reg_Luhansk,women,57.68
2015,,21_reg_Luhansk,men,42.32
2016,,21_reg_Luhansk,women,57.82
2016,,21_reg_Luhansk,men,42.18
2017,,21_reg_Luhansk,women,56.11
2017,,21_reg_Luhansk,men,43.89
2018,,21_reg_Luhansk,men,44.06
2018,,21_reg_Luhansk,women,55.94
2019,,21_reg_Luhansk,men,46.56
2019,,21_reg_Luhansk,women,53.44
2020,,21_reg_Luhansk,men,58.14
2020,,21_reg_Luhansk,women,41.86
2021,,21_reg_Luhansk,men,57.12
2021,,21_reg_Luhansk,women,42.88
2022,,21_reg_Luhansk,men,57.14
2022,,21_reg_Luhansk,women,42.36
2023,,21_reg_Luhansk,men,56.26
2023,,21_reg_Luhansk,women,43.14
