Year,Ec_activ_1,Value
2022,67_media_1,2.6
2023,67_media_1,
2024,67_media_1,1.7

2015,68_telecom_it_1,
2016,68_telecom_it_1,
2017,68_telecom_it_1,
2018,68_telecom_it_1,0.8
2019,68_telecom_it_1,
2020,68_telecom_it_1,0.6
2021,68_telecom_it_1,
2022,68_telecom_it_1,1.0
2023,68_telecom_it_1,
2024,68_telecom_it_1,5.1

2015,69_finance_1,
2016,69_finance_1,
2017,69_finance_1,
2018,69_finance_1,4.2
2019,69_finance_1,
2020,69_finance_1,c
2021,69_finance_1,
2022,69_finance_1,2.8
2023,69_finance_1,
2024,69_finance_1,4.5

2015,70_architecture_engineering_1,
2016,70_architecture_engineering_1,
2017,70_architecture_engineering_1,
2018,70_architecture_engineering_1,7.8
2019,70_architecture_engineering_1,
2020,70_architecture_engineering_1,5.4
2021,70_architecture_engineering_1,
2022,70_architecture_engineering_1,8.8
2023,70_architecture_engineering_1,
2024,70_architecture_engineering_1,8.3

2015,71_architecture_testing_1,
2016,71_architecture_testing_1,
2017,71_architecture_testing_1,
2018,71_architecture_testing_1,1.3
2019,71_architecture_testing_1,
2020,71_architecture_testing_1,0.7
2021,71_architecture_testing_1,
2022,71_architecture_testing_1,c
2023,71_architecture_testing_1,
2024,71_architecture_testing_1,c

2015,72_research_1,
2016,72_research_1,
2017,72_research_1,
2018,72_research_1,33.3
2019,72_research_1,
2020,72_research_1,25.0
2021,72_research_1,
2022,72_research_1,31.5
2023,72_research_1,
2024,72_research_1,28.1

2015,73_advertising_1,
2016,73_advertising_1,
2017,73_advertising_1,
2018,73_advertising_1,0.3
2019,73_advertising_1,
2020,73_advertising_1,0.4
2021,73_advertising_1,
2022,73_advertising_1,c
2023,73_advertising_1,
2024,73_advertising_1,c
