Year,Region,Sex,Age,Type of residence,Value
2018,Kharkiv,,,,84.26
2018,Kherson,,,,82.67
2018,Khmelnytskiy,,,,83.56
2018,Cherkasy,,,,83.95
2018,Chernivtsi,,,,83.14
2018,Chernihiv,,,,85.54
2018,the city of Kyiv,,,,85.49
2018,city Sevastopol,,,,
2019,,,,,77.88
2019,,women,,,78.2
2019,,men,,,75.95
2019,,,6 years,,62.44
2019,,,7 years,,88.57
2019,,,8 years,,90.38
2019,,,9 years,,90.26
2019,,,10 years,,89.42
2019,,,11 years,,90.55
2019,,,12 years,,90.25
2019,,,13 years,,89.34
2019,,,14 years,,88.97
2019,,,15 years,,67.45
2019,,,16 years,,53.72
2019,,,17 years,,15.64
2019,,,,urban,80.96
2019,,,,rural,69.14
2019,Autonomous Republic of Crimea,,,,
2019,Vinnytsya,,,,83.29
2019,Volyn,,,,85.66
2019,Dnipropetrovsk,,,,83.8
2019,Donetsk,,,,36.25
2019,Zhytomyr,,,,83.78
2019,Zakarpattya,,,,84.18
2019,Zaporizhzhya,,,,83.64
2019,Ivano-Frankivsk,,,,82.56
2019,Kyiv,,,,94.3
2019,Kirovohrad,,,,83.2
2019,Luhansk,,,,24.09
2019,Lviv,,,,85.25
2019,Mykolayiv,,,,82.33
2019,Odesa,,,,85.15
2019,Poltava,,,,84.85
2019,Rivne,,,,85.94
2019,Sumy,,,,83.11
2019,Ternopil,,,,81.25
2019,Kharkiv,,,,84.32
2019,Kherson,,,,83.23
2019,Khmelnytskiy,,,,84.34
2019,Cherkasy,,,,84.69
2019,Chernivtsi,,,,84.42
2019,Chernihiv,,,,86.44
2019,the city of Kyiv,,,,84.84
2019,city Sevastopol,,,,
2020,,,,,78.0
2020,,women,,,78.37
2020,,men,,,76.09
2020,,,6 years,,63.68
2020,,,7 years,,88.9
2020,,,8 years,,89.29
2020,,,9 years,,90.1
2020,,,10 years,,89.77
2020,,,11 years,,89.15
2020,,,12 years,,90.21
2020,,,13 years,,89.94
2020,,,14 years,,88.55
2020,,,15 years,,67.17
2020,,,16 years,,56.16
2020,,,17 years,,16.44
2020,,,,urban,81.38
2020,,,,rural,68.68
2020,Autonomous Republic of Crimea,,,,
2020,Vinnytsya,,,,83.77
2020,Volyn,,,,85.77
2020,Dnipropetrovsk,,,,83.44
2020,Donetsk,,,,36.49
2020,Zhytomyr,,,,83.88
2020,Zakarpattya,,,,83.73
2020,Zaporizhzhya,,,,83.56
2020,Ivano-Frankivsk,,,,83.03
2020,Kyiv,,,,94.55
2020,Kirovohrad,,,,82.95
2020,Luhansk,,,,23.95
2020,Lviv,,,,85.54
2020,Mykolayiv,,,,82.28
2020,Odesa,,,,84.93
2020,Poltava,,,,84.79
2020,Rivne,,,,86.32
2020,Sumy,,,,83.4
2020,Ternopil,,,,81.36
2020,Kharkiv,,,,84.72
2020,Kherson,,,,83.36
2020,Khmelnytskiy,,,,84.81
2020,Cherkasy,,,,84.77
2020,Chernivtsi,,,,84.56
2020,Chernihiv,,,,86.8
2020,the city of Kyiv,,,,84.92
