Year,Спеціальності галузей знань,Рівні (ступені) освіти,Value
2018,125 Кібербезпека,,18.64
2019,125 Кібербезпека,,18.12
2020,125 Кібербезпека,,17.4
2021,125 Кібербезпека,,17.73
2022,125 Кібербезпека,,17.06
2023,125 Кібербезпека,,16.92
2024,125 Кібербезпека,,19.62
2015,125 Кібербезпека та захист інформації,,
2016,125 Кібербезпека та захист інформації,,
2017,125 Кібербезпека та захист інформації,,
2018,125 Кібербезпека та захист інформації,,
2019,125 Кібербезпека та захист інформації,,
2020,125 Кібербезпека та захист інформації,,
2021,125 Кібербезпека та захист інформації,,
2022,125 Кібербезпека та захист інформації,,
2023,125 Кібербезпека та захист інформації,,17.0
2024,125 Кібербезпека та захист інформації,,17.74
2015,126 Інформаційні системи та технології,,
2016,126 Інформаційні системи та технології,,
2017,126 Інформаційні системи та технології,,17.53
2018,126 Інформаційні системи та технології,,20.2
2019,126 Інформаційні системи та технології,,21.07
2020,126 Інформаційні системи та технології,,20.74
2021,126 Інформаційні системи та технології,,21.2
2022,126 Інформаційні системи та технології,,20.56
2023,126 Інформаційні системи та технології,,19.68
2024,126 Інформаційні системи та технології,,20.89
2015,131 Прикладна механіка,,33.33
2016,131 Прикладна механіка,,10.05
2017,131 Прикладна механіка,,9.16
2018,131 Прикладна механіка,,8.95
2019,131 Прикладна механіка,,8.57
2020,131 Прикладна механіка,,7.88
2021,131 Прикладна механіка,,7.05
2022,131 Прикладна механіка,,6.57
2023,131 Прикладна механіка,,5.77
2024,131 Прикладна механіка,,5.22
2015,132 Матеріалознавство,,
2016,132 Матеріалознавство,,22.75
2017,132 Матеріалознавство,,22.3
2018,132 Матеріалознавство,,21.25
2019,132 Матеріалознавство,,20.99
2020,132 Матеріалознавство,,21.0
2021,132 Матеріалознавство,,22.03
2022,132 Матеріалознавство,,18.74
2023,132 Матеріалознавство,,14.73
2024,132 Матеріалознавство,,13.87
2015,133 Галузеве машинобудування,,
2016,133 Галузеве машинобудування,,7.73
2017,133 Галузеве машинобудування,,7.54
2018,133 Галузеве машинобудування,,7.36
2019,133 Галузеве машинобудування,,7.41
2020,133 Галузеве машинобудування,,7.63
2021,133 Галузеве машинобудування,,7.68
2022,133 Галузеве машинобудування,,7.19
2023,133 Галузеве машинобудування,,5.79
2024,133 Галузеве машинобудування,,4.8
2015,134 Авіаційна та ракетно-космічна техніка,,
2016,134 Авіаційна та ракетно-космічна техніка,,15.73
2017,134 Авіаційна та ракетно-космічна техніка,,16.02
2018,134 Авіаційна та ракетно-космічна техніка,,16.11
2019,134 Авіаційна та ракетно-космічна техніка,,15.57
2020,134 Авіаційна та ракетно-космічна техніка,,15.28
2021,134 Авіаційна та ракетно-космічна техніка,,16.12
2022,134 Авіаційна та ракетно-космічна техніка,,13.78
2023,134 Авіаційна та ракетно-космічна техніка,,13.06
2024,134 Авіаційна та ракетно-космічна техніка,,13.28
2015,135 Суднобудування,,
2016,135 Суднобудування,,7.89
2017,135 Суднобудування,,6.16
2018,135 Суднобудування,,6.11
2019,135 Суднобудування,,6.85
2020,135 Суднобудування,,6.59
2021,135 Суднобудування,,7.75
2022,135 Суднобудування,,8.38
2023,135 Суднобудування,,7.66
2024,135 Суднобудування,,8.84
2015,136 Металургія,,
2016,136 Металургія,,19.75
2017,136 Металургія,,19.92
2018,136 Металургія,,19.79
2019,136 Металургія,,20.7
2020,136 Металургія,,20.23
2021,136 Металургія,,20.48
2022,136 Металургія,,19.06
2023,136 Металургія,,14.8
2024,136 Металургія,,11.86
2015,"141 Електроенергетика, електротехніка та електромеханіка",,
2016,"141 Електроенергетика, електротехніка та електромеханіка",,8.39
2017,"141 Електроенергетика, електротехніка та електромеханіка",,8.63
2018,"141 Електроенергетика, електротехніка та електромеханіка",,8.54
2019,"141 Електроенергетика, електротехніка та електромеханіка",,7.98
2020,"141 Електроенергетика, електротехніка та електромеханіка",,7.85
2021,"141 Електроенергетика, електротехніка та електромеханіка",,7.35
2022,"141 Електроенергетика, електротехніка та електромеханіка",,7.03
2023,"141 Електроенергетика, електротехніка та електромеханіка",,6.15
2024,"141 Електроенергетика, електротехніка та електромеханіка",,5.69
2015,142 Енергетичне машинобудування,,
2016,142 Енергетичне машинобудування,,4.15
2017,142 Енергетичне машинобудування,,4.56
2018,142 Енергетичне машинобудування,,4.58
2019,142 Енергетичне машинобудування,,4.48
2020,142 Енергетичне машинобудування,,4.47
2021,142 Енергетичне машинобудування,,3.83
2022,142 Енергетичне машинобудування,,3.94
2023,142 Енергетичне машинобудування,,3.96
2024,142 Енергетичне машинобудування,,4.02
2015,143 Атомна енергетика,,
2016,143 Атомна енергетика,,16.44
2017,143 Атомна енергетика,,16.03
2018,143 Атомна енергетика,,16.31
2019,143 Атомна енергетика,,18.13
2020,143 Атомна енергетика,,19.27
2021,143 Атомна енергетика,,20.3
2022,143 Атомна енергетика,,20.0
2023,143 Атомна енергетика,,17.78
2024,143 Атомна енергетика,,20.06
2015,144 Теплоенергетика,,
2016,144 Теплоенергетика,,20.92
2017,144 Теплоенергетика,,20.87
2018,144 Теплоенергетика,,19.9
2019,144 Теплоенергетика,,18.67
2020,144 Теплоенергетика,,19.24
2021,144 Теплоенергетика,,18.62
2022,144 Теплоенергетика,,17.38
2023,144 Теплоенергетика,,15.23
2024,144 Теплоенергетика,,14.06
2015,145 Відновлювані джерела енергії та гідроенергетика,,
2016,145 Відновлювані джерела енергії та гідроенергетика,,
2017,145 Відновлювані джерела енергії та гідроенергетика,,
2018,145 Відновлювані джерела енергії та гідроенергетика,,
2019,145 Відновлювані джерела енергії та гідроенергетика,,
2020,145 Відновлювані джерела енергії та гідроенергетика,,
2021,145 Відновлювані джерела енергії та гідроенергетика,,
2022,145 Відновлювані джерела енергії та гідроенергетика,,
2023,145 Відновлювані джерела енергії та гідроенергетика,,3.57
2024,145 Відновлювані джерела енергії та гідроенергетика,,4.87
2015,145 Гідроенергетика,,
2016,145 Гідроенергетика,,22.56
2017,145 Гідроенергетика,,27.94
2018,145 Гідроенергетика,,28.39
2019,145 Гідроенергетика,,27.55
2020,145 Гідроенергетика,,21.74
2021,145 Гідроенергетика,,13.37
2022,145 Гідроенергетика,,10.8
2023,145 Гідроенергетика,,11.18
2024,145 Гідроенергетика,,13.25
2015,151 Автоматизація та комп’ютерно-інтегровані технології,,
2016,151 Автоматизація та комп’ютерно-інтегровані технології,,14.59
2017,151 Автоматизація та комп’ютерно-інтегровані технології,,13.94
2018,151 Автоматизація та комп’ютерно-інтегровані технології,,12.88
2019,151 Автоматизація та комп’ютерно-інтегровані технології,,11.96
2020,151 Автоматизація та комп’ютерно-інтегровані технології,,11.11
2021,151 Автоматизація та комп’ютерно-інтегровані технології,,10.41
2022,151 Автоматизація та комп’ютерно-інтегровані технології,,9.68
2023,151 Автоматизація та комп’ютерно-інтегровані технології,,9.15
2024,151 Автоматизація та комп’ютерно-інтегровані технології,,9.8
2015,152 Метрологія та інформаційно-вимірювальна техніка,,
2016,152 Метрологія та інформаційно-вимірювальна техніка,,35.93
2017,152 Метрологія та інформаційно-вимірювальна техніка,,33.52
2018,152 Метрологія та інформаційно-вимірювальна техніка,,32.82
2019,152 Метрологія та інформаційно-вимірювальна техніка,,31.8
2020,152 Метрологія та інформаційно-вимірювальна техніка,,29.09
2021,152 Метрологія та інформаційно-вимірювальна техніка,,26.11
2022,152 Метрологія та інформаційно-вимірювальна техніка,,21.39
2023,152 Метрологія та інформаційно-вимірювальна техніка,,19.87
2024,152 Метрологія та інформаційно-вимірювальна техніка,,22.63
2015,153 Мікро- та наносистемна техніка,,
2016,153 Мікро- та наносистемна техніка,,17.66
2017,153 Мікро- та наносистемна техніка,,16.21
2018,153 Мікро- та наносистемна техніка,,16.43
2019,153 Мікро- та наносистемна техніка,,16.31
2020,153 Мікро- та наносистемна техніка,,15.44
2021,153 Мікро- та наносистемна техніка,,14.52
2022,153 Мікро- та наносистемна техніка,,13.02
2023,153 Мікро- та наносистемна техніка,,12.44
2024,153 Мікро- та наносистемна техніка,,13.43
2015,161 Хімічні технології та інженерія,,
2016,161 Хімічні технології та інженерія,,56.63
2017,161 Хімічні технології та інженерія,,55.99
2018,161 Хімічні технології та інженерія,,54.49
2019,161 Хімічні технології та інженерія,,53.3
2020,161 Хімічні технології та інженерія,,53.44
2021,161 Хімічні технології та інженерія,,53.02
2022,161 Хімічні технології та інженерія,,49.46
2023,161 Хімічні технології та інженерія,,40.79
2024,161 Хімічні технології та інженерія,,36.19
2015,162 Біотехнології та біоінженерія,,
2016,162 Біотехнології та біоінженерія,,67.81
2017,162 Біотехнології та біоінженерія,,68.89
2018,162 Біотехнології та біоінженерія,,71.06
2019,162 Біотехнології та біоінженерія,,70.7
2020,162 Біотехнології та біоінженерія,,69.68
2021,162 Біотехнології та біоінженерія,,68.71
2022,162 Біотехнології та біоінженерія,,64.78
2023,162 Біотехнології та біоінженерія,,61.05
2024,162 Біотехнології та біоінженерія,,60.5
2015,163 Біомедична інженерія,,
2016,163 Біомедична інженерія,,41.96
2017,163 Біомедична інженерія,,40.37
2018,163 Біомедична інженерія,,40.04
2019,163 Біомедична інженерія,,40.67
2020,163 Біомедична інженерія,,42.71
2021,163 Біомедична інженерія,,43.59
2022,163 Біомедична інженерія,,43.02
2023,163 Біомедична інженерія,,37.47
2024,163 Біомедична інженерія,,40.08
2015,171 Електроніка,,
2016,171 Електроніка,,11.05
2017,171 Електроніка,,11.04
2018,171 Електроніка,,10.79
2019,171 Електроніка,,10.58
2020,171 Електроніка,,11.07
2021,171 Електроніка,,10.91
2022,171 Електроніка,,9.7
2023,171 Електроніка,,8.05
2024,171 Електроніка,,7.96
2015,172 Електронні комунікації та радіотехніка,,
2016,172 Електронні комунікації та радіотехніка,,
2017,172 Електронні комунікації та радіотехніка,,
2018,172 Електронні комунікації та радіотехніка,,
2019,172 Електронні комунікації та радіотехніка,,
2020,172 Електронні комунікації та радіотехніка,,
2021,172 Електронні комунікації та радіотехніка,,100.0
2022,172 Електронні комунікації та радіотехніка,,33.33
2023,172 Електронні комунікації та радіотехніка,,8.61
2024,172 Електронні комунікації та радіотехніка,,8.98
2015,172 Телекомунікації та радіотехніка,,
2016,172 Телекомунікації та радіотехніка,,15.68
2017,172 Телекомунікації та радіотехніка,,14.9
2018,172 Телекомунікації та радіотехніка,,13.72
2019,172 Телекомунікації та радіотехніка,,12.9
2020,172 Телекомунікації та радіотехніка,,12.39
2021,172 Телекомунікації та радіотехніка,,12.19
2022,172 Телекомунікації та радіотехніка,,11.43
2023,172 Телекомунікації та радіотехніка,,10.66
2024,172 Телекомунікації та радіотехніка,,10.66
2015,173 Авіоніка,,
2016,173 Авіоніка,,16.14
2017,173 Авіоніка,,13.89
2018,173 Авіоніка,,12.74
2019,173 Авіоніка,,13.35
2020,173 Авіоніка,,13.36
2021,173 Авіоніка,,13.17
2022,173 Авіоніка,,13.59
2023,173 Авіоніка,,13.78
2024,173 Авіоніка,,15.53
2015,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,
2016,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,
2017,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,
2018,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,
2019,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,
2020,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,
2021,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,
2022,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,
2023,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,7.16
2024,"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,7.41
2015,175 Інформаційно-вимірювальні технології,,
2016,175 Інформаційно-вимірювальні технології,,
2017,175 Інформаційно-вимірювальні технології,,
2018,175 Інформаційно-вимірювальні технології,,
2019,175 Інформаційно-вимірювальні технології,,
2020,175 Інформаційно-вимірювальні технології,,
2021,175 Інформаційно-вимірювальні технології,,
2022,175 Інформаційно-вимірювальні технології,,
2023,175 Інформаційно-вимірювальні технології,,11.46
2024,175 Інформаційно-вимірювальні технології,,13.08
2015,176 Мікро- та наносистемна техніка,,
2016,176 Мікро- та наносистемна техніка,,
2017,176 Мікро- та наносистемна техніка,,
2018,176 Мікро- та наносистемна техніка,,
2019,176 Мікро- та наносистемна техніка,,
2020,176 Мікро- та наносистемна техніка,,
2021,176 Мікро- та наносистемна техніка,,
2022,176 Мікро- та наносистемна техніка,,
2023,176 Мікро- та наносистемна техніка,,7.61
2024,176 Мікро- та наносистемна техніка,,8.77
2015,181 Харчові технології,,
2016,181 Харчові технології,,61.32
2017,181 Харчові технології,,60.69
2018,181 Харчові технології,,60.25
2019,181 Харчові технології,,59.74
2020,181 Харчові технології,,59.58
2021,181 Харчові технології,,59.51
2022,181 Харчові технології,,56.29
2023,181 Харчові технології,,49.51
2024,181 Харчові технології,,45.4
2015,182 Технології легкої промисловості,,
2016,182 Технології легкої промисловості,,92.06
2017,182 Технології легкої промисловості,,91.99
2018,182 Технології легкої промисловості,,92.17
2019,182 Технології легкої промисловості,,91.76
2020,182 Технології легкої промисловості,,91.41
2021,182 Технології легкої промисловості,,90.35
2022,182 Технології легкої промисловості,,88.05
2023,182 Технології легкої промисловості,,75.58
