Year,Region,Age,Sex,Status of the subject of the appeal,Type of authority that formed the Center for the provision of administrative services,Value
2023,,,,individual,,96.4
2023,,,,individual entrepreneur,,94.2
2023,,,,legal entitie,,96.4
2023,,,,,city council,95.8
2023,,,,,settlement council,95.9
2023,,,,,village council,97.5
2023,,,,,,96.1
2023,Autonomous Republic of Crimea,,,,,
2023,Vinnytsya,,,,,96.8
2023,Volyn,,,,,94.5
2023,Dnipropetrovsk,,,,,90.7
2023,Donetsk,,,,,
2023,Zhytomyr,,,,,92.3
2023,Zakarpattya,,,,,92.4
2023,Zaporizhzhya,,,,,94.6
2023,Ivano-Frankivsk,,,,,99.2
2023,Kyiv,,,,,92.4
2023,Kirovohrad,,,,,89.3
2023,Luhansk,,,,,
2023,Lviv,,,,,97.6
2023,Mykolayiv,,,,,91.5
2023,Odesa,,,,,96.0
2023,Poltava,,,,,90.0
2023,Rivne,,,,,96.9
2023,Sumy,,,,,97.1
2023,Ternopil,,,,,95.7
2023,Kharkiv,,,,,85.5
2023,Kherson,,,,,
2023,Khmelnytskiy,,,,,93.9
2023,Cherkasy,,,,,98.8
2023,Chernivtsi,,,,,84.4
2023,Chernihiv,,,,,98.1
2023,city Kyiv,,,,,77.2
2023,city Sevastopol,,,,,
2024,,14–18 years,,,,94.9
2024,,19–25 years,,,,92.9
2024,,26–35 years,,,,93.7
2024,,36–45 years,,,,95.4
2024,,46–60 years,,,,96.7
2024,,over 60 years,,,,96.5
2024,,,women,,,95.3
2024,,,men,,,94.5
2024,,,,individual,,94.8
2024,,,,individual entrepreneur,,96.1
2024,,,,legal entitie,,96.2
2024,,,,,city council,94.6
2024,,,,,settlement council,95.0
2024,,,,,village council,96.2
2024,,,,,,94.8
2024,Autonomous Republic of Crimea,,,,,
2024,Vinnytsya,,,,,93.9
2024,Volyn,,,,,94.8
2024,Dnipropetrovsk,,,,,88.7
2024,Donetsk,,,,,
2024,Zhytomyr,,,,,88.1
2024,Zakarpattya,,,,,93.0
2024,Zaporizhzhya,,,,,87.9
2024,Ivano-Frankivsk,,,,,97.8
2024,Kyiv,,,,,88.6
2024,Kirovohrad,,,,,88.5
2024,Luhansk,,,,,
2024,Lviv,,,,,97.3
2024,Mykolayiv,,,,,87.5
2024,Odesa,,,,,96.7
2024,Poltava,,,,,90.4
2024,Rivne,,,,,93.8
2024,Sumy,,,,,97.0
2024,Ternopil,,,,,95.0
2024,Kharkiv,,,,,89.2
2024,Kherson,,,,,
2024,Khmelnytskiy,,,,,88.8
2024,Cherkasy,,,,,97.8
2024,Chernivtsi,,,,,86.5
2024,Chernihiv,,,,,99.2
2024,city Kyiv,,,,,61.5
2024,city Sevastopol,,,,,
