Year,Стать,Value
2015,жінок,12.11
2016,жінок,12.29
2017,жінок,12.53
2018,жінок,11.58
2019,жінок,20.8
2020,жінок,20.62
2021,жінок,20.33
2022,жінок,20.48
2023,жінок,21.2
2015,чоловіків,87.89
2016,чоловіків,87.71
2017,чоловіків,87.47
2018,чоловіків,88.42
2019,чоловіків,79.2
2020,чоловіків,79.38
2021,чоловіків,79.67
2022,чоловіків,79.52
2023,чоловіків,78.8
2024,,
