Year,Sex,Age,Region,Value
2023,,,Chernihiv,24.0
2023,,,city Kyiv,42.0
2023,,,city Sevastopol,
2024,,,,33.0
2024,women,,,
2024,men,,,
2024,,adults,,
2024,,children,,
2024,,,Autonomous Republic of Crimea,
2024,,,Vinnytsya,41.0
2024,,,Volyn,25.0
2024,,,Dnipropetrovsk,34.0
2024,,,Donetsk,100.0
2024,,,Zhytomyr,17.0
2024,,,Zakarpattya,7.0
2024,,,Zaporizhzhya,59.0
2024,,,Ivano-Frankivsk,19.0
2024,,,Kyiv,11.0
2024,,,Kirovohrad,25.0
2024,,,Luhansk,
2024,,,Lviv,58.0
2024,,,Mykolayiv,19.0
2024,,,Odesa,20.0
2024,,,Poltava,14.0
2024,,,Rivne,45.0
2024,,,Sumy,50.0
2024,,,Ternopil,24.0
2024,,,Kharkiv,66.0
2024,,,Kherson,
2024,,,Khmelnytskiy,6.0
2024,,,Cherkasy,16.0
2024,,,Chernivtsi,15.0
2024,,,Chernihiv,48.0
2024,,,city Kyiv,61.0
2024,,,city Sevastopol,
