Year,за рівнем рад,Область,Стать,Value
2016,,Кіровоградська,чоловіків,46.75
2017,,Кіровоградська,жінок,52.88
2017,,Кіровоградська,чоловіків,47.12
2015,,Луганська,жінок,57.68
2015,,Луганська,чоловіків,42.32
2016,,Луганська,жінок,57.82
2016,,Луганська,чоловіків,42.18
2017,,Луганська,жінок,56.11
2017,,Луганська,чоловіків,43.89
2015,,Львівська,жінок,37.95
2015,,Львівська,чоловіків,62.05
2016,,Львівська,жінок,37.67
2016,,Львівська,чоловіків,62.33
2017,,Львівська,жінок,37.48
2017,,Львівська,чоловіків,62.52
2015,,Миколаївська,жінок,58.72
2015,,Миколаївська,чоловіків,41.28
2016,,Миколаївська,жінок,56.89
2016,,Миколаївська,чоловіків,43.11
2017,,Миколаївська,жінок,56.33
2017,,Миколаївська,чоловіків,43.67
2015,,Одеська,жінок,47.99
2015,,Одеська,чоловіків,52.01
2016,,Одеська,жінок,47.74
2016,,Одеська,чоловіків,52.26
2017,,Одеська,жінок,46.85
2017,,Одеська,чоловіків,53.15
2015,,Полтавська,жінок,48.83
2015,,Полтавська,чоловіків,51.17
2016,,Полтавська,жінок,48.46
2016,,Полтавська,чоловіків,51.54
2017,,Полтавська,жінок,47.24
2017,,Полтавська,чоловіків,52.76
2015,,Рівненська,жінок,49.47
2015,,Рівненська,чоловіків,50.53
2016,,Рівненська,жінок,48.14
2016,,Рівненська,чоловіків,51.86
2017,,Рівненська,жінок,47.86
2017,,Рівненська,чоловіків,52.14
2015,,Сумська,жінок,56.0
2015,,Сумська,чоловіків,44.0
2016,,Сумська,жінок,54.63
2016,,Сумська,чоловіків,45.37
2017,,Сумська,жінок,53.32
2017,,Сумська,чоловіків,46.68
2015,,Тернопільська,жінок,46.65
2015,,Тернопільська,чоловіків,53.35
2016,,Тернопільська,жінок,46.15
2016,,Тернопільська,чоловіків,53.85
2017,,Тернопільська,жінок,46.19
2017,,Тернопільська,чоловіків,53.81
2015,,Харківська,жінок,51.7
2015,,Харківська,чоловіків,48.3
2016,,Харківська,жінок,51.25
2016,,Харківська,чоловіків,48.75
2017,,Харківська,жінок,50.79
2017,,Харківська,чоловіків,49.21
2015,,Херсонська,жінок,56.96
2015,,Херсонська,чоловіків,43.04
2016,,Херсонська,жінок,55.6
2016,,Херсонська,чоловіків,44.4
2017,,Херсонська,жінок,54.45
2017,,Херсонська,чоловіків,45.55
2015,,Хмельницька,жінок,50.84
2015,,Хмельницька,чоловіків,49.16
2016,,Хмельницька,жінок,49.84
2016,,Хмельницька,чоловіків,50.16
2017,,Хмельницька,жінок,48.57
2017,,Хмельницька,чоловіків,51.43
2015,,Черкаська,жінок,53.83
2015,,Черкаська,чоловіків,46.17
2016,,Черкаська,жінок,53.65
2016,,Черкаська,чоловіків,46.35
2017,,Черкаська,жінок,52.81
2017,,Черкаська,чоловіків,47.19
2015,,Чернівецька,жінок,37.7
2015,,Чернівецька,чоловіків,62.3
2016,,Чернівецька,жінок,37.24
2016,,Чернівецька,чоловіків,62.76
2017,,Чернівецька,жінок,36.72
2017,,Чернівецька,чоловіків,63.28
2015,,Чернігівська,жінок,58.64
2015,,Чернігівська,чоловіків,41.36
2016,,Чернігівська,жінок,57.31
2016,,Чернігівська,чоловіків,42.69
2017,,Чернігівська,жінок,53.44
2017,,Чернігівська,чоловіків,46.56
2015,,місто Київ,жінок,18.33
2015,,місто Київ,чоловіків,81.67
2016,,місто Київ,жінок,18.33
2016,,місто Київ,чоловіків,81.67
2017,,місто Київ,жінок,18.33
2017,,місто Київ,чоловіків,81.67
2015,,м. Севастополь,жінок,
2015,,м. Севастополь,чоловіків,
2016,,м. Севастополь,жінок,
2016,,м. Севастополь,чоловіків,
2017,,м. Севастополь,жінок,
2017,,м. Севастополь,чоловіків,
2018,,Вінницька,чоловіків,51.31
2018,,Вінницька,жінок,48.69
2019,,Вінницька,чоловіків,51.47
2019,,Вінницька,жінок,48.53
2020,,Вінницька,чоловіків,64.17
2020,,Вінницька,жінок,35.83
2021,,Вінницька,чоловіків,64.12
2021,,Вінницька,жінок,35.88
2022,,Вінницька,чоловіків,64.11
2022,,Вінницька,жінок,35.89
2023,,Вінницька,чоловіків,63.88
2023,,Вінницька,жінок,36.12
2018,,Волинська,чоловіків,51.69
2018,,Волинська,жінок,48.31
2019,,Волинська,чоловіків,5234.0
2019,,Волинська,жінок,47.66
2020,,Волинська,чоловіків,61.99
2020,,Волинська,жінок,38.01
2021,,Волинська,чоловіків,61.94
2021,,Волинська,жінок,38.06
2022,,Волинська,чоловіків,161.85
2022,,Волинська,жінок,1.0
2023,,Волинська,чоловіків,61.99
2023,,Волинська,жінок,38.01
2018,,Дніпропетровська,чоловіків,55.41
2018,,Дніпропетровська,жінок,44.59
2019,,Дніпропетровська,чоловіків,56.6
2019,,Дніпропетровська,жінок,43.4
2020,,Дніпропетровська,чоловіків,58.7
2020,,Дніпропетровська,жінок,41.3
2021,,Дніпропетровська,чоловіків,8.81
2021,,Дніпропетровська,жінок,41.19
2022,,Дніпропетровська,чоловіків,58.7
2022,,Дніпропетровська,жінок,41.3
2023,,Дніпропетровська,чоловіків,58.68
2023,,Дніпропетровська,жінок,41.32
2018,,Донецька,чоловіків,46.56
2018,,Донецька,жінок,53.44
2019,,Донецька,чоловіків,46.39
2019,,Донецька,жінок,53.61
2020,,Донецька,чоловіків,59.14
2020,,Донецька,жінок,40.86
2021,,Донецька,чоловіків,59.07
2021,,Донецька,жінок,40.93
2022,,Донецька,чоловіків,59.04
2022,,Донецька,жінок,40.96
2023,,Донецька,чоловіків,59.02
2023,,Донецька,жінок,40.98
2018,,Житомирська,чоловіків,51.01
2018,,Житомирська,жінок,48.99
2019,,Житомирська,чоловіків,1.72
2019,,Житомирська,жінок,48.28
2020,,Житомирська,чоловіків,61.61
2020,,Житомирська,жінок,38.39
2021,,Житомирська,чоловіків,61.51
2021,,Житомирська,жінок,38.49
2022,,Житомирська,чоловіків,61.31
2022,,Житомирська,жінок,38.69
2023,,Житомирська,чоловіків,61.03
2023,,Житомирська,жінок,38.97
2018,,Закарпатська,чоловіків,64.42
2018,,Закарпатська,жінок,35.58
2019,,Закарпатська,чоловіків,64.58
2019,,Закарпатська,жінок,3549.0
2020,,Закарпатська,чоловіків,71.58
2020,,Закарпатська,жінок,2949.0
2021,,Закарпатська,чоловіків,7155.0
2021,,Закарпатська,жінок,945.0
2022,,Закарпатська,чоловіків,3.0
2023,,Закарпатська,чоловіків,79.99
2023,,Закарпатська,жінок,2772.0
2018,,Запорізька,чоловіків,52.41
2018,,Запорізька,жінок,47.59
2019,,Запорізька,чоловіків,53.74
2019,,Запорізька,жінок,46.26
2020,,Запорізька,чоловіків,57.63
2020,,Запорізька,жінок,42.37
2021,,Запорізька,чоловіків,57.77
2021,,Запорізька,жінок,42.23
2022,,Запорізька,чоловіків,57.7
2022,,Запорізька,жінок,42.3
2023,,Запорізька,чоловіків,57.92
2023,,Запорізька,жінок,42.08
2018,,Івано-Франківська,чоловіків,62.52
2018,,Івано-Франківська,жінок,37.48
2019,,Івано-Франківська,чоловіків,62.73
2019,,Івано-Франківська,жінок,37.27
2020,,Івано-Франківська,чоловіків,69.02
2020,,Івано-Франківська,жінок,30.98
2021,,Івано-Франківська,чоловіків,68.74
2021,,Івано-Франківська,жінок,31.26
2022,,Івано-Франківська,чоловіків,68.78
2022,,Івано-Франківська,жінок,31.22
2023,,Івано-Франківська,чоловіків,68.49
2023,,Івано-Франківська,жінок,31.51
2018,,Київська,чоловіків,2.77
2018,,Київська,жінок,47.23
2019,,Київська,чоловіків,52.74
2019,,Київська,жінок,47.26
2020,,Київська,чоловіків,65.97
2020,,Київська,жінок,34.03
2021,,Київська,чоловіків,65.97
2021,,Київська,жінок,34.03
2022,,Київська,чоловіків,65.76
2022,,Київська,жінок,34.24
2023,,Київська,чоловіків,65.66
2023,,Київська,жінок,34.34
2018,,Кіровоградська,чоловіків,47.54
2018,,Кіровоградська,жінок,52.46
2019,,Кіровоградська,чоловіків,47.82
2019,,Кіровоградська,жінок,52.18
2020,,Кіровоградська,чоловіків,63.87
2020,,Кіровоградська,жінок,36.13
2021,,Кіровоградська,чоловіків,64.03
2021,,Кіровоградська,жінок,38.97
2022,,Кіровоградська,чоловіків,63.99
2022,,Кіровоградська,жінок,36.01
2023,,Кіровоградська,чоловіків,64.09
2023,,Кіровоградська,жінок,35.91
2018,,Луганська,чоловіків,44.06
2018,,Луганська,жінок,55.94
2019,,Луганська,чоловіків,46.56
2019,,Луганська,жінок,53.44
2020,,Луганська,чоловіків,58.14
2020,,Луганська,жінок,41.86
2021,,Луганська,чоловіків,57.12
2021,,Луганська,жінок,42.88
2022,,Луганська,чоловіків,57.14
2022,,Луганська,жінок,42.36
2023,,Луганська,чоловіків,56.26
2023,,Луганська,жінок,43.14
2018,,Львівська,чоловіків,62.95
2018,,Львівська,жінок,37.05
2019,,Львівська,чоловіків,63.09
2019,,Львівська,жінок,36.91
2020,,Львівська,чоловіків,71.89
2020,,Львівська,жінок,28.11
2021,,Львівська,чоловіків,72.08
2021,,Львівська,жінок,27.92
2022,,Львівська,чоловіків,7.0
2023,,Львівська,чоловіків,71.91
2023,,Львівська,жінок,28.09
2018,,Миколаївська,чоловіків,43.64
2018,,Миколаївська,жінок,56.36
2019,,Миколаївська,чоловіків,45.54
2019,,Миколаївська,жінок,54.46
2020,,Миколаївська,чоловіків,56.42
2020,,Миколаївська,жінок,43.58
2021,,Миколаївська,чоловіків,56.4
2021,,Миколаївська,жінок,43.6
2022,,Миколаївська,чоловіків,56.24
2022,,Миколаївська,жінок,43.76
2023,,Миколаївська,чоловіків,56.36
2023,,Миколаївська,жінок,43.64
2018,,Одеська,чоловіків,53.52
2018,,Одеська,жінок,46.48
2019,,Одеська,чоловіків,54.02
2019,,Одеська,жінок,45.98
2020,,Одеська,чоловіків,61.67
2020,,Одеська,жінок,38.33
2021,,Одеська,чоловіків,61.43
2021,,Одеська,жінок,38.57
2022,,Одеська,чоловіків,61.36
2022,,Одеська,жінок,38.64
2023,,Одеська,чоловіків,61.35
2023,,Одеська,жінок,38.65
2018,,Полтавська,чоловіків,52.99
2018,,Полтавська,жінок,47.08
2019,,Полтавська,чоловіків,53.28
2019,,Полтавська,жінок,46.72
2020,,Полтавська,чоловіків,64.12
2020,,Полтавська,жінок,35.82
2021,,Полтавська,чоловіків,64.1
2021,,Полтавська,жінок,35.9
2022,,Полтавська,чоловіків,64.13
2022,,Полтавська,жінок,35.97
2023,,Полтавська,чоловіків,64.1
2023,,Полтавська,жінок,35.9
2018,,Рівненська,чоловіків,52.62
2018,,Рівненська,жінок,47.38
