Year,Types of economic activity,by the organisational and legal forms,Region,Value
2024,manufacture of cutlery,,,6.0
2024,manufacture of locks and hinges,,,28.1
2024,manufacture of tools,,,20.0
2024,manufacture of steel drums and similar containers,,,30.0
2024,manufacture of light metal packaging,,,5.0
2024,"manufacture of wire products, chain and springs",,,18.6
2024,manufacture of fasteners and screw machine products,,,20.9
2024,manufacture of other fabricated metal products n.e.c.,,,25.0
2024,manufacture of electronic components,,,13.8
2024,manufacture of loaded electronic boards,,,35.0
2024,manufacture of computers and peripheral equipment,,,15.3
2024,manufacture of communication equipment,,,14.3
2024,manufacture of consumer electronics,,,
2024,"manufacture of instruments and appliances for measuring, testing and navigation",,,6.3
2024,manufacture of watches and clocks,,,9.1
2024,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,17.0
2024,manufacture of optical instruments and photographic equipment,,,
2024,manufacture of magnetic and optical media,,,15.5
2024,"manufacture of electric motors, generators and transformers",,,11.6
2024,manufacture of electricity distribution and control apparatus,,,23.8
2024,manufacture of batteries and accumulators,,,21.6
2024,manufacture of fibre optic cables,,,21.7
2024,manufacture of other electronic and electric wires and cables,,,
2024,manufacture of wiring devices,,,10.7
2024,manufacture of electric lighting equipment,,,8.7
2024,manufacture of electric domestic appliances,,,20.0
2024,manufacture of non-electric domestic appliances,,,
2024,manufacture of other electrical equipment,,,21.1
2024,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,17.3
2024,manufacture of fluid power equipment,,,20.0
2024,manufacture of other pumps and compressors,,,14.3
2024,manufacture of other taps and valves,,,16.7
2024,"manufacture of bearings, gears, gearing and driving elements",,,16.9
2024,"manufacture of ovens, furnaces and furnace burners",,,6.0
2024,manufacture of lifting and handling equipment,,,20.6
2024,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2024,manufacture of power-driven hand tools,,,13.3
2024,manufacture of non-domestic cooling and ventilation equipment,,,33.3
2024,manufacture of other general-purpose machinery n.e.c.,,,
2024,manufacture of agricultural and forestry machinery,,,20.0
2024,manufacture of metal forming machinery,,,38.5
2024,manufacture of other machine tools,,,16.1
2024,manufacture of machinery for metallurgy,,,10.6
2024,"manufacture of machinery for mining, quarrying and construction",,,39.1
2024,"manufacture of machinery for food, beverage and tobacco processing",,,16.7
2024,"manufacture of machinery for textile, apparel and leather production",,,
2024,manufacture of machinery for paper and paperboard production,,,24.0
2024,manufacture of plastics and rubber machinery,,,74.9
2024,manufacture of other special-purpose machinery n.e.c.,,,11.1
2024,manufacture of motor vehicles,,,23.0
2024,manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,,,51.7
2024,manufacture of electrical and electronic equipment for motor vehicles,,,18.7
2024,manufacture of other parts and accessories for motor vehicles,,,30.0
2024,building of ships and floating structures,,,44.3
2024,building of pleasure and sporting boats,,,8.6
2024,manufacture of railway locomotives and rolling stock,,,12.1
2024,manufacture of air and spacecraft and related machinery,,,11.9
2024,manufacture of military fighting vehicles,,,12.6
2024,manufacture of motorcycles,,,20.2
2024,manufacture of bicycles and invalid carriages,,,7.9
2024,manufacture of other transport equipment n.e.c.,,,8.5
2024,manufacture of office and shop furniture,,,9.0
2024,manufacture of kitchen furniture,,,11.8
2024,manufacture of mattresses,,,27.0
2024,manufacture of other furniture,,,40.0
2024,striking of coins,,,
2024,manufacture of jewellery and related articles,,,25.0
2024,manufacture of imitation jewellery and related articles,,,25.0
2024,manufacture of musical instruments,,,26.2
2024,manufacture of sports goods,,,31.7
2024,manufacture of games and toys,,,14.1
2024,manufacture of medical and dental instruments and supplies,,,31.1
2024,manufacture of brooms and brushes,,,
2024,other manufacturing n.e.c.,,,21.2
2024,repair of fabricated metal products,,,33.3
2024,repair of machinery,,,15.1
2024,repair of electronic and optical equipment,,,23.3
2024,repair of electrical equipment,,,23.9
2024,repair and maintenance of ships and boats,,,17.7
2024,repair and maintenance of aircraft and spacecraft,,,13.6
2024,repair and maintenance of other transport equipment,,,16.8
2024,repair of other equipment,,,
2024,installation of industrial machinery and equipment,,,11.7
2024,production of electricity,,,12.5
2024,transmission of electricity,,,3.7
2024,distribution of electricity,,,15.4
2024,trade of electricity,,,13.6
2024,manufacture of gas,,,17.9
2024,distribution of gaseous fuels through mains,,,7.1
2024,trade of gas through mains,,,10.5
2024,steam and air conditioning supply,,,10.7
2024,"water collection, treatment and supply",,,14.9
2024,sewerage,,,13.1
2024,collection of non-hazardous waste,,,11.0
2024,collection of hazardous waste,,,10.7
2024,treatment and disposal of non-hazardous waste,,,17.3
2024,treatment and disposal of hazardous waste,,,12.0
2024,dismantling of wrecks,,,10.2
2024,recovery of sorted materials,,,12.3
2024,remediation activities and other waste management services,,,14.4
2024,development of building projects,,,14.1
2024,construction of residential and non-residential buildings,,,11.2
2024,construction of roads and motorways,,,29.1
2024,construction of railways and underground railways,,,25.7
2024,construction of bridges and tunnels,,,18.8
2024,construction of utility projects for fluids,,,31.7
2024,construction of utility projects for electricity and telecommunications,,,26.4
2024,construction of water projects,,,28.2
2024,construction of other civil engineering projects n.e.c.,,,19.1
2024,demolition,,,40.5
2024,site preparation,,,58.4
2024,test drilling and boring,,,33.1
2024,electrical installation,,,46.0
2024,"plumbing, heat and air-conditioning installation",,,42.3
2024,other construction installation,,,29.9
2024,plastering,,,51.1
2024,joinery installation,,,31.8
2024,floor and wall covering,,,26.4
2024,painting and glazing,,,36.8
2024,other building completion and finishing,,,39.2
2024,roofing activities,,,39.6
2024,other specialised construction activities n.e.c.,,,36.4
2024,sale of cars and light motor vehicles,,,40.0
2024,sale of other motor vehicles,,,41.7
2024,maintenance and repair of motor vehicles,,,37.5
2024,wholesale trade of motor vehicle parts and accessories,,,38.6
2024,retail trade of motor vehicle parts and accessories,,,40.6
2024,"sale, maintenance and repair of motorcycles and related parts and accessories",,,46.8
2024,"agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",,,48.6
2024,"agents involved in the sale of fuels, ores, metals and industrial chemicals",,,32.7
2024,agents involved in the sale of timber and building materials,,,44.6
2024,"agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,58.6
2024,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,49.6
2024,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,42.4
2024,"agents involved in the sale of food, beverages and tobacco",,,48.6
2024,agents specialised in the sale of other particular products,,,43.6
2024,agents involved in the sale of a variety of goods,,,33.4
2024,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,36.9
2024,wholesale of flowers and plants,,,26.7
2024,wholesale of live animals,,,29.5
2024,"wholesale of hides, skins and leather",,,34.6
2024,wholesale of fruit and vegetables,,,37.6
2024,wholesale of meat and meat products,,,40.7
2024,"wholesale of dairy products, eggs and edible oils and fats",,,35.2
2024,wholesale of beverages,,,33.3
2024,wholesale of tobacco products,,,27.1
2024,wholesale of sugar and chocolate and sugar confectionery,,,30.8
2024,"wholesale of coffee, tea, cocoa and spices",,,33.8
2024,"wholesale of other food, including fish, crustaceans and molluscs",,,28.6
2024,"non-specialised wholesale of food, beverages and tobacco",,,38.3
2024,wholesale of textiles,,,35.8
2024,wholesale of clothing and footwear,,,25.6
2024,wholesale of electrical household appliances,,,39.1
2024,wholesale of china and glassware and cleaning materials,,,65.5
2024,wholesale of perfume and cosmetics,,,60.6
2024,wholesale of pharmaceutical goods,,,56.0
2024,"wholesale of furniture, carpets and lighting equipment",,,65.1
2024,wholesale of watches and jewellery,,,56.3
2024,wholesale of other household goods,,,65.3
2024,"wholesale of computers, computer peripheral equipment and software",,,57.1
2024,wholesale of electronic and telecommunications equipment and parts,,,51.8
2024,"wholesale of agricultural machinery, equipment and supplies",,,64.2
2024,wholesale of machine tools,,,27.1
2024,"wholesale of mining, construction and civil engineering machinery",,,27.6
2024,wholesale of machinery for the textile industry and of sewing and knitting machines,,,30.6
2024,wholesale of office furniture,,,28.8
2024,wholesale of other office machinery and equipment,,,74.6
2024,wholesale of other machinery and equipment,,,37.0
2024,"wholesale of solid, liquid and gaseous fuels and related products",,,46.8
2024,wholesale of metals and metal ores,,,37.3
2024,"wholesale of wood, construction materials and sanitary equipment",,,52.7
2024,"wholesale of hardware, plumbing and heating equipment and supplies",,,61.1
2024,wholesale of chemical products,,,64.9
2024,wholesale of other intermediate products,,,36.4
2024,wholesale of waste and scrap,,,35.9
2024,non-specialised wholesale trade,,,68.5
2024,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,74.0
2024,other retail sale in non-specialised stores,,,66.5
2024,retail sale of fruit and vegetables in specialised stores,,,62.8
2024,retail sale of meat and meat products in specialised stores,,,58.7
2024,"retail sale of fish, crustaceans and molluscs in specialised stores",,,74.1
2024,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,71.5
2024,retail sale of beverages in specialised stores,,,64.1
2024,retail sale of tobacco products in specialised stores,,,53.2
2024,other retail sale of food in specialised stores,,,63.6
2024,retail sale of automotive fuel in specialised stores,,,64.0
2024,"retail sale of computers, peripheral units and software in specialised stores",,,72.8
2024,retail sale of telecommunications equipment in specialised stores,,,52.8
2024,retail sale of audio and video equipment in specialised stores,,,52.5
2024,retail sale of textiles in specialised stores,,,41.9
2024,"retail sale of hardware, paints and glass in specialised stores",,,100.0
2024,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,30.0
2024,retail sale of electrical household appliances in specialised stores,,,14.4
2024,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,4.7
2024,retail sale of books in specialised stores,,,12.2
2024,retail sale of newspapers and stationery in specialised stores,,,11.9
2024,retail sale of music and video recordings in specialised stores,,,7.8
2024,retail sale of sporting equipment in specialised stores,,,4.2
2024,retail sale of games and toys in specialised stores,,,10.0
2024,retail sale of clothing in specialised stores,,,3.2
2024,retail sale of footwear and leather goods in specialised stores,,,27.3
2024,dispensing chemist in specialised stores,,,18.2
2024,retail sale of medical and orthopaedic goods in specialised stores,,,40.0
2024,retail sale of cosmetic and toilet articles in specialised stores,,,
2024,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,25.2
2024,retail sale of watches and jewellery in specialised stores,,,33.8
2024,other retail sale of new goods in specialised stores,,,15.6
2024,retail sale of second-hand goods in stores,,,54.2
2024,"retail sale via stalls and markets of food, beverages and tobacco products",,,21.1
2024,"retail sale via stalls and markets of textiles, clothing and footwear",,,37.5
2024,retail sale via stalls and markets of other goods,,,
2024,retail sale via mail order houses or via internet,,,6.2
2024,"other retail sale not in stores, stalls or markets",,,56.1
2024,"passenger rail transport, interurban",,,52.1
2024,freight rail transport,,,53.6
2024,urban and suburban passenger land transport,,,53.5
2024,taxi operation,,,55.4
2024,other passenger land transport n.e.c.,,,61.2
2024,freight transport by road,,,62.1
2024,removal services,,,55.1
2024,transport via pipeline,,,46.6
2024,sea and coastal passenger water transport,,,40.6
2024,sea and coastal freight water transport,,,40.9
2024,inland passenger water transport,,,50.9
2024,inland freight water transport,,,40.7
2024,passenger air transport,,,25.6
2024,freight air transport,,,29.6
2024,warehousing and storage,,,33.1
2024,service activities incidental to land transportation,,,28.0
2024,service activities incidental to water transportation,,,35.7
2024,service activities incidental to air transportation,,,47.3
2024,cargo handling,,,17.4
2024,other transportation support activities,,,46.7
2024,postal activities under universal service obligation,,,31.3
2024,other postal and courier activities,,,22.5
2024,hotels and similar accommodation,,,10.3
2024,holiday and other short-stay accommodation,,,17.6
2024,"camping grounds, recreational vehicle parks and trailer parks",,,27.4
2024,other accommodation,,,25.4
2024,restaurants and mobile food service activities,,,36.6
2024,event catering activities,,,14.1
2024,other food service activities,,,33.9
2024,beverage serving activities,,,46.5
2024,book publishing,,,36.6
2024,publishing of directories and mailing lists,,,54.6
2024,publishing of newspapers,,,58.2
2024,publishing of journals and periodicals,,,
2024,other publishing activities,,,100.0
2024,publishing of computer games,,,23.9
2024,other software publishing,,,16.7
2024,"motion picture, video and television programme activities",,,25.0
2024,"motion picture, video and television programme production activities",,,29.4
2024,"motion picture, video and television programme distribution activities",,,35.5
2024,motion picture projection activities,,,40.8
2024,sound recording and music publishing activities,,,46.6
2024,radio broadcasting,,,
2024,television programming and broadcasting activities,,,50.0
2024,wired telecommunications activities,,,33.3
2024,wireless telecommunications activities,,,23.8
2024,satellite telecommunications activities,,,37.2
2024,other telecommunications activities,,,21.5
2024,computer programming activities,,,58.5
2024,computer consultancy activities,,,55.5
2024,computer facilities management activities,,,30.0
2024,other information technology and computer service activities,,,45.3
2024,"data processing, hosting and related activities",,,53.9
2024,web portals,,,58.1
2024,news agency activities,,,50.3
2024,other information service activities n.e.c.,,,40.9
2024,central banking,,,85.7
2024,other monetary intermediation,,,36.4
2024,activities of holding companies,,,71.9
2024,"trusts, funds and similar financial entities",,,55.2
2024,financial leasing,,,33.9
2024,other credit granting,,,24.3
2024,"other financial service activities, except insurance and pension funding n.e.c.",,,15.9
2024,life insurance,,,59.5
2024,non-life insurance,,,40.2
2024,reinsurance,,,62.3
2024,pension funding,,,48.5
2024,administration of financial markets,,,51.4
2024,security and commodity contracts brokerage,,,59.6
2024,"other activities auxiliary to financial services, except insurance and pension funding",,,54.0
2024,risk and damage evaluation,,,51.5
2024,activities of insurance agents and brokers,,,70.4
2024,other activities auxiliary to insurance and pension funding,,,44.0
2024,fund management activities,,,44.7
2024,buying and selling of own real estate,,,31.2
2024,renting and operating of own or leased real estate,,,32.4
2024,real estate agencies,,,28.2
2024,management of real estate on a fee or contract basis,,,55.6
2024,legal activities,,,59.7
2024,"accounting, bookkeeping and auditing activities; tax consultancy",,,30.2
2024,activities of head offices,,,25.5
2024,public relations and communication activities,,,37.9
2024,business and other management consultancy activities,,,44.0
2024,architectural activities,,,25.0
2024,engineering activities and related technical consultancy,,,31.8
2024,technical testing and analysis,,,21.4
2024,research and experimental development on biotechnology,,,66.1
2024,other research and experimental development on natural sciences and engineering,,,50.0
2024,research and experimental development on social sciences and humanities,,,74.3
2024,advertising agencies,,,76.8
2024,media representation,,,54.5
2024,market research and public opinion polling,,,60.2
2024,specialised design activities,,,12.5
2024,photographic activities,,,10.9
2024,translation and interpretation activities,,,26.8
2024,"other professional, scientific and technical activities n.e.c.",,,38.9
2024,veterinary activities,,,68.9
2024,renting and leasing of cars and light motor vehicles,,,52.4
2024,renting and leasing of trucks,,,43.9
2024,renting and leasing of recreational and sports goods,,,37.1
2024,renting of video tapes and disks,,,74.6
2024,renting and leasing of other personal and household goods,,,65.7
2024,renting and leasing of agricultural machinery and equipment,,,56.9
2024,renting and leasing of construction and civil engineering machinery,,,64.7
2024,renting and leasing of office machinery and equipment (including computers),,,50.0
2024,renting and leasing of water transport equipment,,,47.2
2024,renting and leasing of air transport equipment,,,48.3
2024,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,33.3
2024,"leasing of intellectual property and similar products, except copyrighted works",,,80.0
2024,activities of employment placement agencies,,,50.0
2024,temporary employment agency activities,,,27.8
2024,other human resources provision,,,18.2
2024,travel agency activities,,,47.4
2024,tour operator activities,,,25.0
2024,other reservation service and related activities,,,
2024,private security activities,,,25.0
2024,security systems service activities,,,88.9
2024,investigation activities,,,92.6
2024,combined facilities support activities,,,77.7
2024,general cleaning of buildings,,,41.7
2024,other building and industrial cleaning activities,,,16.7
2024,other cleaning activities,,,43.0
2024,landscape service activities,,,53.8
2024,combined office administrative service activities,,,77.6
2024,"photocopying, document preparation and other specialised office support activities",,,18.0
2024,activities of call centres,,,80.7
2024,organisation of conventions and trade shows,,,78.5
2024,activities of collection agencies and credit bureaus,,,50.3
2024,packaging activities,,,62.0
2024,other business support service activities n.e.c.,,,60.9
2024,general government administration,,,44.9
2024,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,81.2
2024,regulation and promotion of effective economic activity,,,53.6
2024,international activities,,,30.0
2024,activities in the field of defense,,,50.8
2024,activities in the field of justice and justice,,,45.2
2024,activities in the field of public order and safety,,,75.7
2024,activities of fire services,,,86.4
2024,activities in the field of compulsory social insurance,,,76.2
2024,pre-primary education,,,42.4
2024,primary education,,,35.0
2024,general secondary education,,,61.4
2024,technical and vocational secondary education,,,33.3
2024,post-secondary non-tertiary education,,,68.1
2024,tertiary education,,,38.3
2024,sports and recreation education,,,42.9
2024,cultural education,,,37.0
2024,driving school activities,,,22.7
2024,other education n.e.c.,,,41.4
2024,educational support activities,,,43.9
2024,hospital activities,,,62.7
2024,general medical practice activities,,,34.6
2024,specialist medical practice activities,,,38.5
2024,dental practice activities,,,51.5
2024,other human health activities,,,35.7
2024,residential nursing care activities,,,46.7
2024,"residential care activities for mental retardation, mental health and substance abuse",,,
2024,residential care activities for the elderly and disabled,,,29.8
2024,other residential care activities,,,
2024,social work activities without accommodation for the elderly and disabled,,,62.4
2024,child day-care activities,,,13.1
2024,other social work activities without accommodation n.e.c.,,,9.2
2024,performing arts,,,6.1
2024,support activities to performing arts,,,7.4
2024,artistic creation,,,15.9
2024,operation of arts facilities,,,14.7
2024,library and archives activities,,,11.4
2024,museums activities,,,73.4
2024,operation of historical sites and buildings and similar visitor attractions,,,56.0
2024,botanical and zoological gardens and nature reserves activities,,,93.9
2024,gambling and betting activities,,,42.0
2024,operation of sports facilities,,,62.6
2024,activities of sport clubs,,,59.3
2024,fitness facilities,,,76.9
2024,other sports activities,,,34.9
2024,activities of amusement parks and theme parks,,,30.8
2024,other amusement and recreation activities,,,13.6
2024,activities of organizations of industrialists and entrepreneurs,,,41.8
2024,,,Ukraine,47.5
2024,,,Autonomous Republic of Crimea,
2024,,,Vinnytsya,47.2
2024,,,Volyn,49.1
2024,,,Dnipropetrovsk,48.7
2024,,,Donetsk,48.8
2024,,,Zhytomyr,48.0
2024,,,Zakarpattya,47.8
2024,,,Zaporizhzhya,47.0
2024,,,Ivano-Frankivsk,47.3
2024,,,Kyiv,49.2
2024,,,Kirovohrad,50.1
2024,,,Luhansk,49.6
2024,,,Lviv,47.0
2024,,,Mykolayiv,48.9
2024,,,Odesa,49.3
2024,,,Poltava,49.0
2024,,,Rivne,49.1
2024,,,Sumy,47.6
2024,,,Ternopil,45.2
2024,,,Kharkiv,43.1
2024,,,Kherson,47.6
2024,,,Khmelnytskiy,51.6
2024,,,Cherkasy,46.3
2024,,,Chernivtsi,47.7
2024,,,Chernihiv,48.4
2024,,,the city of Kyiv,45.0
2024,,,city Sevastopol,
2025,"growing of cereals (except rice), leguminous crops and oil seeds",,,17.2
2025,growing of rice,,,27.3
2025,"growing of vegetables and melons, roots and tubers",,,28.9
2025,growing of sugar cane,,,
2025,growing of tobacco,,,100.0
2025,growing of fibre crops,,,46.3
2025,growing of other non-perennial crops,,,25.4
2025,growing of grapes,,,40.0
2025,growing of pome fruits and stone fruits,,,
2025,growing of other tree and bush fruits and nuts,,,22.8
2025,growing of beverage crops,,,31.8
2025,"growing of spices, aromatic, drug and pharmaceutical crops",,,
2025,growing of other perennial crops,,,51.4
2025,plant propagation,,,35.8
2025,raising of dairy cattle,,,41.6
2025,raising of other cattle and buffaloes,,,31.4
2025,raising of horses and other equines,,,13.7
2025,raising of camels and camelids,,,45.5
2025,raising of sheep and goats,,,31.6
2025,raising of swine/pigs,,,24.5
2025,raising of poultry,,,33.9
2025,raising of other animals,,,30.7
2025,mixed farming,,,20.5
2025,support activities for crop production,,,19.2
2025,support activities for animal production,,,31.6
2025,post-harvest crop activities,,,21.1
2025,seed processing for propagation,,,24.6
2025,"hunting, trapping and related service activities",,,31.3
2025,silviculture and other forestry activities,,,27.2
2025,logging,,,19.2
2025,gathering of wild growing non-wood products,,,38.4
2025,support services to forestry,,,19.7
2025,marine fishing,,,14.8
2025,freshwater fishing,,,17.3
2025,marine aquaculture,,,17.4
2025,freshwater aquaculture,,,16.2
2025,mining of hard coal,,,
2025,mining of lignite,,,20.0
2025,extraction of crude petroleum,,,23.1
2025,extraction of natural gas,,,28.6
2025,mining of iron ores,,,11.1
2025,mining of uranium and thorium ores,,,29.4
2025,mining of other non-ferrous metal ores,,,26.7
2025,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,40.1
2025,operation of gravel and sand pits; mining of clays and kaolin,,,40.0
2025,mining of chemical and fertiliser minerals,,,25.0
2025,extraction of peat,,,45.2
2025,extraction of salt,,,47.5
2025,other mining and quarrying n.e.c.,,,26.8
2025,mining support service activities,,,61.5
2025,support activities for other mining and quarrying,,,46.5
2025,processing and preserving of meat,,,43.3
2025,processing and preserving of poultry meat,,,25.3
2025,production of meat and poultry meat products,,,61.5
2025,"processing and preserving of fish, crustaceans and molluscs",,,60.9
2025,processing and preserving of potatoes,,,49.4
2025,manufacture of fruit and vegetable juice,,,50.0
2025,other processing and preserving of fruit and vegetables,,,76.1
2025,manufacture of vegetable and animal oils and fats,,,39.4
2025,manufacture of margarine and similar edible fats,,,33.8
2025,operation of dairies and cheese making,,,58.8
2025,manufacture of ice cream,,,40.0
2025,manufacture of grain mill products,,,48.4
2025,manufacture of starches and starch products,,,24.2
2025,manufacture of bread; manufacture of fresh pastry goods and cakes,,,35.3
2025,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,23.1
2025,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,20.0
2025,manufacture of sugar,,,37.5
2025,"manufacture of cocoa, chocolate and sugar confectionery",,,16.7
2025,processing of tea and coffee,,,32.0
2025,manufacture of condiments and seasonings,,,33.3
2025,manufacture of prepared meals and dishes,,,46.7
2025,manufacture of homogenised food preparations and dietetic food,,,46.3
2025,manufacture of other food products n.e.c.,,,58.8
2025,manufacture of prepared feeds for farm animals,,,68.8
2025,manufacture of prepared pet foods,,,72.0
2025,"distilling, rectifying and blending of spirits",,,51.9
2025,manufacture of wine from grape,,,42.9
2025,manufacture of cider and other fruit wines,,,40.6
2025,manufacture of other non-distilled fermented beverages,,,51.2
2025,manufacture of beer,,,72.0
2025,manufacture of malt,,,69.8
2025,manufacture of soft drinks; production of mineral waters and other bottled waters,,,65.0
2025,manufacture of tobacco products,,,76.0
2025,preparation and spinning of textile fibres,,,75.4
2025,weaving of textiles,,,77.6
2025,finishing of textiles,,,60.0
2025,manufacture of knitted and crocheted fabrics,,,39.2
2025,"manufacture of made-up textile articles, except apparel",,,74.0
2025,manufacture of carpets and rugs,,,19.4
2025,"manufacture of cordage, rope, twine and netting",,,48.9
2025,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,31.7
2025,manufacture of other technical and industrial textiles,,,19.8
2025,manufacture of other textiles n.e.c.,,,24.7
2025,manufacture of leather clothes,,,11.8
2025,manufacture of workwear,,,27.3
2025,manufacture of other outerwear,,,24.3
2025,manufacture of underwear,,,25.0
2025,manufacture of other wearing apparel and accessories,,,33.3
2025,manufacture of articles of fur,,,41.0
2025,manufacture of knitted and crocheted hosiery,,,37.3
2025,manufacture of other knitted and crocheted apparel,,,44.2
2025,tanning and dressing of leather; dressing and dyeing of fur,,,42.9
2025,"manufacture of luggage, handbags and the like, saddlery and harness",,,49.6
2025,manufacture of footwear,,,30.9
2025,sawmilling and planing of wood,,,42.8
2025,manufacture of veneer sheets and wood-based panels,,,45.6
2025,manufacture of assembled parquet floors,,,52.4
2025,manufacture of other builders\' carpentry and joinery,,,36.2
2025,manufacture of wooden containers,,,
2025,"manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",,,
2025,manufacture of pulp,,,9.1
2025,manufacture of paper and paperboard,,,42.9
2025,manufacture of corrugated paper and paperboard and of containers of paper and paperboard,,,40.7
2025,manufacture of household and sanitary goods and of toilet requisites,,,23.3
2025,manufacture of paper stationery,,,20.3
2025,manufacture of wallpaper,,,18.8
2025,manufacture of other articles of paper and paperboard,,,100.0
2025,printing of newspapers,,,18.8
2025,other printing,,,20.7
2025,pre-press and pre-media services,,,47.8
2025,binding and related services,,,74.7
2025,reproduction of recorded media,,,
2025,manufacture of coke oven products,,,22.2
2025,manufacture of refined petroleum products,,,66.7
2025,manufacture of industrial gases,,,31.7
2025,manufacture of dyes and pigments,,,
2025,manufacture of other inorganic basic chemicals,,,28.6
2025,manufacture of other organic basic chemicals,,,31.6
2025,manufacture of fertilisers and nitrogen compounds,,,16.0
2025,manufacture of plastics in primary forms,,,22.0
2025,manufacture of synthetic rubber in primary forms,,,26.5
2025,manufacture of pesticides and other agrochemical products,,,31.0
2025,"manufacture of paints, varnishes and similar coatings, printing ink and mastics",,,23.0
2025,"manufacture of soap and detergents, cleaning and polishing preparations",,,23.2
2025,manufacture of perfumes and toilet preparations,,,16.7
2025,manufacture of explosives,,,14.0
2025,manufacture of glues,,,50.0
2025,manufacture of essential oils,,,
2025,manufacture of other chemical products n.e.c.,,,32.8
2025,manufacture of man-made fibres,,,20.0
2025,manufacture of basic pharmaceutical products,,,38.9
2025,manufacture of pharmaceutical preparations,,,33.3
2025,manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,,,45.8
2025,manufacture of other rubber products,,,22.2
2025,"manufacture of plastic plates, sheets, tubes and profiles",,,20.0
2025,manufacture of plastic packing goods,,,46.3
2025,manufacture of buildersТ ware of plastic,,,25.0
2025,manufacture of other plastic products,,,27.8
2025,manufacture of flat glass,,,16.1
2025,shaping and processing of flat glass,,,23.3
2025,manufacture of hollow glass,,,20.9
2025,manufacture of glass fibres,,,9.8
2025,"manufacture and processing of other glass, including technical glassware",,,
2025,manufacture of refractory products,,,15.9
2025,manufacture of ceramic tiles and flags,,,17.2
2025,"manufacture of bricks, tiles and construction products, in baked clay",,,15.4
2025,manufacture of ceramic household and ornamental articles,,,24.6
2025,manufacture of ceramic sanitary fixtures,,,12.5
2025,manufacture of ceramic insulators and insulating fittings,,,27.3
2025,manufacture of other technical ceramic products,,,25.0
2025,manufacture of other ceramic products,,,
2025,manufacture of cement,,,16.0
2025,manufacture of lime and plaster,,,
2025,manufacture of concrete products for construction purposes,,,75.0
2025,manufacture of plaster products for construction purposes,,,66.7
2025,manufacture of ready-mixed concrete,,,
2025,manufacture of mortars,,,23.1
2025,manufacture of fibre cement,,,22.2
2025,"manufacture of other articles of concrete, plaster and cement",,,7.7
2025,"cutting, shaping and finishing of stone",,,7.7
2025,production of abrasive products,,,13.9
2025,manufacture of other non-metallic mineral products n.e.c.,,,13.9
2025,manufacture of basic iron and steel and of ferro-alloys,,,14.4
2025,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,14.1
2025,cold drawing of bars,,,9.5
2025,cold rolling of narrow strip,,,8.9
2025,cold forming or folding,,,18.1
2025,cold drawing of wire,,,14.4
2025,precious metals production,,,10.7
2025,aluminium production,,,10.1
2025,"lead, zinc and tin production",,,16.5
2025,copper production,,,31.8
2025,other non-ferrous metal production,,,23.5
2025,casting of iron,,,18.5
2025,casting of steel,,,21.7
2025,casting of light metals,,,15.5
2025,casting of other non-ferrous metals,,,28.1
2025,manufacture of metal structures and parts of structures,,,21.5
2025,manufacture of doors and windows of metal,,,16.7
2025,manufacture of central heating radiators and boilers,,,25.8
2025,"manufacture of other tanks, reservoirs and containers of metal",,,10.3
2025,"manufacture of steam generators, except central heating hot water boilers",,,14.4
2025,manufacture of weapons and ammunition,,,16.7
2025,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,26.3
2025,treatment and coating of metals,,,44.4
2025,machining,,,22.0
2025,manufacture of cutlery,,,7.9
2025,manufacture of locks and hinges,,,35.0
2025,manufacture of tools,,,37.5
2025,manufacture of steel drums and similar containers,,,23.1
2025,manufacture of light metal packaging,,,9.1
2025,"manufacture of wire products, chain and springs",,,23.4
2025,manufacture of fasteners and screw machine products,,,27.6
2025,manufacture of other fabricated metal products n.e.c.,,,25.0
2025,manufacture of electronic components,,,19.2
2025,manufacture of loaded electronic boards,,,43.8
2025,manufacture of computers and peripheral equipment,,,19.8
2025,manufacture of communication equipment,,,14.3
2025,manufacture of consumer electronics,,,
