Year,Types of economic activity,by the organisational and legal forms,Region,Value
2016,manufacture of basic iron and steel and of ferro-alloys,,,
2016,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,
2016,cold drawing of bars,,,
2016,cold rolling of narrow strip,,,
2016,cold forming or folding,,,
2016,cold drawing of wire,,,
2016,precious metals production,,,
2016,aluminium production,,,
2016,"lead, zinc and tin production",,,
2016,copper production,,,
2016,other non-ferrous metal production,,,
2016,casting of iron,,,
2016,casting of steel,,,
2016,casting of light metals,,,
2016,casting of other non-ferrous metals,,,
2016,manufacture of metal structures and parts of structures,,,
2016,manufacture of doors and windows of metal,,,
2016,manufacture of central heating radiators and boilers,,,
2016,"manufacture of other tanks, reservoirs and containers of metal",,,
2016,"manufacture of steam generators, except central heating hot water boilers",,,
2016,manufacture of weapons and ammunition,,,
2016,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,
2016,treatment and coating of metals,,,
2016,machining,,,
2016,manufacture of cutlery,,,
2016,manufacture of locks and hinges,,,
2016,manufacture of tools,,,
2016,manufacture of steel drums and similar containers,,,
2016,manufacture of light metal packaging,,,
2016,"manufacture of wire products, chain and springs",,,
2016,manufacture of fasteners and screw machine products,,,
2016,manufacture of other fabricated metal products n.e.c.,,,
2016,manufacture of electronic components,,,
2016,manufacture of loaded electronic boards,,,
2016,manufacture of computers and peripheral equipment,,,
2016,manufacture of communication equipment,,,
2016,manufacture of consumer electronics,,,
2016,"manufacture of instruments and appliances for measuring, testing and navigation",,,
2016,manufacture of watches and clocks,,,
2016,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,
2016,manufacture of optical instruments and photographic equipment,,,
2016,manufacture of magnetic and optical media,,,
2016,"manufacture of electric motors, generators and transformers",,,
2016,manufacture of electricity distribution and control apparatus,,,
2016,manufacture of batteries and accumulators,,,
2016,manufacture of fibre optic cables,,,
2016,manufacture of other electronic and electric wires and cables,,,
2016,manufacture of wiring devices,,,
2016,manufacture of electric lighting equipment,,,
2016,manufacture of electric domestic appliances,,,
2016,manufacture of non-electric domestic appliances,,,
2016,manufacture of other electrical equipment,,,
2016,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,
2016,manufacture of fluid power equipment,,,
2016,manufacture of other pumps and compressors,,,
2016,manufacture of other taps and valves,,,
2016,"manufacture of bearings, gears, gearing and driving elements",,,
2016,"manufacture of ovens, furnaces and furnace burners",,,
2016,manufacture of lifting and handling equipment,,,
2016,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2016,manufacture of power-driven hand tools,,,
2016,manufacture of non-domestic cooling and ventilation equipment,,,
2016,manufacture of other general-purpose machinery n.e.c.,,,
2016,manufacture of agricultural and forestry machinery,,,
2016,manufacture of metal forming machinery,,,
2016,manufacture of other machine tools,,,
2016,manufacture of machinery for metallurgy,,,
2016,"manufacture of machinery for mining, quarrying and construction",,,
2016,"manufacture of machinery for food, beverage and tobacco processing",,,
2016,"manufacture of machinery for textile, apparel and leather production",,,
2016,manufacture of machinery for paper and paperboard production,,,
2016,manufacture of plastics and rubber machinery,,,
2016,manufacture of other special-purpose machinery n.e.c.,,,
2016,manufacture of motor vehicles,,,
2016,manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,,,
2016,manufacture of electrical and electronic equipment for motor vehicles,,,
2016,manufacture of other parts and accessories for motor vehicles,,,
2016,building of ships and floating structures,,,
2016,building of pleasure and sporting boats,,,
2016,manufacture of railway locomotives and rolling stock,,,
2016,manufacture of air and spacecraft and related machinery,,,
2016,manufacture of military fighting vehicles,,,
2016,manufacture of motorcycles,,,
2016,manufacture of bicycles and invalid carriages,,,
2016,manufacture of other transport equipment n.e.c.,,,
2016,manufacture of office and shop furniture,,,
2016,manufacture of kitchen furniture,,,
2016,manufacture of mattresses,,,
2016,manufacture of other furniture,,,
2016,striking of coins,,,
2016,manufacture of jewellery and related articles,,,
2016,manufacture of imitation jewellery and related articles,,,
2016,manufacture of musical instruments,,,
2016,manufacture of sports goods,,,
2016,manufacture of games and toys,,,
2016,manufacture of medical and dental instruments and supplies,,,
2016,manufacture of brooms and brushes,,,
2016,other manufacturing n.e.c.,,,
2016,repair of fabricated metal products,,,
2016,repair of machinery,,,
2016,repair of electronic and optical equipment,,,
2016,repair of electrical equipment,,,
2016,repair and maintenance of ships and boats,,,
2016,repair and maintenance of aircraft and spacecraft,,,
2016,repair and maintenance of other transport equipment,,,
2016,repair of other equipment,,,
2016,installation of industrial machinery and equipment,,,
2016,production of electricity,,,
2016,transmission of electricity,,,
2016,distribution of electricity,,,
2016,trade of electricity,,,
2016,manufacture of gas,,,
2016,distribution of gaseous fuels through mains,,,
2016,trade of gas through mains,,,
2016,steam and air conditioning supply,,,
2016,"water collection, treatment and supply",,,
2016,sewerage,,,
2016,collection of non-hazardous waste,,,
2016,collection of hazardous waste,,,
2016,treatment and disposal of non-hazardous waste,,,
2016,treatment and disposal of hazardous waste,,,
2016,dismantling of wrecks,,,
2016,recovery of sorted materials,,,
2016,remediation activities and other waste management services,,,
2016,development of building projects,,,
2016,construction of residential and non-residential buildings,,,
2016,construction of roads and motorways,,,
2016,construction of railways and underground railways,,,
2016,construction of bridges and tunnels,,,
2016,construction of utility projects for fluids,,,
2016,construction of utility projects for electricity and telecommunications,,,
2016,construction of water projects,,,
2016,construction of other civil engineering projects n.e.c.,,,
2016,demolition,,,
2016,site preparation,,,
2016,test drilling and boring,,,
2016,electrical installation,,,
2016,"plumbing, heat and air-conditioning installation",,,
2016,other construction installation,,,
2016,plastering,,,
