Year,group_label_90,group_label_91,group_4,group_5,group_6,group_7,group_8,group_9,Value
2021,group_label_109,,,,,,,,
2022,group_label_109,,,,,,,,
2023,group_label_109,,,,,,,,
2024,group_label_109,,,,,,,,
2015,group_label_110,,,,,,,,
2016,group_label_110,,,,,,,,
2017,group_label_110,,,,,,,,
2018,group_label_110,,,,,,,,
2019,group_label_110,,,,,,,,
2020,group_label_110,,,,,,,,
2021,group_label_110,,,,,,,,
2022,group_label_110,,,,,,,,
2023,group_label_110,,,,,,,,
2024,group_label_110,,,,,,,,
2015,group_label_111,,,,,,,,
2016,group_label_111,,,,,,,,
2017,group_label_111,,,,,,,,
2018,group_label_111,,,,,,,,
2019,group_label_111,,,,,,,,
2020,group_label_111,,,,,,,,
2021,group_label_111,,,,,,,,
2022,group_label_111,,,,,,,,
2023,group_label_111,,,,,,,,
2024,group_label_111,,,,,,,,
2015,group_label_112,,,,,,,,
2016,group_label_112,,,,,,,,
2017,group_label_112,,,,,,,,
2018,group_label_112,,,,,,,,
2019,group_label_112,,,,,,,,
2020,group_label_112,,,,,,,,
2021,group_label_112,,,,,,,,
2022,group_label_112,,,,,,,,
2023,group_label_112,,,,,,,,
2024,group_label_112,,,,,,,,
2015,group_label_113,,,,,,,,
2016,group_label_113,,,,,,,,
2017,group_label_113,,,,,,,,
2018,group_label_113,,,,,,,,
2019,group_label_113,,,,,,,,
2020,group_label_113,,,,,,,,
2021,group_label_113,,,,,,,,
2022,group_label_113,,,,,,,,
2023,group_label_113,,,,,,,,
2024,group_label_113,,,,,,,,
2015,group_label_114,,,,,,,,
2016,group_label_114,,,,,,,,
2017,group_label_114,,,,,,,,
2018,group_label_114,,,,,,,,
2019,group_label_114,,,,,,,,
2020,group_label_114,,,,,,,,
2021,group_label_114,,,,,,,,
2022,group_label_114,,,,,,,,
2023,group_label_114,,,,,,,,
2024,group_label_114,,,,,,,,
2015,group_label_115,,,,,,,,
2016,group_label_115,,,,,,,,
2017,group_label_115,,,,,,,,
2018,group_label_115,,,,,,,,
2019,group_label_115,,,,,,,,
2020,group_label_115,,,,,,,,
2021,group_label_115,,,,,,,,
2022,group_label_115,,,,,,,,
2023,group_label_115,,,,,,,,
2024,group_label_115,,,,,,,,
2015,group_label_116,,,,,,,,
2016,group_label_116,,,,,,,,
2017,group_label_116,,,,,,,,
2018,group_label_116,,,,,,,,2.69
2019,group_label_116,,,,,,,,4.13
2020,group_label_116,,,,,,,,1.67
2021,group_label_116,,,,,,,,
2022,group_label_116,,,,,,,,
2023,group_label_116,,,,,,,,
2024,group_label_116,,,,,,,,
2015,group_label_117,,,,,,,,
2016,group_label_117,,,,,,,,
2017,group_label_117,,,,,,,,87.96
2018,group_label_117,,,,,,,,23.1
2019,group_label_117,,,,,,,,
2020,group_label_117,,,,,,,,9.74
2021,group_label_117,,,,,,,,
2022,group_label_117,,,,,,,,
2023,group_label_117,,,,,,,,
2024,group_label_117,,,,,,,,
2015,group_label_118,,,,,,,,
2016,group_label_118,,,,,,,,
2017,group_label_118,,,,,,,,
2018,group_label_118,,,,,,,,
2019,group_label_118,,,,,,,,
2020,group_label_118,,,,,,,,
2021,group_label_118,,,,,,,,
2022,group_label_118,,,,,,,,
2023,group_label_118,,,,,,,,
2024,group_label_118,,,,,,,,
2015,group_label_119,,,,,,,,
2016,group_label_119,,,,,,,,
2017,group_label_119,,,,,,,,
2018,group_label_119,,,,,,,,
2019,group_label_119,,,,,,,,
2020,group_label_119,,,,,,,,
2021,group_label_119,,,,,,,,
2022,group_label_119,,,,,,,,
2023,group_label_119,,,,,,,,
2024,group_label_119,,,,,,,,
2015,group_label_120,,,,,,,,
2016,group_label_120,,,,,,,,
2017,group_label_120,,,,,,,,
2018,group_label_120,,,,,,,,
2019,group_label_120,,,,,,,,
2020,group_label_120,,,,,,,,
2021,group_label_120,,,,,,,,
2022,group_label_120,,,,,,,,
2023,group_label_120,,,,,,,,
2024,group_label_120,,,,,,,,
2015,group_label_121,,,,,,,,
2016,group_label_121,,,,,,,,
2017,group_label_121,,,,,,,,5.5
2018,group_label_121,,,,,,,,
2019,group_label_121,,,,,,,,
2020,group_label_121,,,,,,,,
2021,group_label_121,,,,,,,,
2022,group_label_121,,,,,,,,
2023,group_label_121,,,,,,,,
2024,group_label_121,,,,,,,,
2015,group_label_122,,,,,,,,
2016,group_label_122,,,,,,,,
2017,group_label_122,,,,,,,,16.69
2018,group_label_122,,,,,,,,11.33
2019,group_label_122,,,,,,,,
2020,group_label_122,,,,,,,,
2021,group_label_122,,,,,,,,
2022,group_label_122,,,,,,,,
2023,group_label_122,,,,,,,,
2024,group_label_122,,,,,,,,
2015,group_label_123,,,,,,,,
2016,group_label_123,,,,,,,,
2017,group_label_123,,,,,,,,
2018,group_label_123,,,,,,,,
2019,group_label_123,,,,,,,,
2020,group_label_123,,,,,,,,
2021,group_label_123,,,,,,,,
2022,group_label_123,,,,,,,,
2023,group_label_123,,,,,,,,
2024,group_label_123,,,,,,,,
2015,,group_label_124,,,,,,,
2016,,group_label_124,,,,,,,
2017,,group_label_124,,,,,,,
2018,,group_label_124,,,,,,,
2019,,group_label_124,,,,,,,
2020,,group_label_124,,,,,,,
2021,,group_label_124,,,,,,,
2022,,group_label_124,,,,,,,
2023,,group_label_124,,,,,,,
2024,,group_label_124,,,,,,,
2015,,group_label_125,,,,,,,
2016,,group_label_125,,,,,,,
2017,,group_label_125,,,,,,,
2018,,group_label_125,,,,,,,
2019,,group_label_125,,,,,,,
2020,,group_label_125,,,,,,,
2021,,group_label_125,,,,,,,
2022,,group_label_125,,,,,,,
2023,,group_label_125,,,,,,,
2024,,group_label_125,,,,,,,
2015,,group_label_107,,,,,,,
2016,,group_label_107,,,,,,,
2017,,group_label_107,,,,,,,
2018,,group_label_107,,,,,,,
2019,,group_label_107,,,,,,,
2020,,group_label_107,,,,,,,
2021,,group_label_107,,,,,,,
2022,,group_label_107,,,,,,,
2023,,group_label_107,,,,,,,
2024,,group_label_107,,,,,,,
2015,,group_label_108,,,,,,,
2016,,group_label_108,,,,,,,
2017,,group_label_108,,,,,,,
2018,,group_label_108,,,,,,,
2019,,group_label_108,,,,,,,
