Year,By special aggregations,Value
2015,,65.7
2016,,65.7
2017,,67.2
2018,,68.7
2019,,68.7
2020,,68.2
2021,,67.7
2022,,66.7
2023,,65.2
2024,,67.1
2015,high_level,4.8
2016,high_level,4.7
2017,high_level,4.8
2018,high_level,4.5
2019,high_level,4.7
2020,high_level,4.4
2021,high_level,4.4
2022,high_level,4.6
2023,high_level,4.7
2024,high_level,5.4
2015,medium_high_level,16.4
2016,medium_high_level,16.4
2017,medium_high_level,16.7
2018,medium_high_level,17.1
2019,medium_high_level,16.9
2020,medium_high_level,16.1
2021,medium_high_level,15.7
2022,medium_high_level,15.2
2023,medium_high_level,14.3
2024,medium_high_level,15.1
2015,medium_low_level,20.9
2016,medium_low_level,20.3
2017,medium_low_level,20.1
2018,medium_low_level,20.6
2019,medium_low_level,20.5
2020,medium_low_level,20.4
2021,medium_low_level,20.6
2022,medium_low_level,19.0
2023,medium_low_level,17.5
2024,medium_low_level,17.4
2015,low_level,23.6
2016,low_level,24.3
2017,low_level,25.6
2018,low_level,26.5
2019,low_level,26.6
2020,low_level,27.3
2021,low_level,27.0
2022,low_level,27.9
2023,low_level,28.7
2024,low_level,29.2
