Year,Type of residence,Value
2015,,15.1
2016,,12.6
2017,,9.1
2018,,12.5
2019,,14.9
2020,,18.7
2021,,42.7
2022,,
2023,,
2015,urban_a,15.4
2016,urban_a,13.1
2017,urban_a,6.3
2018,urban_a,13.2
2019,urban_a,15.3
2020,urban_a,16.4
2021,urban_a,39.9
2022,urban_a,
2023,urban_a,
2015,rural_a,14.4
2016,rural_a,11.6
2017,rural_a,14.3
2018,rural_a,11.2
2019,rural_a,14.1
2020,rural_a,23.0
2021,rural_a,47.6
2022,rural_a,
2023,rural_a,
